"CT School Day SAT, 2015-16"
"All Districts, Math, All Students"

"",,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""",44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""",138,58,42.0,50,36.2,"*","*","*","*",30,21.7,448
"Area Cooperative Educational Services","=""2440014""",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",244,13,5.3,44,18.0,101,41.4,86,35.2,187,76.6,603
"Berlin School District","=""0070011""",230,31,13.5,86,37.4,92,40.0,21,9.1,113,49.1,525
"Bethel School District","=""0090011""",194,26,13.4,57,29.4,91,46.9,20,10.3,111,57.2,531
"Bloomfield School District","=""0110011""",166,49,29.5,93,56.0,"*","*","*","*",24,14.5,454
"Bolton School District","=""0120011""",67,12,17.9,23,34.3,22,32.8,10,14.9,32,47.8,516
"Branford School District","=""0140011""",245,57,23.3,103,42.0,58,23.7,27,11.0,85,34.7,498
"Bridgeport Achievement First District","=""2850013""",35,7,20.0,14,40.0,14,40.0,0,0.0,14,40.0,489
"Bridgeport School District","=""0150011""",1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""",554,107,19.3,258,46.6,163,29.4,26,4.7,189,34.1,492
"Brookfield School District","=""0180011""",223,16,7.2,81,36.3,96,43.0,30,13.5,126,56.5,542
"Brooklyn School District","=""0190011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",116,14,12.1,36,31.0,48,41.4,18,15.5,66,56.9,545
"Capital Preparatory Harbor School Inc. District","=""2970013""",28,16,57.1,"*","*","*","*",0,0.0,"*","*",419
"Capitol Region Education Council","=""2410014""",487,157,32.2,213,43.7,86,17.7,31,6.4,117,24.0,469
"Cheshire School District","=""0250011""",374,32,8.6,107,28.6,153,40.9,82,21.9,235,62.8,562
"Clinton School District","=""0270011""",124,"*","*",58,46.8,36,29.0,"*","*","*","*",475
"Colchester School District","=""0280011""",193,24,12.4,86,44.6,68,35.2,15,7.8,83,43.0,512
"Common Ground High School District","=""2680013""",39,18,46.2,17,43.6,"*","*","*","*","*","*",427
"Connecticut Technical High School System","=""9000016""",2444,840,34.4,1255,51.4,331,13.5,18,0.7,349,14.3,446
"Cooperative Educational Services","=""2430014""",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""",128,"*","*",50,39.1,52,40.6,"*","*","*","*",513
"Cromwell School District","=""0330011""",146,24,16.4,55,37.7,55,37.7,12,8.2,67,45.9,509
"Danbury School District","=""0340011""",641,225,35.1,258,40.2,125,19.5,33,5.1,158,24.6,462
"Darien School District","=""0350011""",312,8,2.6,43,13.8,118,37.8,143,45.8,261,83.7,626
"Derby School District","=""0370011""",86,43,50.0,30,34.9,13,15.1,0,0.0,13,15.1,431
"East Granby School District","=""0400011""",62,"*","*",23,37.1,22,35.5,"*","*","*","*",515
"East Haddam School District","=""0410011""",78,20,25.6,37,47.4,"*","*","*","*",21,26.9,481
"East Hampton School District","=""0420011""",129,23,17.8,49,38.0,49,38.0,8,6.2,57,44.2,509
"East Hartford School District","=""0430011""",447,153,34.2,203,45.4,77,17.2,14,3.1,91,20.4,456
"East Haven School District","=""0440011""",215,82,38.1,94,43.7,32,14.9,7,3.3,39,18.1,450
"East Lyme School District","=""0450011""",256,25,9.8,79,30.9,98,38.3,54,21.1,152,59.4,552
"East Windsor School District","=""0470011""",65,"*","*",31,47.7,18,27.7,"*","*","*","*",477
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",72,35,48.6,28,38.9,9,12.5,0,0.0,9,12.5,429
"Education Connection","=""2420014""","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""",203,23,11.3,80,39.4,76,37.4,24,11.8,100,49.3,528
"Elm City College Preparatory School District","=""2890013""",33,"*","*",19,57.6,7,21.2,"*","*","*","*",478
"Enfield School District","=""0490011""",346,75,21.7,156,45.1,97,28.0,18,5.2,115,33.2,487
"Explorations District","=""2720013""",21,"*","*",11,52.4,"*","*",0,0.0,"*","*",440
"Fairfield School District","=""0510011""",713,55,7.7,206,28.9,325,45.6,127,17.8,452,63.4,557
"Farmington School District","=""0520011""",300,25,8.3,91,30.3,100,33.3,84,28.0,184,61.3,568
"Glastonbury School District","=""0540011""",483,31,6.4,117,24.2,204,42.2,131,27.1,335,69.4,581
"Granby School District","=""0560011""",151,7,4.6,49,32.5,70,46.4,25,16.6,95,62.9,555
"Greenwich School District","=""0570011""",617,57,9.2,164,26.6,188,30.5,208,33.7,396,64.2,575
"Griswold School District","=""0580011""",125,"*","*",63,50.4,37,29.6,"*","*","*","*",486
"Groton School District","=""0590011""",240,51,21.3,104,43.3,63,26.3,22,9.2,85,35.4,499
"Guilford School District","=""0600011""",253,19,7.5,73,28.9,115,45.5,46,18.2,161,63.6,561
"Hamden School District","=""0620011""",374,88,23.5,163,43.6,94,25.1,29,7.8,123,32.9,489
"Hartford School District","=""0640011""",1161,579,49.9,410,35.3,136,11.7,36,3.1,172,14.8,430
"Highville Charter School District","=""2860013""",9,"*","*","*","*","*","*","*","*","*","*","*"
"Jumoke Academy District","=""2610013""","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""",173,46,26.6,94,54.3,"*","*","*","*",33,19.1,464
"Learn","=""2450014""",185,43,23.2,80,43.2,52,28.1,10,5.4,62,33.5,483
"Lebanon School District","=""0710011""",83,6,7.2,33,39.8,31,37.3,13,15.7,44,53.0,541
"Ledyard School District","=""0720011""",199,32,16.1,85,42.7,57,28.6,25,12.6,82,41.2,515
"Litchfield School District","=""0740011""",74,9,12.2,23,31.1,33,44.6,9,12.2,42,56.8,530
"Madison School District","=""0760011""",296,16,5.4,74,25.0,133,44.9,73,24.7,206,69.6,578
"Manchester School District","=""0770011""",352,125,35.5,155,44.0,60,17.0,12,3.4,72,20.5,454
"Meriden School District","=""0800011""",477,246,51.6,166,34.8,"*","*","*","*",65,13.6,423
"Middletown School District","=""0830011""",283,88,31.1,122,43.1,66,23.3,7,2.5,73,25.8,466
"Milford School District","=""0840011""",451,66,14.6,221,49.0,138,30.6,26,5.8,164,36.4,502
"Monroe School District","=""0850011""",269,25,9.3,78,29.0,122,45.4,44,16.4,166,61.7,552
"Montville School District","=""0860011""",135,25,18.5,59,43.7,44,32.6,7,5.2,51,37.8,500
"Naugatuck School District","=""0880011""",288,113,39.2,118,41.0,"*","*","*","*",57,19.8,448
"New Britain School District","=""0890011""",471,256,54.4,162,34.4,39,8.3,14,3.0,53,11.3,421
"New Canaan School District","=""0900011""",319,8,2.5,43,13.5,151,47.3,117,36.7,268,84.0,609
"New Fairfield School District","=""0910011""",227,28,12.3,92,40.5,84,37.0,23,10.1,107,47.1,523
"New Haven School District","=""0930011""",1145,517,45.2,475,41.5,126,11.0,27,2.4,153,13.4,432
"New London School District","=""0950011""",170,77,45.3,55,32.4,28,16.5,10,5.9,38,22.4,445
"New Milford School District","=""0960011""",302,36,11.9,126,41.7,104,34.4,36,11.9,140,46.4,526
"Newington School District","=""0940011""",300,36,12.0,125,41.7,111,37.0,28,9.3,139,46.3,522
"Newtown School District","=""0970011""",403,25,6.2,114,28.3,188,46.7,76,18.9,264,65.5,562
"North Branford School District","=""0990011""",153,36,23.5,64,41.8,47,30.7,6,3.9,53,34.6,493
"North Haven School District","=""1010011""",245,41,16.7,97,39.6,87,35.5,20,8.2,107,43.7,507
"North Stonington School District","=""1020011""",55,8,14.5,16,29.1,23,41.8,8,14.5,31,56.4,538
"Norwalk School District","=""1030011""",752,188,25.0,345,45.9,171,22.7,48,6.4,219,29.1,482
"Norwich Free Academy District","=""9010022""",569,154,27.1,224,39.4,144,25.3,47,8.3,191,33.6,485
"Norwich School District","=""1040011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""",96,11,11.5,37,38.5,36,37.5,12,12.5,48,50.0,533
"Oxford School District","=""1080011""",167,17,10.2,82,49.1,49,29.3,19,11.4,68,40.7,517
"Path Academy District","=""2930013""",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""",146,"*","*",75,51.4,33,22.6,"*","*","*","*",478
"Plainville School District","=""1100011""",181,42,23.2,73,40.3,54,29.8,12,6.6,66,36.5,495
"Plymouth School District","=""1110011""",111,"*","*",47,42.3,33,29.7,"*","*","*","*",477
"Portland School District","=""1130011""",92,10,10.9,36,39.1,32,34.8,14,15.2,46,50.0,544
"Putnam School District","=""1160011""",55,23,41.8,25,45.5,"*","*","*","*",7,12.7,447
"Regional School District 01","=""2010012""",107,"*","*",46,43.0,39,36.4,"*","*","*","*",503
"Regional School District 04","=""2040012""",144,23,16.0,52,36.1,48,33.3,21,14.6,69,47.9,525
"Regional School District 05","=""2050012""",344,31,9.0,93,27.0,138,40.1,82,23.8,220,64.0,563
"Regional School District 06","=""2060012""",113,"*","*",45,39.8,45,39.8,"*","*","*","*",508
"Regional School District 07","=""2070012""",187,19,10.2,61,32.6,84,44.9,23,12.3,107,57.2,539
"Regional School District 08","=""2080012""",242,20,8.3,68,28.1,101,41.7,53,21.9,154,63.6,562
"Regional School District 09","=""2090012""",263,13,4.9,59,22.4,135,51.3,56,21.3,191,72.6,573
"Regional School District 10","=""2100012""",186,9,4.8,64,34.4,88,47.3,25,13.4,113,60.8,550
"Regional School District 11","=""2110012""",42,"*","*",24,57.1,10,23.8,"*","*","*","*",493
"Regional School District 12","=""2120012""",49,"*","*",16,32.7,20,40.8,"*","*","*","*",542
"Regional School District 13","=""2130012""",140,15,10.7,53,37.9,57,40.7,15,10.7,72,51.4,528
"Regional School District 14","=""2140012""",171,14,8.2,72,42.1,64,37.4,21,12.3,85,49.7,531
"Regional School District 15","=""2150012""",307,24,7.8,95,30.9,141,45.9,47,15.3,188,61.2,550
"Regional School District 16","=""2160012""",164,33,20.1,66,40.2,52,31.7,13,7.9,65,39.6,501
"Regional School District 17","=""2170012""",146,14,9.6,53,36.3,64,43.8,15,10.3,79,54.1,531
"Regional School District 18","=""2180012""",119,15,12.6,33,27.7,55,46.2,16,13.4,71,59.7,543
"Regional School District 19","=""2190012""",268,26,9.7,98,36.6,98,36.6,46,17.2,144,53.7,545
"Ridgefield School District","=""1180011""",418,9,2.2,73,17.5,194,46.4,142,34.0,336,80.4,604
"Rocky Hill School District","=""1190011""",171,20,11.7,59,34.5,67,39.2,25,14.6,92,53.8,532
"Salem School District","=""1210011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""",151,30,19.9,66,43.7,44,29.1,11,7.3,55,36.4,496
"Shelton School District","=""1260011""",371,52,14.0,119,32.1,164,44.2,36,9.7,200,53.9,524
"Simsbury School District","=""1280011""",361,22,6.1,77,21.3,148,41.0,114,31.6,262,72.6,588
"Somers School District","=""1290011""",103,12,11.7,38,36.9,41,39.8,12,11.7,53,51.5,537
"South Windsor School District","=""1320011""",326,32,9.8,99,30.4,138,42.3,57,17.5,195,59.8,550
"Southington School District","=""1310011""",470,41,8.7,189,40.2,180,38.3,60,12.8,240,51.1,536
"Stafford School District","=""1340011""",101,13,12.9,40,39.6,37,36.6,11,10.9,48,47.5,526
"Stamford Academy District","=""2820013""",25,19,76.0,6,24.0,0,0.0,0,0.0,0,0.0,370
"Stamford School District","=""1350011""",1094,327,29.9,414,37.8,242,22.1,111,10.1,353,32.3,484
"Stonington School District","=""1370011""",168,22,13.1,68,40.5,50,29.8,28,16.7,78,46.4,529
"Stratford School District","=""1380011""",464,135,29.1,199,42.9,104,22.4,26,5.6,130,28.0,475
"Suffield School District","=""1390011""",180,18,10.0,64,35.6,77,42.8,21,11.7,98,54.4,534
"The Bridge Academy District","=""2690013""",40,"*","*",21,52.5,"*","*",0,0.0,"*","*",431
"The Gilbert School District","=""9020022""",101,28,27.7,36,35.6,24,23.8,13,12.9,37,36.6,499
"Thomaston School District","=""1400011""",62,"*","*",32,51.6,17,27.4,"*","*","*","*",478
"Thompson School District","=""1410011""",44,15,34.1,17,38.6,12,27.3,0,0.0,12,27.3,471
"Tolland School District","=""1420011""",201,12,6.0,51,25.4,93,46.3,45,22.4,138,68.7,569
"Torrington School District","=""1430011""",197,57,28.9,91,46.2,41,20.8,8,4.1,49,24.9,466
"Trumbull School District","=""1440011""",495,40,8.1,166,33.5,182,36.8,107,21.6,289,58.4,557
"Unified School District #2","=""3470015""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""",192,41,21.4,78,40.6,64,33.3,9,4.7,73,38.0,493
"Wallingford School District","=""1480011""",460,82,17.8,225,48.9,135,29.3,18,3.9,153,33.3,492
"Waterbury School District","=""1510011""",1049,554,52.8,397,37.8,89,8.5,9,0.9,98,9.3,418
"Waterford School District","=""1520011""",203,32,15.8,86,42.4,60,29.6,25,12.3,85,41.9,513
"Watertown School District","=""1530011""",199,40,20.1,103,51.8,45,22.6,11,5.5,56,28.1,485
"West Hartford School District","=""1550011""",751,108,14.4,221,29.4,261,34.8,161,21.4,422,56.2,545
"West Haven School District","=""1560011""",304,104,34.2,149,49.0,45,14.8,6,2.0,51,16.8,453
"Westbrook School District","=""1540011""",75,"*","*",35,46.7,24,32.0,"*","*","*","*",489
"Weston School District","=""1570011""",197,25,12.7,32,16.2,69,35.0,71,36.0,140,71.1,582
"Westport School District","=""1580011""",433,32,7.4,74,17.1,163,37.6,164,37.9,327,75.5,599
"Wethersfield School District","=""1590011""",252,41,16.3,92,36.5,95,37.7,24,9.5,119,47.2,518
"Wilton School District","=""1610011""",327,12,3.7,66,20.2,135,41.3,114,34.9,249,76.1,596
"Windham School District","=""1630011""",103,64,62.1,28,27.2,11,10.7,0,0.0,11,10.7,409
"Windsor Locks School District","=""1650011""",89,"*","*",41,46.1,25,28.1,"*","*","*","*",474
"Windsor School District","=""1640011""",262,66,25.2,122,46.6,54,20.6,20,7.6,74,28.2,482
"Wolcott School District","=""1660011""",190,32,16.8,73,38.4,62,32.6,23,12.1,85,44.7,515
"Woodstock Academy District","=""9030022""",258,34,13.2,93,36.0,76,29.5,55,21.3,131,50.8,538

