"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","F",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","F",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","ELA","F",32,"*","*","*","*",21,65.6,"*","*","*","*",523
"Amistad Academy District","=""2790013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","F",32,"*","*",19,59.4,7,21.9,"*","*","*","*",478
"Amistad Academy District","=""2790013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","F",61,24,39.3,"*","*","*","*",0,0.0,"*","*",440
"Ansonia School District","=""0020011""","ELA","N",62,"*","*",17,27.4,31,50.0,"*","*","*","*",503
"Ansonia School District","=""0020011""","ELA","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Math","F",61,35,57.4,"*","*","*","*",0,0.0,"*","*",417
"Ansonia School District","=""0020011""","Math","N",62,"*","*",22,35.5,20,32.3,"*","*","*","*",477
"Ansonia School District","=""0020011""","Math","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","N",231,6,2.6,12,5.2,97,42.0,116,50.2,213,92.2,614
"Avon School District","=""0040011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","N",231,7,3.0,39,16.9,99,42.9,86,37.2,185,80.1,611
"Avon School District","=""0040011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","ELA","N",203,19,9.4,32,15.8,129,63.5,23,11.3,152,74.9,535
"Berlin School District","=""0070011""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Math","N",203,26,12.8,72,35.5,85,41.9,20,9.9,105,51.7,529
"Berlin School District","=""0070011""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*"
