"CT School Day SAT, 2015-16"
"All Districts, All Subjects, English Learner Status (EL)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","ELL","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","N",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","N",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","ELA","N",44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Amistad Academy District","=""2790013""","Math","N",44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","N",18,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","N",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","ELA","N",166,49,29.5,"*","*",72,43.4,"*","*","*","*",468
"Bloomfield School District","=""0110011""","Math","N",166,49,29.5,93,56.0,"*","*","*","*",24,14.5,454
"Bolton School District","=""0120011""","ELA","N",67,6,9.0,6,9.0,40,59.7,15,22.4,55,82.1,555
"Bolton School District","=""0120011""","Math","N",67,12,17.9,23,34.3,22,32.8,10,14.9,32,47.8,516
"Branford School District","=""0140011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","ELA","N",34,"*","*","*","*",25,73.5,"*","*","*","*",515
"Bridgeport Achievement First District","=""2850013""","Math","N",35,7,20.0,14,40.0,14,40.0,0,0.0,14,40.0,489
"Bridgeport School District","=""0150011""","ELA","N",900,354,39.3,249,27.7,"*","*","*","*","*","*",447
"Bridgeport School District","=""0150011""","ELA","Y",122,102,83.6,"*","*","*","*",0,0.0,"*","*",370
"Bridgeport School District","=""0150011""","Math","N",898,416,46.3,382,42.5,"*","*","*","*","*","*",429
"Bridgeport School District","=""0150011""","Math","Y",122,100,82.0,"*","*","*","*",0,0.0,"*","*",368
"Bristol School District","=""0170011""","ELA","N",547,"*","*","*","*","*","*","*","*","*","*",516
"Bristol School District","=""0170011""","ELA","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Math","N",547,"*","*","*","*","*","*","*","*","*","*",493
"Bristol School District","=""0170011""","Math","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","N",116,7,6.0,12,10.3,63,54.3,34,29.3,97,83.6,571
"Canton School District","=""0230011""","Math","N",116,14,12.1,36,31.0,48,41.4,18,15.5,66,56.9,545
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","N",28,14,50.0,"*","*","*","*",0,0.0,"*","*",416
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","N",28,16,57.1,"*","*","*","*",0,0.0,"*","*",419
"Capitol Region Education Council","=""2410014""","ELA","N",474,"*","*","*","*","*","*","*","*","*","*",509
"Capitol Region Education Council","=""2410014""","ELA","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Math","N",474,"*","*","*","*","*","*","*","*","*","*",471
"Capitol Region Education Council","=""2410014""","Math","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","ELA","N",194,16,8.2,29,14.9,112,57.7,37,19.1,149,76.8,549
"Colchester School District","=""0280011""","Math","N",193,24,12.4,86,44.6,68,35.2,15,7.8,83,43.0,512
"Common Ground High School District","=""2680013""","ELA","N",39,16,41.0,"*","*",12,30.8,"*","*","*","*",462
"Common Ground High School District","=""2680013""","Math","N",39,18,46.2,17,43.6,"*","*","*","*","*","*",427
"Connecticut Technical High School System","=""9000016""","ELA","N",2385,555,23.3,748,31.4,"*","*","*","*","*","*",471
"Connecticut Technical High School System","=""9000016""","ELA","Y",60,40,66.7,"*","*","*","*",0,0.0,"*","*",392
"Connecticut Technical High School System","=""9000016""","Math","N",2384,796,33.4,1239,52.0,331,13.9,18,0.8,349,14.6,448
"Connecticut Technical High School System","=""9000016""","Math","Y",60,44,73.3,16,26.7,0,0.0,0,0.0,0,0.0,386
"Cooperative Educational Services","=""2430014""","ELA","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","N",128,10,7.8,22,17.2,74,57.8,22,17.2,96,75.0,538
"Coventry School District","=""0320011""","Math","N",128,"*","*",50,39.1,52,40.6,"*","*","*","*",513
"Cromwell School District","=""0330011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","ELA","N",560,112,20.0,121,21.6,"*","*","*","*","*","*",501
"Danbury School District","=""0340011""","ELA","Y",82,67,81.7,"*","*","*","*",0,0.0,"*","*",379
"Danbury School District","=""0340011""","Math","N",559,158,28.3,243,43.5,125,22.4,33,5.9,158,28.3,475
"Danbury School District","=""0340011""","Math","Y",82,67,81.7,15,18.3,0,0.0,0,0.0,0,0.0,372
"Darien School District","=""0350011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","ELA","N",80,"*","*","*","*","*","*","*","*","*","*",453
"Derby School District","=""0370011""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","Math","N",80,"*","*","*","*","*","*",0,0.0,"*","*",436
"Derby School District","=""0370011""","Math","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","ELA","N",62,7,11.3,9,14.5,28,45.2,18,29.0,46,74.2,553
"East Granby School District","=""0400011""","Math","N",62,"*","*",23,37.1,22,35.5,"*","*","*","*",515
"East Haddam School District","=""0410011""","ELA","N",78,10,12.8,8,10.3,47,60.3,13,16.7,60,76.9,532
"East Haddam School District","=""0410011""","Math","N",78,20,25.6,37,47.4,"*","*","*","*",21,26.9,481
"East Hampton School District","=""0420011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","ELA","N",421,125,29.7,101,24.0,"*","*","*","*","*","*",473
"East Hartford School District","=""0430011""","ELA","Y",28,20,71.4,"*","*","*","*",0,0.0,"*","*",387
"East Hartford School District","=""0430011""","Math","N",419,133,31.7,196,46.8,"*","*","*","*","*","*",460
"East Hartford School District","=""0430011""","Math","Y",28,20,71.4,"*","*","*","*",0,0.0,"*","*",385
"East Haven School District","=""0440011""","ELA","N",207,"*","*","*","*","*","*","*","*","*","*",485
