"CT School Day SAT, 2015-16"
"All Districts, ELA, Gender"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",20,"*","*","*","*","*","*","*","*","*","*",541
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",10,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Female",26,"*","*","*","*","*","*","*","*","*","*",531
"Amistad Academy District","=""2790013""","Male",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Female",63,"*","*",20,31.7,31,49.2,"*","*","*","*",486
"Ansonia School District","=""0020011""","Male",75,27,36.0,"*","*",31,41.3,"*","*","*","*",467
"Area Cooperative Educational Services","=""2440014""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Female",131,"*","*","*","*",58,44.3,57,43.5,115,87.8,600
"Avon School District","=""0040011""","Male",112,"*","*","*","*",44,39.3,60,53.6,104,92.9,616
"Berlin School District","=""0070011""","Female",118,"*","*",20,16.9,73,61.9,"*","*","*","*",545
"Berlin School District","=""0070011""","Male",112,"*","*",18,16.1,73,65.2,"*","*","*","*",518
"Bethel School District","=""0090011""","Female",104,6,5.8,12,11.5,60,57.7,26,25.0,86,82.7,558
"Bethel School District","=""0090011""","Male",90,13,14.4,10,11.1,58,64.4,9,10.0,67,74.4,525
"Bloomfield School District","=""0110011""","Female",82,24,29.3,"*","*",36,43.9,"*","*","*","*",468
"Bloomfield School District","=""0110011""","Male",84,25,29.8,"*","*",36,42.9,"*","*","*","*",468
"Bolton School District","=""0120011""","Female",39,"*","*","*","*",26,66.7,9,23.1,35,89.7,572
"Bolton School District","=""0120011""","Male",28,"*","*","*","*",14,50.0,6,21.4,20,71.4,533
"Branford School District","=""0140011""","Female",105,10,9.5,23,21.9,53,50.5,19,18.1,72,68.6,527
"Branford School District","=""0140011""","Male",140,30,21.4,29,20.7,55,39.3,26,18.6,81,57.9,513
"Bridgeport Achievement First District","=""2850013""","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
