"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Gender"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Female",20,"*","*","*","*","*","*","*","*","*","*",541
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Male",10,"*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Female",20,0,0.0,"*","*","*","*","*","*","*","*",543
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Male",10,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","Female",26,"*","*","*","*","*","*","*","*","*","*",531
"Amistad Academy District","=""2790013""","ELA","Male",18,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","Female",26,"*","*","*","*","*","*",0,0.0,"*","*",467
"Amistad Academy District","=""2790013""","Math","Male",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","Female",63,"*","*",20,31.7,31,49.2,"*","*","*","*",486
"Ansonia School District","=""0020011""","ELA","Male",75,27,36.0,"*","*",31,41.3,"*","*","*","*",467
"Ansonia School District","=""0020011""","Math","Female",63,23,36.5,25,39.7,"*","*","*","*",15,23.8,455
"Ansonia School District","=""0020011""","Math","Male",75,35,46.7,25,33.3,15,20.0,0,0.0,15,20.0,441
"Area Cooperative Educational Services","=""2440014""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","Female",131,"*","*","*","*",58,44.3,57,43.5,115,87.8,600
"Avon School District","=""0040011""","ELA","Male",112,"*","*","*","*",44,39.3,60,53.6,104,92.9,616
"Avon School District","=""0040011""","Math","Female",131,6,4.6,29,22.1,58,44.3,38,29.0,96,73.3,591
"Avon School District","=""0040011""","Math","Male",113,7,6.2,15,13.3,43,38.1,48,42.5,91,80.5,616
"Berlin School District","=""0070011""","ELA","Female",118,"*","*",20,16.9,73,61.9,"*","*","*","*",545
"Berlin School District","=""0070011""","ELA","Male",112,"*","*",18,16.1,73,65.2,"*","*","*","*",518
"Berlin School District","=""0070011""","Math","Female",118,14,11.9,41,34.7,50,42.4,13,11.0,63,53.4,533
"Berlin School District","=""0070011""","Math","Male",112,17,15.2,45,40.2,42,37.5,8,7.1,50,44.6,516
"Bethel School District","=""0090011""","ELA","Female",104,6,5.8,12,11.5,60,57.7,26,25.0,86,82.7,558
"Bethel School District","=""0090011""","ELA","Male",90,13,14.4,10,11.1,58,64.4,9,10.0,67,74.4,525
"Bethel School District","=""0090011""","Math","Female",104,11,10.6,37,35.6,45,43.3,11,10.6,56,53.8,531
"Bethel School District","=""0090011""","Math","Male",90,15,16.7,20,22.2,46,51.1,9,10.0,55,61.1,530
"Bloomfield School District","=""0110011""","ELA","Female",82,24,29.3,"*","*",36,43.9,"*","*","*","*",468
"Bloomfield School District","=""0110011""","ELA","Male",84,25,29.8,"*","*",36,42.9,"*","*","*","*",468
"Bloomfield School District","=""0110011""","Math","Female",82,24,29.3,45,54.9,13,15.9,0,0.0,13,15.9,453
"Bloomfield School District","=""0110011""","Math","Male",84,25,29.8,48,57.1,"*","*","*","*",11,13.1,454
"Bolton School District","=""0120011""","ELA","Female",39,"*","*","*","*",26,66.7,9,23.1,35,89.7,572
"Bolton School District","=""0120011""","ELA","Male",28,"*","*","*","*",14,50.0,6,21.4,20,71.4,533
"Bolton School District","=""0120011""","Math","Female",39,"*","*",13,33.3,"*","*","*","*","*","*",531
"Bolton School District","=""0120011""","Math","Male",28,"*","*",10,35.7,"*","*","*","*","*","*",494
"Branford School District","=""0140011""","ELA","Female",105,10,9.5,23,21.9,53,50.5,19,18.1,72,68.6,527
"Branford School District","=""0140011""","ELA","Male",140,30,21.4,29,20.7,55,39.3,26,18.6,81,57.9,513
"Branford School District","=""0140011""","Math","Female",105,19,18.1,52,49.5,25,23.8,9,8.6,34,32.4,499
"Branford School District","=""0140011""","Math","Male",140,38,27.1,51,36.4,33,23.6,18,12.9,51,36.4,497
"Bridgeport Achievement First District","=""2850013""","ELA","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","ELA","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","Female",18,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","Female",506,221,43.7,144,28.5,131,25.9,10,2.0,141,27.9,437
"Bridgeport School District","=""0150011""","ELA","Male",516,235,45.5,124,24.0,138,26.7,19,3.7,157,30.4,438
"Bridgeport School District","=""0150011""","Math","Female",506,253,50.0,214,42.3,"*","*","*","*",39,7.7,419
"Bridgeport School District","=""0150011""","Math","Male",514,263,51.2,188,36.6,"*","*","*","*",63,12.3,425
"Bristol School District","=""0170011""","ELA","Female",280,27,9.6,54,19.3,167,59.6,32,11.4,199,71.1,522
"Bristol School District","=""0170011""","ELA","Male",274,43,15.7,50,18.2,154,56.2,27,9.9,181,66.1,507
"Bristol School District","=""0170011""","Math","Female",280,55,19.6,140,50.0,74,26.4,11,3.9,85,30.4,487
"Bristol School District","=""0170011""","Math","Male",274,52,19.0,118,43.1,89,32.5,15,5.5,104,38.0,496
"Brookfield School District","=""0180011""","ELA","Female",100,"*","*","*","*",47,47.0,35,35.0,82,82.0,572
"Brookfield School District","=""0180011""","ELA","Male",123,"*","*","*","*",85,69.1,22,17.9,107,87.0,560
"Brookfield School District","=""0180011""","Math","Female",100,9,9.0,39,39.0,39,39.0,13,13.0,52,52.0,533
"Brookfield School District","=""0180011""","Math","Male",123,7,5.7,42,34.1,57,46.3,17,13.8,74,60.2,549
"Brooklyn School District","=""0190011""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","Female",57,"*","*","*","*",38,66.7,11,19.3,49,86.0,563
"Canton School District","=""0230011""","ELA","Male",59,"*","*","*","*",25,42.4,23,39.0,48,81.4,580
"Canton School District","=""0230011""","Math","Female",57,"*","*",23,40.4,25,43.9,"*","*","*","*",530
"Canton School District","=""0230011""","Math","Male",59,"*","*",13,22.0,23,39.0,"*","*","*","*",560
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","Female",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",411
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","Female",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",410
"Capitol Region Education Council","=""2410014""","ELA","Female",261,46,17.6,64,24.5,109,41.8,42,16.1,151,57.9,505
"Capitol Region Education Council","=""2410014""","ELA","Male",226,50,22.1,53,23.5,80,35.4,43,19.0,123,54.4,507
"Capitol Region Education Council","=""2410014""","Math","Female",261,84,32.2,128,49.0,42,16.1,7,2.7,49,18.8,459
"Capitol Region Education Council","=""2410014""","Math","Male",226,73,32.3,85,37.6,44,19.5,24,10.6,68,30.1,480
"Cheshire School District","=""0250011""","ELA","Female",178,7,3.9,15,8.4,102,57.3,54,30.3,156,87.6,579
"Cheshire School District","=""0250011""","ELA","Male",196,12,6.1,21,10.7,117,59.7,46,23.5,163,83.2,556
"Cheshire School District","=""0250011""","Math","Female",178,12,6.7,49,27.5,78,43.8,39,21.9,117,65.7,569
"Cheshire School District","=""0250011""","Math","Male",196,20,10.2,58,29.6,75,38.3,43,21.9,118,60.2,556
"Clinton School District","=""0270011""","ELA","Female",74,"*","*","*","*",48,64.9,14,18.9,62,83.8,551
"Clinton School District","=""0270011""","ELA","Male",51,"*","*",15,29.4,20,39.2,"*","*","*","*",512
"Clinton School District","=""0270011""","Math","Female",74,17,23.0,36,48.6,21,28.4,0,0.0,21,28.4,471
"Clinton School District","=""0270011""","Math","Male",50,"*","*",22,44.0,15,30.0,"*","*","*","*",483
"Colchester School District","=""0280011""","ELA","Female",106,10,9.4,14,13.2,63,59.4,19,17.9,82,77.4,551
"Colchester School District","=""0280011""","ELA","Male",88,6,6.8,15,17.0,49,55.7,18,20.5,67,76.1,546
"Colchester School District","=""0280011""","Math","Female",105,13,12.4,54,51.4,31,29.5,7,6.7,38,36.2,501
"Colchester School District","=""0280011""","Math","Male",88,11,12.5,32,36.4,37,42.0,8,9.1,45,51.1,524
"Common Ground High School District","=""2680013""","ELA","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELA","Male",22,"*","*","*","*","*","*","*","*","*","*",438
"Common Ground High School District","=""2680013""","Math","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Math","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",410
"Connecticut Technical High School System","=""9000016""","ELA","Female",946,226,23.9,333,35.2,365,38.6,22,2.3,387,40.9,465
"Connecticut Technical High School System","=""9000016""","ELA","Male",1499,369,24.6,434,29.0,630,42.0,66,4.4,696,46.4,472
"Connecticut Technical High School System","=""9000016""","Math","Female",946,365,38.6,489,51.7,"*","*","*","*",92,9.7,435
"Connecticut Technical High School System","=""9000016""","Math","Male",1498,475,31.7,766,51.1,"*","*","*","*",257,17.2,454
"Cooperative Educational Services","=""2430014""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","ELA","Female",71,"*","*","*","*",43,60.6,14,19.7,57,80.3,539
"Coventry School District","=""0320011""","ELA","Male",57,"*","*",13,22.8,31,54.4,"*","*","*","*",537
"Coventry School District","=""0320011""","Math","Female",71,"*","*",36,50.7,26,36.6,"*","*","*","*",508
"Coventry School District","=""0320011""","Math","Male",57,"*","*",14,24.6,26,45.6,"*","*","*","*",520
"Cromwell School District","=""0330011""","ELA","Female",69,"*","*","*","*",42,60.9,13,18.8,55,79.7,548
"Cromwell School District","=""0330011""","ELA","Male",77,13,16.9,"*","*",40,51.9,"*","*","*","*",511
"Cromwell School District","=""0330011""","Math","Female",69,"*","*",27,39.1,30,43.5,"*","*","*","*",512
"Cromwell School District","=""0330011""","Math","Male",77,"*","*",28,36.4,25,32.5,"*","*","*","*",506
"Danbury School District","=""0340011""","ELA","Female",314,85,27.1,66,21.0,134,42.7,29,9.2,163,51.9,486
"Danbury School District","=""0340011""","ELA","Male",328,94,28.7,68,20.7,124,37.8,42,12.8,166,50.6,485
"Danbury School District","=""0340011""","Math","Female",314,116,36.9,129,41.1,58,18.5,11,3.5,69,22.0,452
"Danbury School District","=""0340011""","Math","Male",327,109,33.3,129,39.4,67,20.5,22,6.7,89,27.2,472
"Darien School District","=""0350011""","ELA","Female",151,"*","*","*","*",61,40.4,84,55.6,145,96.0,628
"Darien School District","=""0350011""","ELA","Male",161,"*","*","*","*",69,42.9,81,50.3,150,93.2,610
"Darien School District","=""0350011""","Math","Female",151,"*","*","*","*",66,43.7,65,43.0,131,86.8,623
"Darien School District","=""0350011""","Math","Male",161,"*","*","*","*",52,32.3,78,48.4,130,80.7,628
"Derby School District","=""0370011""","ELA","Female",40,13,32.5,15,37.5,12,30.0,0,0.0,12,30.0,450
"Derby School District","=""0370011""","ELA","Male",46,17,37.0,14,30.4,"*","*","*","*",15,32.6,442
"Derby School District","=""0370011""","Math","Female",40,22,55.0,"*","*","*","*",0,0.0,"*","*",420
"Derby School District","=""0370011""","Math","Male",46,21,45.7,"*","*","*","*",0,0.0,"*","*",440
"East Granby School District","=""0400011""","ELA","Female",31,"*","*","*","*",12,38.7,10,32.3,22,71.0,557
"East Granby School District","=""0400011""","ELA","Male",31,"*","*","*","*",16,51.6,8,25.8,24,77.4,550
"East Granby School District","=""0400011""","Math","Female",31,"*","*",10,32.3,10,32.3,"*","*","*","*",515
"East Granby School District","=""0400011""","Math","Male",31,"*","*",13,41.9,12,38.7,"*","*","*","*",515
"East Haddam School District","=""0410011""","ELA","Female",51,"*","*","*","*",33,64.7,6,11.8,39,76.5,526
"East Haddam School District","=""0410011""","ELA","Male",27,"*","*","*","*",14,51.9,7,25.9,21,77.8,543
"East Haddam School District","=""0410011""","Math","Female",51,"*","*",25,49.0,8,15.7,"*","*","*","*",462
"East Haddam School District","=""0410011""","Math","Male",27,"*","*",12,44.4,9,33.3,"*","*","*","*",516
"East Hampton School District","=""0420011""","ELA","Female",75,"*","*","*","*",43,57.3,17,22.7,60,80.0,555
"East Hampton School District","=""0420011""","ELA","Male",54,"*","*","*","*",32,59.3,9,16.7,41,75.9,542
"East Hampton School District","=""0420011""","Math","Female",75,"*","*",28,37.3,31,41.3,"*","*","*","*",512
"East Hampton School District","=""0420011""","Math","Male",54,"*","*",21,38.9,18,33.3,"*","*","*","*",504
"East Hartford School District","=""0430011""","ELA","Female",234,65,27.8,56,23.9,94,40.2,19,8.1,113,48.3,480
"East Hartford School District","=""0430011""","ELA","Male",215,80,37.2,52,24.2,76,35.3,7,3.3,83,38.6,453
"East Hartford School District","=""0430011""","Math","Female",234,67,28.6,115,49.1,44,18.8,8,3.4,52,22.2,465
"East Hartford School District","=""0430011""","Math","Male",213,86,40.4,88,41.3,33,15.5,6,2.8,39,18.3,446
"East Haven School District","=""0440011""","ELA","Female",92,20,21.7,21,22.8,45,48.9,6,6.5,51,55.4,485
"East Haven School District","=""0440011""","ELA","Male",123,37,30.1,30,24.4,44,35.8,12,9.8,56,45.5,478
"East Haven School District","=""0440011""","Math","Female",92,31,33.7,48,52.2,"*","*","*","*",13,14.1,448
"East Haven School District","=""0440011""","Math","Male",123,51,41.5,46,37.4,"*","*","*","*",26,21.1,452
"East Lyme School District","=""0450011""","ELA","Female",125,"*","*","*","*",76,60.8,31,24.8,107,85.6,573
"East Lyme School District","=""0450011""","ELA","Male",131,"*","*","*","*",68,51.9,45,34.4,113,86.3,578
"East Lyme School District","=""0450011""","Math","Female",125,13,10.4,42,33.6,50,40.0,20,16.0,70,56.0,547
"East Lyme School District","=""0450011""","Math","Male",131,12,9.2,37,28.2,48,36.6,34,26.0,82,62.6,557
"East Windsor School District","=""0470011""","ELA","Female",33,"*","*",6,18.2,17,51.5,"*","*","*","*",507
"East Windsor School District","=""0470011""","ELA","Male",32,"*","*",8,25.0,18,56.3,"*","*","*","*",494
"East Windsor School District","=""0470011""","Math","Female",33,8,24.2,16,48.5,9,27.3,0,0.0,9,27.3,474
"East Windsor School District","=""0470011""","Math","Male",32,"*","*",15,46.9,9,28.1,"*","*","*","*",480
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Female",46,10,21.7,"*","*",21,45.7,"*","*","*","*",505
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELA","Male",26,9,34.6,"*","*",12,46.2,"*","*","*","*",458
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","Female",46,20,43.5,"*","*","*","*",0,0.0,"*","*",440
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Math","Male",26,15,57.7,"*","*","*","*",0,0.0,"*","*",412
"Education Connection","=""2420014""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","ELA","Female",97,7,7.2,8,8.2,65,67.0,17,17.5,82,84.5,556
"Ellington School District","=""0480011""","ELA","Male",106,12,11.3,21,19.8,56,52.8,17,16.0,73,68.9,525
"Ellington School District","=""0480011""","Math","Female",97,10,10.3,32,33.0,44,45.4,11,11.3,55,56.7,534
"Ellington School District","=""0480011""","Math","Male",106,13,12.3,48,45.3,32,30.2,13,12.3,45,42.5,522
"Elm City College Preparatory School District","=""2890013""","ELA","Female",14,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","ELA","Male",19,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","Female",14,"*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Math","Male",19,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","ELA","Female",169,18,10.7,44,26.0,96,56.8,11,6.5,107,63.3,504
"Enfield School District","=""0490011""","ELA","Male",177,37,20.9,41,23.2,83,46.9,16,9.0,99,55.9,496
"Enfield School District","=""0490011""","Math","Female",169,"*","*",79,46.7,52,30.8,"*","*","*","*",483
"Enfield School District","=""0490011""","Math","Male",177,"*","*",77,43.5,45,25.4,"*","*","*","*",491
"Explorations District","=""2720013""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","ELA","Female",357,22,6.2,28,7.8,189,52.9,118,33.1,307,86.0,580
"Fairfield School District","=""0510011""","ELA","Male",356,28,7.9,32,9.0,196,55.1,100,28.1,296,83.1,564
"Fairfield School District","=""0510011""","Math","Female",357,24,6.7,102,28.6,175,49.0,56,15.7,231,64.7,555
"Fairfield School District","=""0510011""","Math","Male",356,31,8.7,104,29.2,150,42.1,71,19.9,221,62.1,558
"Farmington School District","=""0520011""","ELA","Female",127,10,7.9,6,4.7,60,47.2,51,40.2,111,87.4,583
"Farmington School District","=""0520011""","ELA","Male",173,10,5.8,22,12.7,84,48.6,57,32.9,141,81.5,572
"Farmington School District","=""0520011""","Math","Female",127,12,9.4,38,29.9,44,34.6,33,26.0,77,60.6,562
"Farmington School District","=""0520011""","Math","Male",173,13,7.5,53,30.6,56,32.4,51,29.5,107,61.8,572
"Glastonbury School District","=""0540011""","ELA","Female",264,10,3.8,23,8.7,150,56.8,81,30.7,231,87.5,576
"Glastonbury School District","=""0540011""","ELA","Male",219,12,5.5,26,11.9,124,56.6,57,26.0,181,82.6,563
