"CT School Day SAT, 2015-16"
"All Districts, Math, High Needs (F/R, EL or SWD)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","High Needs (F, R, ELL or SWD)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",80,42,52.5,28,35.0,10,12.5,0,0.0,10,12.5,423
"Ansonia School District","=""0020011""","N",58,"*","*",22,37.9,19,32.8,"*","*","*","*",482
"Area Cooperative Educational Services","=""2440014""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",33,"*","*",11,33.3,9,27.3,"*","*","*","*",481
"Avon School District","=""0040011""","N",211,"*","*",33,15.6,92,43.6,"*","*","*","*",622
"Berlin School District","=""0070011""","Y",44,17,38.6,19,43.2,"*","*","*","*",8,18.2,456
"Berlin School District","=""0070011""","N",186,"*","*",67,36.0,85,45.7,"*","*","*","*",541
"Bethel School District","=""0090011""","Y",45,14,31.1,15,33.3,"*","*","*","*",16,35.6,474
"Bethel School District","=""0090011""","N",149,"*","*",42,28.2,78,52.3,"*","*","*","*",548
"Bloomfield School District","=""0110011""","Y",76,28,36.8,41,53.9,7,9.2,0,0.0,7,9.2,436
"Bloomfield School District","=""0110011""","N",90,21,23.3,52,57.8,"*","*","*","*",17,18.9,469
"Bolton School District","=""0120011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",57,"*","*","*","*","*","*","*","*","*","*",543
"Branford School District","=""0140011""","Y",83,36,43.4,33,39.8,"*","*","*","*",14,16.9,443
"Branford School District","=""0140011""","N",162,"*","*",70,43.2,46,28.4,"*","*","*","*",526
"Bridgeport Achievement First District","=""2850013""","Y",27,"*","*","*","*","*","*",0,0.0,"*","*",494
"Bridgeport Achievement First District","=""2850013""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""","Y",221,68,30.8,108,48.9,"*","*","*","*",45,20.4,461
"Bristol School District","=""0170011""","N",333,"*","*",150,45.0,123,36.9,"*","*","*","*",512
"Brookfield School District","=""0180011""","Y",41,"*","*",21,51.2,6,14.6,"*","*","*","*",462
"Brookfield School District","=""0180011""","N",182,"*","*",60,33.0,90,49.5,"*","*","*","*",560
"Brooklyn School District","=""0190011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Y",25,"*","*",8,32.0,6,24.0,"*","*","*","*",462
"Canton School District","=""0230011""","N",91,"*","*",28,30.8,42,46.2,"*","*","*","*",568
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Y",264,121,45.8,116,43.9,"*","*","*","*",27,10.2,428
"Capitol Region Education Council","=""2410014""","N",223,"*","*",97,43.5,63,28.3,"*","*","*","*",517
"Cheshire School District","=""0250011""","Y",59,20,33.9,25,42.4,"*","*","*","*",14,23.7,463
"Cheshire School District","=""0250011""","N",315,"*","*",82,26.0,142,45.1,"*","*","*","*",581
"Clinton School District","=""0270011""","Y",25,12,48.0,"*","*","*","*",0,0.0,"*","*",420
"Clinton School District","=""0270011""","N",99,16,16.2,49,49.5,"*","*","*","*","*","*",489
"Colchester School District","=""0280011""","Y",49,18,36.7,20,40.8,"*","*","*","*",11,22.4,443
"Colchester School District","=""0280011""","N",144,"*","*",66,45.8,58,40.3,"*","*","*","*",535
"Common Ground High School District","=""2680013""","Y",20,"*","*","*","*","*","*",0,0.0,"*","*",393
"Common Ground High School District","=""2680013""","N",19,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Y",1268,527,41.6,623,49.1,"*","*","*","*",118,9.3,431
"Connecticut Technical High School System","=""9000016""","N",1176,313,26.6,632,53.7,"*","*","*","*",231,19.6,463
"Cooperative Educational Services","=""2430014""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",29,15,51.7,"*","*","*","*",0,0.0,"*","*",433
"Coventry School District","=""0320011""","N",99,6,6.1,41,41.4,"*","*","*","*","*","*",537
"Cromwell School District","=""0330011""","Y",51,"*","*",17,33.3,"*","*",0,0.0,"*","*",453
"Cromwell School District","=""0330011""","N",95,"*","*",38,40.0,40,42.1,"*","*","*","*",539
"Danbury School District","=""0340011""","Y",313,165,52.7,115,36.7,"*","*","*","*",33,10.5,420
"Danbury School District","=""0340011""","N",328,"*","*",143,43.6,97,29.6,"*","*","*","*",502
"Darien School District","=""0350011""","Y",44,"*","*",21,47.7,12,27.3,"*","*","*","*",514
"Darien School District","=""0350011""","N",268,"*","*",22,8.2,106,39.6,"*","*","*","*",644
