"CT School Day SAT, 2015-16"
"All Districts, ELA, Special Education Status (SWD)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Special Education","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Ansonia School District","=""0020011""","N",124,"*","*","*","*","*","*","*","*","*","*",485
"Ansonia School District","=""0020011""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",220,"*","*","*","*",94,42.7,111,50.5,205,93.2,616
"Avon School District","=""0040011""","Y",23,"*","*","*","*",8,34.8,6,26.1,14,60.9,527
"Berlin School District","=""0070011""","N",208,12,5.8,32,15.4,140,67.3,24,11.5,164,78.8,541
"Berlin School District","=""0070011""","Y",22,10,45.5,6,27.3,6,27.3,0,0.0,6,27.3,443
"Bethel School District","=""0090011""","N",181,"*","*","*","*","*","*","*","*","*","*",553
"Bethel School District","=""0090011""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N",150,"*","*","*","*","*","*","*","*","*","*",475
"Bloomfield School District","=""0110011""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",207,"*","*",43,20.8,100,48.3,"*","*","*","*",537
"Branford School District","=""0140011""","Y",38,20,52.6,9,23.7,"*","*","*","*",9,23.7,423
"Bridgeport Achievement First District","=""2850013""","N",34,"*","*","*","*",25,73.5,"*","*","*","*",515
"Bridgeport School District","=""0150011""","N",915,370,40.4,252,27.5,"*","*","*","*","*","*",444
"Bridgeport School District","=""0150011""","Y",107,86,80.4,16,15.0,"*","*","*","*","*","*",381
"Bristol School District","=""0170011""","N",475,"*","*",89,18.7,303,63.8,"*","*","*","*",531
"Bristol School District","=""0170011""","Y",79,45,57.0,"*","*",18,22.8,"*","*","*","*",418
"Brookfield School District","=""0180011""","N",200,"*","*","*","*",126,63.0,57,28.5,183,91.5,579
"Brookfield School District","=""0180011""","Y",23,"*","*",9,39.1,"*","*",0,0.0,"*","*",443
