"CT School Day SAT, 2015-16"
"All Districts, ELA, English Learner Status (EL)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","ELL","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""","N",44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Ansonia School District","=""0020011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",18,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N",166,49,29.5,"*","*",72,43.4,"*","*","*","*",468
"Bolton School District","=""0120011""","N",67,6,9.0,6,9.0,40,59.7,15,22.4,55,82.1,555
"Branford School District","=""0140011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N",34,"*","*","*","*",25,73.5,"*","*","*","*",515
"Bridgeport School District","=""0150011""","N",900,354,39.3,249,27.7,"*","*","*","*","*","*",447
"Bridgeport School District","=""0150011""","Y",122,102,83.6,"*","*","*","*",0,0.0,"*","*",370
"Bristol School District","=""0170011""","N",547,"*","*","*","*","*","*","*","*","*","*",516
"Bristol School District","=""0170011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",116,7,6.0,12,10.3,63,54.3,34,29.3,97,83.6,571
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",28,14,50.0,"*","*","*","*",0,0.0,"*","*",416
"Capitol Region Education Council","=""2410014""","N",474,"*","*","*","*","*","*","*","*","*","*",509
"Capitol Region Education Council","=""2410014""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","N",194,16,8.2,29,14.9,112,57.7,37,19.1,149,76.8,549
"Common Ground High School District","=""2680013""","N",39,16,41.0,"*","*",12,30.8,"*","*","*","*",462
"Connecticut Technical High School System","=""9000016""","N",2385,555,23.3,748,31.4,"*","*","*","*","*","*",471
"Connecticut Technical High School System","=""9000016""","Y",60,40,66.7,"*","*","*","*",0,0.0,"*","*",392
"Cooperative Educational Services","=""2430014""","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",128,10,7.8,22,17.2,74,57.8,22,17.2,96,75.0,538
"Cromwell School District","=""0330011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",560,112,20.0,121,21.6,"*","*","*","*","*","*",501
"Danbury School District","=""0340011""","Y",82,67,81.7,"*","*","*","*",0,0.0,"*","*",379
"Darien School District","=""0350011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Darien School District","=""0350011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Derby School District","=""0370011""","N",80,"*","*","*","*","*","*","*","*","*","*",453
"Derby School District","=""0370011""","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",62,7,11.3,9,14.5,28,45.2,18,29.0,46,74.2,553
"East Haddam School District","=""0410011""","N",78,10,12.8,8,10.3,47,60.3,13,16.7,60,76.9,532
"East Hampton School District","=""0420011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","N",421,125,29.7,101,24.0,"*","*","*","*","*","*",473
"East Hartford School District","=""0430011""","Y",28,20,71.4,"*","*","*","*",0,0.0,"*","*",387
"East Haven School District","=""0440011""","N",207,"*","*","*","*","*","*","*","*","*","*",485
"East Haven School District","=""0440011""","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Windsor School District","=""0470011""","N",65,10,15.4,14,21.5,35,53.8,6,9.2,41,63.1,501
