"CT School Day SAT, 2015-16"
"All Districts, Math, Special Education Status (SWD)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Special Education","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","N","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""","N",124,"*","*","*","*","*","*","*","*","*","*",455
"Ansonia School District","=""0020011""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",221,"*","*",38,17.2,94,42.5,"*","*","*","*",615
"Avon School District","=""0040011""","Y",23,"*","*",6,26.1,7,30.4,"*","*","*","*",486
"Berlin School District","=""0070011""","N",208,17,8.2,78,37.5,92,44.2,21,10.1,113,54.3,538
"Berlin School District","=""0070011""","Y",22,14,63.6,8,36.4,0,0.0,0,0.0,0,0.0,398
"Bethel School District","=""0090011""","N",181,"*","*","*","*","*","*","*","*","*","*",540
"Bethel School District","=""0090011""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N",150,"*","*","*","*","*","*","*","*","*","*",461
"Bloomfield School District","=""0110011""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","N",207,33,15.9,93,44.9,"*","*","*","*","*","*",515
"Branford School District","=""0140011""","Y",38,24,63.2,"*","*","*","*",0,0.0,"*","*",407
"Bridgeport Achievement First District","=""2850013""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport Achievement First District","=""2850013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","N",914,424,46.4,389,42.6,"*","*","*","*","*","*",429
"Bridgeport School District","=""0150011""","Y",106,92,86.8,"*","*","*","*",0,0.0,"*","*",362
"Bristol School District","=""0170011""","N",475,58,12.2,233,49.1,"*","*","*","*","*","*",506
"Bristol School District","=""0170011""","Y",79,49,62.0,"*","*","*","*",0,0.0,"*","*",406
"Brookfield School District","=""0180011""","N",200,7,3.5,69,34.5,"*","*","*","*","*","*",555
"Brookfield School District","=""0180011""","Y",23,9,39.1,12,52.2,"*","*","*","*","*","*",424
"Brooklyn School District","=""0190011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",103,"*","*","*","*","*","*","*","*","*","*",563
"Canton School District","=""0230011""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","N",430,115,26.7,203,47.2,"*","*","*","*","*","*",480
"Capitol Region Education Council","=""2410014""","Y",57,42,73.7,"*","*","*","*",0,0.0,"*","*",384
"Cheshire School District","=""0250011""","N",343,"*","*",90,26.2,"*","*",82,23.9,"*","*",574
"Cheshire School District","=""0250011""","Y",31,"*","*",17,54.8,"*","*",0,0.0,"*","*",429
"Clinton School District","=""0270011""","N",116,"*","*","*","*","*","*","*","*","*","*",483
"Clinton School District","=""0270011""","Y",8,"*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","N",175,"*","*","*","*","*","*","*","*","*","*",526
"Colchester School District","=""0280011""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","N",33,"*","*","*","*","*","*","*","*","*","*",434
"Common Ground High School District","=""2680013""","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","N",2272,726,32.0,1204,53.0,"*","*","*","*",342,15.1,450
"Connecticut Technical High School System","=""9000016""","Y",172,114,66.3,51,29.7,"*","*","*","*",7,4.1,398
"Cooperative Educational Services","=""2430014""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","N",118,"*","*","*","*","*","*","*","*","*","*",527
"Coventry School District","=""0320011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","N",127,"*","*","*","*","*","*","*","*","*","*",529
"Cromwell School District","=""0330011""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","N",578,175,30.3,245,42.4,125,21.6,33,5.7,158,27.3,472
"Danbury School District","=""0340011""","Y",63,50,79.4,13,20.6,0,0.0,0,0.0,0,0.0,372
"Darien School District","=""0350011""","N",274,"*","*",23,8.4,109,39.8,"*","*","*","*",643
"Darien School District","=""0350011""","Y",38,"*","*",20,52.6,9,23.7,"*","*","*","*",501
