"CT School Day SAT, 2015-16"
"All Districts, Math, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",76,39,51.3,28,36.8,9,11.8,0,0.0,9,11.8,424
"Ansonia School District","=""0020011""","N",62,"*","*",22,35.5,20,32.3,"*","*","*","*",477
"Area Cooperative Educational Services","=""2440014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",231,"*","*","*","*","*","*","*","*","*","*",611
"Berlin School District","=""0070011""","Y",27,"*","*",14,51.9,7,25.9,"*","*","*","*",493
"Berlin School District","=""0070011""","N",203,"*","*",72,35.5,85,41.9,"*","*","*","*",529
"Bethel School District","=""0090011""","Y",36,"*","*",11,30.6,12,33.3,"*","*","*","*",490
"Bethel School District","=""0090011""","N",158,"*","*",46,29.1,79,50.0,"*","*","*","*",540
"Bloomfield School District","=""0110011""","Y",67,23,34.3,37,55.2,7,10.4,0,0.0,7,10.4,440
"Bloomfield School District","=""0110011""","N",99,26,26.3,56,56.6,"*","*","*","*",17,17.2,463
"Bolton School District","=""0120011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",58,"*","*","*","*","*","*","*","*","*","*",539
"Branford School District","=""0140011""","Y",58,23,39.7,25,43.1,"*","*","*","*",10,17.2,450
"Branford School District","=""0140011""","N",187,"*","*",78,41.7,50,26.7,"*","*","*","*",513
"Bridgeport Achievement First District","=""2850013""","Y",27,"*","*","*","*","*","*",0,0.0,"*","*",494
"Bridgeport Achievement First District","=""2850013""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""","Y",183,50,27.3,91,49.7,"*","*","*","*",42,23.0,469
"Bristol School District","=""0170011""","N",371,"*","*",167,45.0,126,34.0,"*","*","*","*",503
"Brookfield School District","=""0180011""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",205,"*","*","*","*","*","*","*","*","*","*",545
"Brooklyn School District","=""0190011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",100,"*","*","*","*","*","*","*","*","*","*",554
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",12,"*","*","*","*","*","*","*","*","*","*","*"
