"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","Y",80,30,37.5,18,22.5,32,40.0,0,0.0,32,40.0,452
"Ansonia School District","=""0020011""","ELA","N",58,"*","*",17,29.3,30,51.7,"*","*","*","*",509
"Ansonia School District","=""0020011""","Math","Y",80,42,52.5,28,35.0,10,12.5,0,0.0,10,12.5,423
"Ansonia School District","=""0020011""","Math","N",58,"*","*",22,37.9,19,32.8,"*","*","*","*",482
"Area Cooperative Educational Services","=""2440014""","ELA","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","Y",32,"*","*",8,25.0,12,37.5,"*","*","*","*",520
"Avon School District","=""0040011""","ELA","N",211,"*","*","*","*",90,42.7,110,52.1,200,94.8,621
"Avon School District","=""0040011""","Math","Y",33,"*","*",11,33.3,9,27.3,"*","*","*","*",481
"Avon School District","=""0040011""","Math","N",211,"*","*",33,15.6,92,43.6,"*","*","*","*",622
"Berlin School District","=""0070011""","ELA","Y",44,11,25.0,"*","*",22,50.0,"*","*","*","*",482
"Berlin School District","=""0070011""","ELA","N",186,"*","*",28,15.1,124,66.7,"*","*","*","*",544
"Berlin School District","=""0070011""","Math","Y",44,17,38.6,19,43.2,"*","*","*","*",8,18.2,456
"Berlin School District","=""0070011""","Math","N",186,"*","*",67,36.0,85,45.7,"*","*","*","*",541
"Bethel School District","=""0090011""","ELA","Y",45,11,24.4,"*","*",20,44.4,"*","*","*","*",487
"Bethel School District","=""0090011""","ELA","N",149,"*","*",12,8.1,98,65.8,"*","*","*","*",560
"Bethel School District","=""0090011""","Math","Y",45,14,31.1,15,33.3,"*","*","*","*",16,35.6,474
"Bethel School District","=""0090011""","Math","N",149,"*","*",42,28.2,78,52.3,"*","*","*","*",548
"Bloomfield School District","=""0110011""","ELA","Y",76,28,36.8,"*","*",29,38.2,"*","*","*","*",449
"Bloomfield School District","=""0110011""","ELA","N",90,"*","*",22,24.4,43,47.8,"*","*","*","*",483
"Bloomfield School District","=""0110011""","Math","Y",76,28,36.8,41,53.9,7,9.2,0,0.0,7,9.2,436
"Bloomfield School District","=""0110011""","Math","N",90,21,23.3,52,57.8,"*","*","*","*",17,18.9,469
"Bolton School District","=""0120011""","ELA","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","N",57,"*","*","*","*","*","*","*","*","*","*",578
"Bolton School District","=""0120011""","Math","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","N",57,"*","*","*","*","*","*","*","*","*","*",543
"Branford School District","=""0140011""","ELA","Y",83,28,33.7,"*","*",28,33.7,"*","*","*","*",460
"Branford School District","=""0140011""","ELA","N",162,"*","*",30,18.5,80,49.4,"*","*","*","*",549
"Branford School District","=""0140011""","Math","Y",83,36,43.4,33,39.8,"*","*","*","*",14,16.9,443
"Branford School District","=""0140011""","Math","N",162,"*","*",70,43.2,46,28.4,"*","*","*","*",526
"Bridgeport Achievement First District","=""2850013""","ELA","Y",26,"*","*","*","*","*","*","*","*","*","*",508
"Bridgeport Achievement First District","=""2850013""","ELA","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","Y",27,"*","*","*","*","*","*",0,0.0,"*","*",494
"Bridgeport Achievement First District","=""2850013""","Math","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","Y",1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bridgeport School District","=""0150011""","Math","Y",1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""","ELA","Y",221,56,25.3,51,23.1,100,45.2,14,6.3,114,51.6,478
"Bristol School District","=""0170011""","ELA","N",333,14,4.2,53,15.9,221,66.4,45,13.5,266,79.9,539
"Bristol School District","=""0170011""","Math","Y",221,68,30.8,108,48.9,"*","*","*","*",45,20.4,461
"Bristol School District","=""0170011""","Math","N",333,"*","*",150,45.0,123,36.9,"*","*","*","*",512
"Brookfield School District","=""0180011""","ELA","Y",41,"*","*",12,29.3,18,43.9,"*","*","*","*",487
"Brookfield School District","=""0180011""","ELA","N",182,0,0.0,"*","*",114,62.6,"*","*","*","*",583
"Brookfield School District","=""0180011""","Math","Y",41,"*","*",21,51.2,6,14.6,"*","*","*","*",462
"Brookfield School District","=""0180011""","Math","N",182,"*","*",60,33.0,90,49.5,"*","*","*","*",560
"Brooklyn School District","=""0190011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","ELA","Y",25,"*","*","*","*",13,52.0,"*","*","*","*",503
"Canton School District","=""0230011""","ELA","N",91,"*","*","*","*",50,54.9,"*","*","*","*",590
"Canton School District","=""0230011""","Math","Y",25,"*","*",8,32.0,6,24.0,"*","*","*","*",462
"Canton School District","=""0230011""","Math","N",91,"*","*",28,30.8,42,46.2,"*","*","*","*",568
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","ELA","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Math","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELA","Y",264,80,30.3,80,30.3,91,34.5,13,4.9,104,39.4,461
"Capitol Region Education Council","=""2410014""","ELA","N",223,16,7.2,37,16.6,98,43.9,72,32.3,170,76.2,559
"Capitol Region Education Council","=""2410014""","Math","Y",264,121,45.8,116,43.9,"*","*","*","*",27,10.2,428
