"CT School Day SAT, 2015-16"
"All Districts, Math, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","F",32,"*","*",19,59.4,7,21.9,"*","*","*","*",478
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",61,35,57.4,"*","*","*","*",0,0.0,"*","*",417
"Ansonia School District","=""0020011""","N",62,"*","*",22,35.5,20,32.3,"*","*","*","*",477
"Ansonia School District","=""0020011""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",231,7,3.0,39,16.9,99,42.9,86,37.2,185,80.1,611
"Avon School District","=""0040011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","N",203,26,12.8,72,35.5,85,41.9,20,9.9,105,51.7,529
"Berlin School District","=""0070011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","F",26,"*","*","*","*","*","*","*","*","*","*",481
"Bethel School District","=""0090011""","N",158,16,10.1,46,29.1,79,50.0,17,10.8,96,60.8,540
"Bethel School District","=""0090011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","F",54,"*","*","*","*","*","*",0,0.0,"*","*",434
"Bloomfield School District","=""0110011""","N",99,26,26.3,56,56.6,"*","*","*","*",17,17.2,463
"Bloomfield School District","=""0110011""","R",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","F",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",58,"*","*","*","*","*","*","*","*","*","*",539
"Branford School District","=""0140011""","F",41,"*","*","*","*","*","*","*","*","*","*",452
"Branford School District","=""0140011""","N",187,34,18.2,78,41.7,50,26.7,25,13.4,75,40.1,513
"Branford School District","=""0140011""","R",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","F",20,"*","*","*","*",10,50.0,0,0.0,10,50.0,492
"Bridgeport Achievement First District","=""2850013""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","F",1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""","F",150,43,28.7,75,50.0,"*","*","*","*",32,21.3,464
"Bristol School District","=""0170011""","N",371,57,15.4,167,45.0,126,34.0,21,5.7,147,39.6,503
"Bristol School District","=""0170011""","R",33,"*","*",16,48.5,8,24.2,"*","*","*","*",492
"Brookfield School District","=""0180011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",205,13,6.3,73,35.6,91,44.4,28,13.7,119,58.0,545
