"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Free/Reduced Price Meal Eligibility (2-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELA","Y",76,27,35.5,18,23.7,31,40.8,0,0.0,31,40.8,453
"Ansonia School District","=""0020011""","ELA","N",62,"*","*",17,27.4,31,50.0,"*","*","*","*",503
"Ansonia School District","=""0020011""","Math","Y",76,39,51.3,28,36.8,9,11.8,0,0.0,9,11.8,424
"Ansonia School District","=""0020011""","Math","N",62,"*","*",22,35.5,20,32.3,"*","*","*","*",477
"Area Cooperative Educational Services","=""2440014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","N",231,"*","*","*","*","*","*","*","*","*","*",614
"Avon School District","=""0040011""","Math","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Math","N",231,"*","*","*","*","*","*","*","*","*","*",611
"Berlin School District","=""0070011""","ELA","Y",27,"*","*",6,22.2,17,63.0,"*","*","*","*",506
"Berlin School District","=""0070011""","ELA","N",203,"*","*",32,15.8,129,63.5,"*","*","*","*",535
"Berlin School District","=""0070011""","Math","Y",27,"*","*",14,51.9,7,25.9,"*","*","*","*",493
"Berlin School District","=""0070011""","Math","N",203,"*","*",72,35.5,85,41.9,"*","*","*","*",529
"Bethel School District","=""0090011""","ELA","Y",36,"*","*",8,22.2,19,52.8,"*","*","*","*",509
"Bethel School District","=""0090011""","ELA","N",158,"*","*",14,8.9,99,62.7,"*","*","*","*",551
"Bethel School District","=""0090011""","Math","Y",36,"*","*",11,30.6,12,33.3,"*","*","*","*",490
"Bethel School District","=""0090011""","Math","N",158,"*","*",46,29.1,79,50.0,"*","*","*","*",540
"Bloomfield School District","=""0110011""","ELA","Y",67,23,34.3,"*","*",28,41.8,"*","*","*","*",454
"Bloomfield School District","=""0110011""","ELA","N",99,26,26.3,"*","*",44,44.4,"*","*","*","*",477
"Bloomfield School District","=""0110011""","Math","Y",67,23,34.3,37,55.2,7,10.4,0,0.0,7,10.4,440
"Bloomfield School District","=""0110011""","Math","N",99,26,26.3,56,56.6,"*","*","*","*",17,17.2,463
"Bolton School District","=""0120011""","ELA","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","N",58,"*","*","*","*","*","*","*","*","*","*",574
"Bolton School District","=""0120011""","Math","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","N",58,"*","*","*","*","*","*","*","*","*","*",539
"Branford School District","=""0140011""","ELA","Y",58,18,31.0,"*","*",21,36.2,"*","*","*","*",469
"Branford School District","=""0140011""","ELA","N",187,"*","*",37,19.8,87,46.5,"*","*","*","*",535
"Branford School District","=""0140011""","Math","Y",58,23,39.7,25,43.1,"*","*","*","*",10,17.2,450
"Branford School District","=""0140011""","Math","N",187,"*","*",78,41.7,50,26.7,"*","*","*","*",513
"Bridgeport Achievement First District","=""2850013""","ELA","Y",26,"*","*","*","*","*","*","*","*","*","*",508
"Bridgeport Achievement First District","=""2850013""","ELA","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","Y",27,"*","*","*","*","*","*",0,0.0,"*","*",494
"Bridgeport Achievement First District","=""2850013""","Math","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","Y",1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bridgeport School District","=""0150011""","Math","Y",1020,516,50.6,402,39.4,86,8.4,16,1.6,102,10.0,422
"Bristol School District","=""0170011""","ELA","Y",183,39,21.3,44,24.0,86,47.0,14,7.7,100,54.6,487
