"CT School Day SAT, 2015-16"
"All Districts, ELA, Free/Reduced Price Meal Eligibility (2-level"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",76,27,35.5,18,23.7,31,40.8,0,0.0,31,40.8,453
"Ansonia School District","=""0020011""","N",62,"*","*",17,27.4,31,50.0,"*","*","*","*",503
"Area Cooperative Educational Services","=""2440014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",231,"*","*","*","*","*","*","*","*","*","*",614
"Berlin School District","=""0070011""","Y",27,"*","*",6,22.2,17,63.0,"*","*","*","*",506
"Berlin School District","=""0070011""","N",203,"*","*",32,15.8,129,63.5,"*","*","*","*",535
"Bethel School District","=""0090011""","Y",36,"*","*",8,22.2,19,52.8,"*","*","*","*",509
"Bethel School District","=""0090011""","N",158,"*","*",14,8.9,99,62.7,"*","*","*","*",551
"Bloomfield School District","=""0110011""","Y",67,23,34.3,"*","*",28,41.8,"*","*","*","*",454
"Bloomfield School District","=""0110011""","N",99,26,26.3,"*","*",44,44.4,"*","*","*","*",477
"Bolton School District","=""0120011""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",58,"*","*","*","*","*","*","*","*","*","*",574
"Branford School District","=""0140011""","Y",58,18,31.0,"*","*",21,36.2,"*","*","*","*",469
"Branford School District","=""0140011""","N",187,"*","*",37,19.8,87,46.5,"*","*","*","*",535
"Bridgeport Achievement First District","=""2850013""","Y",26,"*","*","*","*","*","*","*","*","*","*",508
"Bridgeport Achievement First District","=""2850013""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bristol School District","=""0170011""","Y",183,39,21.3,44,24.0,86,47.0,14,7.7,100,54.6,487
"Bristol School District","=""0170011""","N",371,31,8.4,60,16.2,235,63.3,45,12.1,280,75.5,528
"Brookfield School District","=""0180011""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",205,"*","*","*","*","*","*","*","*","*","*",567
"Brooklyn School District","=""0190011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",100,"*","*","*","*","*","*","*","*","*","*",579
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",12,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Y",245,74,30.2,75,30.6,84,34.3,12,4.9,96,39.2,461
"Capitol Region Education Council","=""2410014""","N",242,22,9.1,42,17.4,105,43.4,73,30.2,178,73.6,551
