"CT School Day SAT, 2015-16"
"All Districts, ELA, Free/Reduced Price Meal Eligibility (3-level"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""","F",32,"*","*","*","*",21,65.6,"*","*","*","*",523
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",61,24,39.3,"*","*","*","*",0,0.0,"*","*",440
"Ansonia School District","=""0020011""","N",62,"*","*",17,27.4,31,50.0,"*","*","*","*",503
"Ansonia School District","=""0020011""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",231,6,2.6,12,5.2,97,42.0,116,50.2,213,92.2,614
"Avon School District","=""0040011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","N",203,19,9.4,32,15.8,129,63.5,23,11.3,152,74.9,535
"Berlin School District","=""0070011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","F",26,"*","*","*","*","*","*","*","*","*","*",502
"Bethel School District","=""0090011""","N",158,14,8.9,14,8.9,99,62.7,31,19.6,130,82.3,551
"Bethel School District","=""0090011""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","F",54,"*","*","*","*","*","*","*","*","*","*",451
"Bloomfield School District","=""0110011""","N",99,26,26.3,"*","*",44,44.4,"*","*","*","*",477
"Bloomfield School District","=""0110011""","R",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","F",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",58,"*","*","*","*","*","*","*","*","*","*",574
"Branford School District","=""0140011""","F",41,"*","*","*","*","*","*","*","*","*","*",467
"Branford School District","=""0140011""","N",187,22,11.8,37,19.8,87,46.5,41,21.9,128,68.4,535
"Branford School District","=""0140011""","R",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","F",19,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","F",1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bristol School District","=""0170011""","F",150,35,23.3,"*","*",70,46.7,"*","*","*","*",483
"Bristol School District","=""0170011""","N",371,"*","*",60,16.2,235,63.3,"*","*","*","*",528
"Bristol School District","=""0170011""","R",33,"*","*",10,30.3,16,48.5,"*","*","*","*",503
"Brookfield School District","=""0180011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",205,8,3.9,22,10.7,120,58.5,55,26.8,175,85.4,567
"Brookfield School District","=""0180011""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",100,"*","*","*","*",54,54.0,33,33.0,87,87.0,579
