"CT School Day SAT, 2015-16"
"All Districts, ELA, All Students"

"",,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""",44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Ansonia School District","=""0020011""",138,37,26.8,"*","*",62,44.9,"*","*","*","*",476
"Area Cooperative Educational Services","=""2440014""",18,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",243,8,3.3,16,6.6,102,42.0,117,48.1,219,90.1,607
"Berlin School District","=""0070011""",230,22,9.6,38,16.5,146,63.5,24,10.4,170,73.9,532
"Bethel School District","=""0090011""",194,19,9.8,22,11.3,118,60.8,35,18.0,153,78.9,543
"Bloomfield School District","=""0110011""",166,49,29.5,"*","*",72,43.4,"*","*","*","*",468
"Bolton School District","=""0120011""",67,6,9.0,6,9.0,40,59.7,15,22.4,55,82.1,555
"Branford School District","=""0140011""",245,40,16.3,52,21.2,108,44.1,45,18.4,153,62.4,519
"Bridgeport Achievement First District","=""2850013""",34,"*","*","*","*",25,73.5,"*","*","*","*",515
"Bridgeport School District","=""0150011""",1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bristol School District","=""0170011""",554,70,12.6,104,18.8,321,57.9,59,10.6,380,68.6,515
"Brookfield School District","=""0180011""",223,9,4.0,25,11.2,132,59.2,57,25.6,189,84.8,565
"Brooklyn School District","=""0190011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""",116,7,6.0,12,10.3,63,54.3,34,29.3,97,83.6,571
"Capital Preparatory Harbor School Inc. District","=""2970013""",28,14,50.0,"*","*","*","*",0,0.0,"*","*",416
"Capitol Region Education Council","=""2410014""",487,96,19.7,117,24.0,189,38.8,85,17.5,274,56.3,506
"Cheshire School District","=""0250011""",374,19,5.1,36,9.6,219,58.6,100,26.7,319,85.3,567
"Clinton School District","=""0270011""",125,11,8.8,23,18.4,68,54.4,23,18.4,91,72.8,535
"Colchester School District","=""0280011""",194,16,8.2,29,14.9,112,57.7,37,19.1,149,76.8,549
"Common Ground High School District","=""2680013""",39,16,41.0,"*","*",12,30.8,"*","*","*","*",462
