"CT School Day SAT, 2015-16"
"All Districts, ELA, High Needs (F/R, EL or SWD)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","High Needs (F, R, ELL or SWD)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",80,30,37.5,18,22.5,32,40.0,0,0.0,32,40.0,452
"Ansonia School District","=""0020011""","N",58,"*","*",17,29.3,30,51.7,"*","*","*","*",509
"Area Cooperative Educational Services","=""2440014""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",32,"*","*",8,25.0,12,37.5,"*","*","*","*",520
"Avon School District","=""0040011""","N",211,"*","*","*","*",90,42.7,110,52.1,200,94.8,621
"Berlin School District","=""0070011""","Y",44,11,25.0,"*","*",22,50.0,"*","*","*","*",482
"Berlin School District","=""0070011""","N",186,"*","*",28,15.1,124,66.7,"*","*","*","*",544
"Bethel School District","=""0090011""","Y",45,11,24.4,"*","*",20,44.4,"*","*","*","*",487
"Bethel School District","=""0090011""","N",149,"*","*",12,8.1,98,65.8,"*","*","*","*",560
"Bloomfield School District","=""0110011""","Y",76,28,36.8,"*","*",29,38.2,"*","*","*","*",449
"Bloomfield School District","=""0110011""","N",90,"*","*",22,24.4,43,47.8,"*","*","*","*",483
"Bolton School District","=""0120011""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",57,"*","*","*","*","*","*","*","*","*","*",578
"Branford School District","=""0140011""","Y",83,28,33.7,"*","*",28,33.7,"*","*","*","*",460
"Branford School District","=""0140011""","N",162,"*","*",30,18.5,80,49.4,"*","*","*","*",549
"Bridgeport Achievement First District","=""2850013""","Y",26,"*","*","*","*","*","*","*","*","*","*",508
"Bridgeport Achievement First District","=""2850013""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Y",1022,456,44.6,268,26.2,269,26.3,29,2.8,298,29.2,438
"Bristol School District","=""0170011""","Y",221,56,25.3,51,23.1,100,45.2,14,6.3,114,51.6,478
"Bristol School District","=""0170011""","N",333,14,4.2,53,15.9,221,66.4,45,13.5,266,79.9,539
"Brookfield School District","=""0180011""","Y",41,"*","*",12,29.3,18,43.9,"*","*","*","*",487
"Brookfield School District","=""0180011""","N",182,0,0.0,"*","*",114,62.6,"*","*","*","*",583
"Brooklyn School District","=""0190011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Y",25,"*","*","*","*",13,52.0,"*","*","*","*",503
"Canton School District","=""0230011""","N",91,"*","*","*","*",50,54.9,"*","*","*","*",590
"Capital Preparatory Harbor School Inc. District","=""2970013""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Y",264,80,30.3,80,30.3,91,34.5,13,4.9,104,39.4,461
"Capitol Region Education Council","=""2410014""","N",223,16,7.2,37,16.6,98,43.9,72,32.3,170,76.2,559
"Cheshire School District","=""0250011""","Y",59,"*","*",12,20.3,30,50.8,"*","*","*","*",478
"Cheshire School District","=""0250011""","N",315,"*","*",24,7.6,189,60.0,"*","*","*","*",584
"Clinton School District","=""0270011""","Y",26,"*","*",8,30.8,10,38.5,"*","*","*","*",463
"Clinton School District","=""0270011""","N",99,"*","*",15,15.2,58,58.6,"*","*","*","*",554
"Colchester School District","=""0280011""","Y",50,"*","*",16,32.0,20,40.0,"*","*","*","*",480
"Colchester School District","=""0280011""","N",144,"*","*",13,9.0,92,63.9,"*","*","*","*",573
"Common Ground High School District","=""2680013""","Y",20,"*","*","*","*","*","*","*","*","*","*",416
"Common Ground High School District","=""2680013""","N",19,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Y",1269,405,31.9,433,34.1,418,32.9,13,1.0,431,34.0,450
"Connecticut Technical High School System","=""9000016""","N",1176,190,16.2,334,28.4,577,49.1,75,6.4,652,55.4,491
"Cooperative Educational Services","=""2430014""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Y",29,"*","*",10,34.5,10,34.5,"*","*","*","*",478
"Coventry School District","=""0320011""","N",99,"*","*",12,12.1,64,64.6,"*","*","*","*",555
"Cromwell School District","=""0330011""","Y",51,"*","*",10,19.6,21,41.2,"*","*","*","*",464
"Cromwell School District","=""0330011""","N",95,"*","*",8,8.4,61,64.2,"*","*","*","*",563
"Danbury School District","=""0340011""","Y",314,152,48.4,72,22.9,81,25.8,9,2.9,90,28.7,434
"Danbury School District","=""0340011""","N",328,27,8.2,62,18.9,177,54.0,62,18.9,239,72.9,535
"Darien School District","=""0350011""","Y",44,"*","*","*","*",29,65.9,"*","*","*","*",526
"Darien School District","=""0350011""","N",268,"*","*","*","*",101,37.7,"*","*","*","*",634
"Derby School District","=""0370011""","Y",61,"*","*",21,34.4,14,23.0,"*","*","*","*",433
"Derby School District","=""0370011""","N",25,"*","*",8,32.0,11,44.0,"*","*","*","*",476
"East Granby School District","=""0400011""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","N",46,"*","*","*","*","*","*","*","*","*","*",588
"East Haddam School District","=""0410011""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","N",65,"*","*","*","*","*","*","*","*","*","*",540
"East Hampton School District","=""0420011""","Y",27,"*","*",9,33.3,11,40.7,"*","*","*","*",489
"East Hampton School District","=""0420011""","N",102,"*","*",13,12.7,64,62.7,"*","*","*","*",565
"East Hartford School District","=""0430011""","Y",301,114,37.9,88,29.2,90,29.9,9,3.0,99,32.9,447
"East Hartford School District","=""0430011""","N",148,31,20.9,20,13.5,80,54.1,17,11.5,97,65.5,508
"East Haven School District","=""0440011""","Y",102,43,42.2,"*","*",31,30.4,"*","*","*","*",449
"East Haven School District","=""0440011""","N",113,"*","*",26,23.0,58,51.3,"*","*","*","*",510
"East Lyme School District","=""0450011""","Y",57,"*","*",12,21.1,29,50.9,"*","*","*","*",518
"East Lyme School District","=""0450011""","N",199,"*","*","*","*",115,57.8,68,34.2,183,92.0,592
"East Windsor School District","=""0470011""","Y",31,"*","*",6,19.4,14,45.2,"*","*","*","*",477
"East Windsor School District","=""0470011""","N",34,"*","*",8,23.5,21,61.8,"*","*","*","*",522
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Y",39,"*","*","*","*",15,38.5,"*","*","*","*",454
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","N",33,"*","*","*","*",18,54.5,"*","*","*","*",528
"Education Connection","=""2420014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Y",29,11,37.9,7,24.1,11,37.9,0,0.0,11,37.9,451
"Ellington School District","=""0480011""","N",174,8,4.6,22,12.6,110,63.2,34,19.5,144,82.8,554
"Elm City College Preparatory School District","=""2890013""","Y",23,"*","*","*","*","*","*","*","*","*","*",475
"Elm City College Preparatory School District","=""2890013""","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Y",128,39,30.5,46,35.9,36,28.1,7,5.5,43,33.6,459
"Enfield School District","=""0490011""","N",218,16,7.3,39,17.9,143,65.6,20,9.2,163,74.8,524
"Explorations District","=""2720013""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Y",138,38,27.5,32,23.2,53,38.4,15,10.9,68,49.3,489
"Fairfield School District","=""0510011""","N",575,12,2.1,28,4.9,332,57.7,203,35.3,535,93.0,591
"Farmington School District","=""0520011""","Y",59,"*","*",14,23.7,26,44.1,"*","*","*","*",483
"Farmington School District","=""0520011""","N",241,"*","*",14,5.8,118,49.0,"*","*","*","*",599
"Glastonbury School District","=""0540011""","Y",91,15,16.5,23,25.3,44,48.4,9,9.9,53,58.2,495
"Glastonbury School District","=""0540011""","N",392,7,1.8,26,6.6,230,58.7,129,32.9,359,91.6,588
"Granby School District","=""0560011""","Y",29,"*","*",6,20.7,13,44.8,"*","*","*","*",492
"Granby School District","=""0560011""","N",122,"*","*",10,8.2,70,57.4,"*","*","*","*",583
"Greenwich School District","=""0570011""","Y",134,40,29.9,37,27.6,48,35.8,9,6.7,57,42.5,470
"Greenwich School District","=""0570011""","N",483,8,1.7,31,6.4,233,48.2,211,43.7,444,91.9,603
"Griswold School District","=""0580011""","Y",41,13,31.7,"*","*",13,31.7,"*","*","*","*",467
"Griswold School District","=""0580011""","N",84,"*","*",12,14.3,50,59.5,"*","*","*","*",538
"Groton School District","=""0590011""","Y",90,27,30.0,"*","*",34,37.8,"*","*","*","*",461
"Groton School District","=""0590011""","N",150,"*","*",23,15.3,80,53.3,"*","*","*","*",558
"Guilford School District","=""0600011""","Y",40,"*","*",6,15.0,25,62.5,"*","*","*","*",517
"Guilford School District","=""0600011""","N",214,"*","*",14,6.5,114,53.3,"*","*","*","*",600
