"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Special Education Status (SWD)"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Subject","Special Education","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","N","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","N",44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Amistad Academy District","=""2790013""","Math","N",44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""","ELA","N",124,"*","*","*","*","*","*","*","*","*","*",485
"Ansonia School District","=""0020011""","ELA","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Math","N",124,"*","*","*","*","*","*","*","*","*","*",455
"Ansonia School District","=""0020011""","Math","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","ELA","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Math","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","ELA","N",220,"*","*","*","*",94,42.7,111,50.5,205,93.2,616
"Avon School District","=""0040011""","ELA","Y",23,"*","*","*","*",8,34.8,6,26.1,14,60.9,527
"Avon School District","=""0040011""","Math","N",221,"*","*",38,17.2,94,42.5,"*","*","*","*",615
"Avon School District","=""0040011""","Math","Y",23,"*","*",6,26.1,7,30.4,"*","*","*","*",486
"Berlin School District","=""0070011""","ELA","N",208,12,5.8,32,15.4,140,67.3,24,11.5,164,78.8,541
"Berlin School District","=""0070011""","ELA","Y",22,10,45.5,6,27.3,6,27.3,0,0.0,6,27.3,443
"Berlin School District","=""0070011""","Math","N",208,17,8.2,78,37.5,92,44.2,21,10.1,113,54.3,538
"Berlin School District","=""0070011""","Math","Y",22,14,63.6,8,36.4,0,0.0,0,0.0,0,0.0,398
"Bethel School District","=""0090011""","ELA","N",181,"*","*","*","*","*","*","*","*","*","*",553
"Bethel School District","=""0090011""","ELA","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Math","N",181,"*","*","*","*","*","*","*","*","*","*",540
"Bethel School District","=""0090011""","Math","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","ELA","N",150,"*","*","*","*","*","*","*","*","*","*",475
"Bloomfield School District","=""0110011""","ELA","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Math","N",150,"*","*","*","*","*","*","*","*","*","*",461
"Bloomfield School District","=""0110011""","Math","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","ELA","N",207,"*","*",43,20.8,100,48.3,"*","*","*","*",537
"Branford School District","=""0140011""","ELA","Y",38,20,52.6,9,23.7,"*","*","*","*",9,23.7,423
"Branford School District","=""0140011""","Math","N",207,33,15.9,93,44.9,"*","*","*","*","*","*",515
"Branford School District","=""0140011""","Math","Y",38,24,63.2,"*","*","*","*",0,0.0,"*","*",407
"Bridgeport Achievement First District","=""2850013""","ELA","N",34,"*","*","*","*",25,73.5,"*","*","*","*",515
"Bridgeport Achievement First District","=""2850013""","Math","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport Achievement First District","=""2850013""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","N",915,370,40.4,252,27.5,"*","*","*","*","*","*",444
"Bridgeport School District","=""0150011""","ELA","Y",107,86,80.4,16,15.0,"*","*","*","*","*","*",381
"Bridgeport School District","=""0150011""","Math","N",914,424,46.4,389,42.6,"*","*","*","*","*","*",429
"Bridgeport School District","=""0150011""","Math","Y",106,92,86.8,"*","*","*","*",0,0.0,"*","*",362
"Bristol School District","=""0170011""","ELA","N",475,"*","*",89,18.7,303,63.8,"*","*","*","*",531
"Bristol School District","=""0170011""","ELA","Y",79,45,57.0,"*","*",18,22.8,"*","*","*","*",418
"Bristol School District","=""0170011""","Math","N",475,58,12.2,233,49.1,"*","*","*","*","*","*",506
"Bristol School District","=""0170011""","Math","Y",79,49,62.0,"*","*","*","*",0,0.0,"*","*",406
"Brookfield School District","=""0180011""","ELA","N",200,"*","*","*","*",126,63.0,57,28.5,183,91.5,579
"Brookfield School District","=""0180011""","ELA","Y",23,"*","*",9,39.1,"*","*",0,0.0,"*","*",443
"Brookfield School District","=""0180011""","Math","N",200,7,3.5,69,34.5,"*","*","*","*","*","*",555
"Brookfield School District","=""0180011""","Math","Y",23,9,39.1,12,52.2,"*","*","*","*","*","*",424
"Brooklyn School District","=""0190011""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
