"CT School Day SAT, 2015-16"
"All Districts, Math, English Learner Status (EL)"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","ELL","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","N",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","N",44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N",166,49,29.5,93,56.0,"*","*","*","*",24,14.5,454
"Bolton School District","=""0120011""","N",67,12,17.9,23,34.3,22,32.8,10,14.9,32,47.8,516
"Branford School District","=""0140011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N",35,7,20.0,14,40.0,14,40.0,0,0.0,14,40.0,489
"Bridgeport School District","=""0150011""","N",898,416,46.3,382,42.5,"*","*","*","*","*","*",429
"Bridgeport School District","=""0150011""","Y",122,100,82.0,"*","*","*","*",0,0.0,"*","*",368
"Bristol School District","=""0170011""","N",547,"*","*","*","*","*","*","*","*","*","*",493
"Bristol School District","=""0170011""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
