"CT School Day SAT, 2015-16"
"All Districts, Math, Gender"

"",,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",20,0,0.0,"*","*","*","*","*","*","*","*",543
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",10,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Female",26,"*","*","*","*","*","*",0,0.0,"*","*",467
"Amistad Academy District","=""2790013""","Male",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Female",63,23,36.5,25,39.7,"*","*","*","*",15,23.8,455
"Ansonia School District","=""0020011""","Male",75,35,46.7,25,33.3,15,20.0,0,0.0,15,20.0,441
"Area Cooperative Educational Services","=""2440014""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Female",131,6,4.6,29,22.1,58,44.3,38,29.0,96,73.3,591
"Avon School District","=""0040011""","Male",113,7,6.2,15,13.3,43,38.1,48,42.5,91,80.5,616
"Berlin School District","=""0070011""","Female",118,14,11.9,41,34.7,50,42.4,13,11.0,63,53.4,533
"Berlin School District","=""0070011""","Male",112,17,15.2,45,40.2,42,37.5,8,7.1,50,44.6,516
"Bethel School District","=""0090011""","Female",104,11,10.6,37,35.6,45,43.3,11,10.6,56,53.8,531
"Bethel School District","=""0090011""","Male",90,15,16.7,20,22.2,46,51.1,9,10.0,55,61.1,530
"Bloomfield School District","=""0110011""","Female",82,24,29.3,45,54.9,13,15.9,0,0.0,13,15.9,453
"Bloomfield School District","=""0110011""","Male",84,25,29.8,48,57.1,"*","*","*","*",11,13.1,454
"Bolton School District","=""0120011""","Female",39,"*","*",13,33.3,"*","*","*","*","*","*",531
"Bolton School District","=""0120011""","Male",28,"*","*",10,35.7,"*","*","*","*","*","*",494
"Branford School District","=""0140011""","Female",105,19,18.1,52,49.5,25,23.8,9,8.6,34,32.4,499
"Branford School District","=""0140011""","Male",140,38,27.1,51,36.4,33,23.6,18,12.9,51,36.4,497
"Bridgeport Achievement First District","=""2850013""","Female",18,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Female",506,253,50.0,214,42.3,"*","*","*","*",39,7.7,419
"Bridgeport School District","=""0150011""","Male",514,263,51.2,188,36.6,"*","*","*","*",63,12.3,425
"Bristol School District","=""0170011""","Female",280,55,19.6,140,50.0,74,26.4,11,3.9,85,30.4,487
"Bristol School District","=""0170011""","Male",274,52,19.0,118,43.1,89,32.5,15,5.5,104,38.0,496
"Brookfield School District","=""0180011""","Female",100,9,9.0,39,39.0,39,39.0,13,13.0,52,52.0,533
"Brookfield School District","=""0180011""","Male",123,7,5.7,42,34.1,57,46.3,17,13.8,74,60.2,549
"Brooklyn School District","=""0190011""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Female",57,"*","*",23,40.4,25,43.9,"*","*","*","*",530
"Canton School District","=""0230011""","Male",59,"*","*",13,22.0,23,39.0,"*","*","*","*",560
"Capital Preparatory Harbor School Inc. District","=""2970013""","Female",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",410
"Capitol Region Education Council","=""2410014""","Female",261,84,32.2,128,49.0,42,16.1,7,2.7,49,18.8,459
"Capitol Region Education Council","=""2410014""","Male",226,73,32.3,85,37.6,44,19.5,24,10.6,68,30.1,480
"Cheshire School District","=""0250011""","Female",178,12,6.7,49,27.5,78,43.8,39,21.9,117,65.7,569
"Cheshire School District","=""0250011""","Male",196,20,10.2,58,29.6,75,38.3,43,21.9,118,60.2,556
"Clinton School District","=""0270011""","Female",74,17,23.0,36,48.6,21,28.4,0,0.0,21,28.4,471
"Clinton School District","=""0270011""","Male",50,"*","*",22,44.0,15,30.0,"*","*","*","*",483
"Colchester School District","=""0280011""","Female",105,13,12.4,54,51.4,31,29.5,7,6.7,38,36.2,501
"Colchester School District","=""0280011""","Male",88,11,12.5,32,36.4,37,42.0,8,9.1,45,51.1,524
"Common Ground High School District","=""2680013""","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",410
