"Student Counts by Race and Free/Reduced Lunch Eligibility"
"State of Connecticut"
"2015-16"

"","Free/Reduced Lunch Eligibility",,,
"Race","Free","Non-Subsidized","Reduced","Total"
"American Indian or Alaska Native",636,773,82,1491
"Asian",5350,20160,1346,26856
"Black or African American",44830,20727,4102,69659
"Hispanic/Latino of any race",82313,34845,7952,125110
"Native Hawaiian or Other Pacific Islander",201,295,33,529
"Two or More Races",5062,8921,821,14804
"White",43132,250019,10215,303366
"Total",181524,335740,24551,541815

