"Student Counts by Race and Free/Reduced Lunch Eligibility"
"State of Connecticut"
"2013-14"

"","Free/Reduced Lunch Eligibility",,,
"Race","Free","Non-Subsidized","Reduced","Total"
"American Indian or Alaska Native",593,828,96,1517
"Asian",5142,19083,1339,25564
"Black or African American",46173,20011,5110,71294
"Hispanic/Latino of any race",77854,30177,8681,116712
"Native Hawaiian or Other Pacific Islander",175,242,38,455
"Two or More Races",4655,7539,806,13000
"White",42890,266654,11791,321335
"Total",177482,344534,27861,549877

