"Student Counts by Race and Free/Reduced Lunch Eligibility"
"State of Connecticut"
"2011-12"

"","Free/Reduced Lunch Eligibility",,,
"Race","Free","Non-Subsidized","Reduced","Total"
"American Indian or Alaska Native",741,973,96,1810
"Asian",4818,18524,1356,24698
"Black or African American",46283,20603,5705,72591
"Hispanic/Latino of any race",72370,29531,8303,110204
"Native Hawaiian or Other Pacific Islander",141,241,28,410
"Two or More Races",3693,6493,644,10830
"White",40069,285436,12329,337834
"Total",168115,361801,28461,558377

