"Five-Year Graduation Rates, 2010-11"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education",27,17,63.0
"Ansonia School District","=""0020011""","Non-Special Education",166,132,79.5
"Ansonia School District","=""0020011""","Special Education",22,12,54.5
"Avon School District","=""0040011""","Non-Special Education",230,225,97.8
"Avon School District","=""0040011""","Special Education",25,25,100.0
"Berlin School District","=""0070011""","Non-Special Education",232,"*","*"
"Berlin School District","=""0070011""","Special Education",29,"*","*"
"Bethel School District","=""0090011""","Non-Special Education",223,217,97.3
"Bethel School District","=""0090011""","Special Education",27,19,70.4
"Bloomfield School District","=""0110011""","Non-Special Education",156,134,85.9
"Bloomfield School District","=""0110011""","Special Education",27,19,70.4
"Bolton School District","=""0120011""","Non-Special Education","*","*","*"
"Bolton School District","=""0120011""","Special Education","*","*","*"
"Branford School District","=""0140011""","Non-Special Education",248,241,97.2
"Branford School District","=""0140011""","Special Education",36,28,77.8
"Bridgeport School District","=""0150011""","Non-Special Education",1245,849,68.2
"Bridgeport School District","=""0150011""","Special Education",179,77,43.0
"Bristol School District","=""0170011""","Non-Special Education",629,527,83.8
"Bristol School District","=""0170011""","Special Education",76,58,76.3
"Brookfield School District","=""0180011""","Non-Special Education",253,"*","*"
"Brookfield School District","=""0180011""","Special Education",11,"*","*"
"Canton School District","=""0230011""","Non-Special Education",103,"*","*"
"Canton School District","=""0230011""","Special Education",17,"*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",273,242,88.6
"Capitol Region Education Council","=""2410014""","Special Education",28,19,67.9
"Cheshire School District","=""0250011""","Non-Special Education",334,"*","*"
"Cheshire School District","=""0250011""","Special Education",41,"*","*"
"Clinton School District","=""0270011""","Non-Special Education",126,120,95.2
"Clinton School District","=""0270011""","Special Education",19,18,"*"
"Colchester School District","=""0280011""","Non-Special Education",224,214,95.5
"Colchester School District","=""0280011""","Special Education",27,24,88.9
"Common Ground High School District","=""2680013""","Non-Special Education",30,"*","*"
"Common Ground High School District","=""2680013""","Special Education",8,"*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2148,2023,94.2
"Connecticut Technical High School System","=""9000016""","Special Education",184,175,95.1
