"Five-Year Graduation Rates, 2011-12"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",18,0,"*","*","*"
"Ansonia School District","=""0020011""",200,"*","*","*","*"
"Avon School District","=""0040011""",283,0,0.0,6,2.1
"Berlin School District","=""0070011""",258,0,0.0,6,2.3
"Bethel School District","=""0090011""",237,"*","*","*","*"
"Bloomfield School District","=""0110011""",193,"*","*","*","*"
"Bolton School District","=""0120011""",70,0,0.0,"*","*"
"Branford School District","=""0140011""",259,"*","*","*","*"
"Bridgeport School District","=""0150011""",1266,20,1.6,347,27.4
"Bristol School District","=""0170011""",628,6,1.0,64,10.2
"Brookfield School District","=""0180011""",254,"*","*","*","*"
"Canton School District","=""0230011""",118,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""",333,10,3.0,50,15.0
"Cheshire School District","=""0250011""",408,"*","*","*","*"
"Clinton School District","=""0270011""",121,0,0.0,7,5.8
"Colchester School District","=""0280011""",243,"*","*","*","*"
"Common Ground High School District","=""2680013""",30,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""",2531,0,0.0,86,3.4
"Coventry School District","=""0320011""",150,"*","*","*","*"
"Cromwell School District","=""0330011""",151,"*","*","*","*"
"Danbury School District","=""0340011""",754,11,1.5,105,13.9
"Darien School District","=""0350011""",311,"*","*","*","*"
"Derby School District","=""0370011""",112,"*","*","*","*"
"East Granby School District","=""0400011""",60,"*","*","*","*"
"East Haddam School District","=""0410011""",103,0,0.0,7,6.8
"East Hampton School District","=""0420011""",164,"*","*","*","*"
"East Hartford School District","=""0430011""",579,10,1.7,88,15.2
"East Haven School District","=""0440011""",225,"*","*","*","*"
"East Lyme School District","=""0450011""",302,"*","*","*","*"
"East Windsor School District","=""0470011""",88,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",85,0,0.0,15,17.6
"Ellington School District","=""0480011""",200,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",19,0,"*","*","*"
"Enfield School District","=""0490011""",513,10,1.9,56,10.9
"Explorations District","=""2720013""",29,0,0.0,12,41.4
"Fairfield School District","=""0510011""",692,"*","*","*","*"
"Farmington School District","=""0520011""",305,"*","*","*","*"
"Glastonbury School District","=""0540011""",513,"*","*","*","*"
"Granby School District","=""0560011""",188,0,0.0,"*","*"
"Greenwich School District","=""0570011""",642,"*","*","*","*"
"Griswold School District","=""0580011""",186,"*","*","*","*"
"Groton School District","=""0590011""",347,7,2.0,54,15.6
"Guilford School District","=""0600011""",286,"*","*","*","*"
"Hamden School District","=""0620011""",516,9,1.7,47,9.1
"Hartford School District","=""0640011""",1395,22,1.6,340,24.4
"Killingly School District","=""0690011""",185,"*","*","*","*"
"Lebanon School District","=""0710011""",129,"*","*","*","*"
"Ledyard School District","=""0720011""",210,"*","*","*","*"
"Lisbon School District","=""0730011""","*","*","*","*","*"
"Litchfield School District","=""0740011""",103,"*","*","*","*"
"Madison School District","=""0760011""",335,"*","*","*","*"
"Manchester School District","=""0770011""",512,7,1.4,100,19.5
"Meriden School District","=""0800011""",623,12,1.9,148,23.8
"Middletown School District","=""0830011""",341,8,2.3,48,14.1
"Milford School District","=""0840011""",511,10,2.0,36,7.0
"Monroe School District","=""0850011""",339,0,0.0,"*","*"
"Montville School District","=""0860011""",221,"*","*","*","*"
"Naugatuck School District","=""0880011""",369,"*","*","*","*"
"New Britain School District","=""0890011""",668,13,1.9,201,30.1
"New Canaan School District","=""0900011""",330,"*","*",0,0.0
"New Fairfield School District","=""0910011""",232,0,0.0,"*","*"
"New Haven School District","=""0930011""",1329,19,1.4,310,23.3
"New London School District","=""0950011""",240,"*","*","*","*"
"New Milford School District","=""0960011""",391,"*","*","*","*"
"Newington School District","=""0940011""",335,8,2.4,19,5.7
"Newtown School District","=""0970011""",404,"*","*","*","*"
"North Branford School District","=""0990011""",162,"*","*","*","*"
"North Haven School District","=""1010011""",291,6,2.1,12,4.1
"North Stonington School District","=""1020011""",54,"*","*","*","*"
"Norwalk School District","=""1030011""",872,"*","*","*","*"
"Norwich Free Academy District","=""9010022""",636,"*","*","*","*"
"Norwich School District","=""1040011""",70,0,0.0,43,61.4
"Old Saybrook School District","=""1060011""",144,0,0.0,"*","*"
"Oxford School District","=""1080011""",146,0,0.0,12,8.2
"Plainfield School District","=""1090011""",201,"*","*","*","*"
"Plainville School District","=""1100011""",205,"*","*","*","*"
"Plymouth School District","=""1110011""",139,"*","*","*","*"
"Portland School District","=""1130011""",90,0,0.0,6,6.7
"Putnam School District","=""1160011""",69,"*","*","*","*"
"Regional School District 01","=""2010012""",140,0,0.0,7,5.0
"Regional School District 04","=""2040012""",159,"*","*","*","*"
"Regional School District 05","=""2050012""",434,0,0.0,11,2.5
"Regional School District 06","=""2060012""",87,0,0.0,"*","*"
"Regional School District 07","=""2070012""",203,"*","*","*","*"
"Regional School District 08","=""2080012""",296,"*","*","*","*"
"Regional School District 09","=""2090012""",239,"*","*","*","*"
"Regional School District 10","=""2100012""",229,"*","*","*","*"
"Regional School District 11","=""2110012""",43,0,0.0,"*","*"
"Regional School District 12","=""2120012""",74,0,0.0,10,13.5
"Regional School District 13","=""2130012""",142,"*","*","*","*"
"Regional School District 14","=""2140012""",196,"*","*","*","*"
"Regional School District 15","=""2150012""",327,"*","*","*","*"
"Regional School District 16","=""2160012""",195,0,0.0,9,4.6
"Regional School District 17","=""2170012""",189,0,0.0,10,5.3
"Regional School District 18","=""2180012""",104,0,0.0,"*","*"
"Regional School District 19","=""2190012""",302,"*","*","*","*"
"Ridgefield School District","=""1180011""",443,0,0.0,"*","*"
"Rocky Hill School District","=""1190011""",209,"*","*","*","*"
"Seymour School District","=""1240011""",153,"*","*","*","*"
"Shelton School District","=""1260011""",427,"*","*","*","*"
"Simsbury School District","=""1280011""",407,"*","*","*","*"
"Somers School District","=""1290011""",141,"*","*","*","*"
"South Windsor School District","=""1320011""",384,"*","*","*","*"
"Southington School District","=""1310011""",495,7,1.4,18,3.6
"Stafford School District","=""1340011""",140,0,0.0,14,10.0
