"Five-Year Graduation Rates, 2010-11"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Non-Graduates",,,
"District","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Eligible For Free Lunch","*","*","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Not Eligible For Lunch",13,"*","*","*","*"
"Ansonia School District","Eligible For Free Lunch",91,"*","*",29,31.9
"Ansonia School District","Eligible For Reduced Lunch",9,"*","*","*","*"
"Ansonia School District","Not Eligible For Lunch",88,"*","*","*","*"
"Avon School District","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","Not Eligible For Lunch",249,"*","*","*","*"
"Berlin School District","Eligible For Free Lunch",8,"*","*","*","*"
"Berlin School District","Eligible For Reduced Lunch",6,"*","*","*","*"
"Berlin School District","Not Eligible For Lunch",247,"*","*",8,3.2
"Bethel School District","Eligible For Free Lunch",12,"*","*","*","*"
"Bethel School District","Eligible For Reduced Lunch",7,"*","*","*","*"
"Bethel School District","Not Eligible For Lunch",231,8,3.5,"*","*"
"Bloomfield School District","Eligible For Free Lunch",56,"*","*","*","*"
"Bloomfield School District","Eligible For Reduced Lunch",13,"*","*","*","*"
"Bloomfield School District","Not Eligible For Lunch",114,"*","*",15,13.2
"Bolton School District","Eligible For Free Lunch",7,"*","*","*","*"
"Bolton School District","Not Eligible For Lunch",66,"*","*","*","*"
"Branford School District","Eligible For Free Lunch",26,"*","*","*","*"
"Branford School District","Eligible For Reduced Lunch",14,"*","*","*","*"
"Branford School District","Not Eligible For Lunch",244,"*","*","*","*"
"Bridgeport School District","Eligible For Free Lunch",1250,38,3.0,408,32.6
"Bridgeport School District","Eligible For Reduced Lunch",73,"*","*",14,19.2
"Bridgeport School District","Not Eligible For Lunch",101,"*","*",32,31.7
"Bristol School District","Eligible For Free Lunch",135,"*","*",38,28.1
"Bristol School District","Eligible For Reduced Lunch",51,"*","*",14,27.5
