"Five-Year Graduation Rates, Trend"
"State of Connecticut, Race/Ethnicity"

"",,"Graduates",,,
"",,"Five-Year Graduation Rate by Year",,,
"District","Race/Ethnicity","2010-11","2011-12","2012-13","2013-14"
"State of Connecticut","Asian",93.8,94.7,95.6,95.1
"State of Connecticut","Black",75.9,77.8,79.9,82.7
"State of Connecticut","Hispanic",68.6,73.6,74.6,77.7
"State of Connecticut","Indian or Alaska Native",73.8,85.3,84.8,87.0
"State of Connecticut","White",91.3,92.9,92.9,93.8
"State of Connecticut","Hawaiian or Pacific Islander","N/A",95.0,90.3,75.0
"State of Connecticut","Two or More Races","N/A",86.7,86.2,87.4

