"Five-Year Graduation Rates, 2011-12"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Non-Graduates",,,
"District","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Eligible For Free Lunch",13,"*","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*","*","*"
"Amistad Academy District","Not Eligible For Lunch","*","*","*","*","*"
"Ansonia School District","Eligible For Free Lunch",85,"*","*",23,27.1
"Ansonia School District","Eligible For Reduced Lunch",43,"*","*","*","*"
"Ansonia School District","Not Eligible For Lunch",72,"*","*","*","*"
"Avon School District","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","Not Eligible For Lunch",272,"*","*","*","*"
"Berlin School District","Eligible For Free Lunch",19,"*","*","*","*"
"Berlin School District","Eligible For Reduced Lunch",9,"*","*","*","*"
"Berlin School District","Not Eligible For Lunch",230,"*","*","*","*"
"Bethel School District","Eligible For Free Lunch",21,"*","*","*","*"
"Bethel School District","Eligible For Reduced Lunch",16,"*","*","*","*"
"Bethel School District","Not Eligible For Lunch",200,"*","*",6,3.0
"Bloomfield School District","Eligible For Free Lunch",83,"*","*",11,13.3
"Bloomfield School District","Eligible For Reduced Lunch",31,"*","*","*","*"
"Bloomfield School District","Not Eligible For Lunch",79,"*","*","*","*"
"Bolton School District","Eligible For Free Lunch","*","*","*","*","*"
"Bolton School District","Eligible For Reduced Lunch","*","*","*","*","*"
"Bolton School District","Not Eligible For Lunch",62,"*","*","*","*"
"Branford School District","Eligible For Free Lunch",39,"*","*","*","*"
"Branford School District","Eligible For Reduced Lunch",22,"*","*","*","*"
"Branford School District","Not Eligible For Lunch",198,"*","*",8,4.0
"Bridgeport School District","Eligible For Free Lunch",1189,20,1.7,329,27.7
"Bridgeport School District","Eligible For Reduced Lunch",67,"*","*","*","*"
"Bridgeport School District","Not Eligible For Lunch",10,"*","*","*","*"
"Bristol School District","Eligible For Free Lunch",172,"*","*",36,20.9
"Bristol School District","Eligible For Reduced Lunch",69,"*","*",8,11.6
"Bristol School District","Not Eligible For Lunch",387,"*","*",20,5.2
"Brookfield School District","Eligible For Free Lunch","*","*","*","*","*"
"Brookfield School District","Eligible For Reduced Lunch","*","*","*","*","*"
"Brookfield School District","Not Eligible For Lunch",238,"*","*","*","*"
"Canton School District","Eligible For Free Lunch",7,"*","*","*","*"
"Canton School District","Not Eligible For Lunch",111,"*","*","*","*"
"Capitol Region Education Council","Eligible For Free Lunch",127,"*","*",23,18.1
"Capitol Region Education Council","Eligible For Reduced Lunch",55,"*","*","*","*"
"Capitol Region Education Council","Not Eligible For Lunch",151,10,6.6,"*","*"
"Cheshire School District","Eligible For Free Lunch",21,"*","*","*","*"
"Cheshire School District","Eligible For Reduced Lunch",24,"*","*","*","*"
"Cheshire School District","Not Eligible For Lunch",363,"*","*","*","*"
"Clinton School District","Eligible For Free Lunch","*","*","*","*","*"
"Clinton School District","Eligible For Reduced Lunch","*","*","*","*","*"
"Clinton School District","Not Eligible For Lunch",106,"*","*",7,6.6
"Colchester School District","Eligible For Free Lunch",23,"*","*","*","*"
"Colchester School District","Eligible For Reduced Lunch",15,"*","*","*","*"
"Colchester School District","Not Eligible For Lunch",205,"*","*","*","*"
"Common Ground High School District","Eligible For Free Lunch",16,"*","*","*","*"
"Common Ground High School District","Eligible For Reduced Lunch",8,"*","*","*","*"
"Common Ground High School District","Not Eligible For Lunch",6,"*","*","*","*"
"Connecticut Technical High School System","Eligible For Free Lunch",956,"*","*",41,4.3
"Connecticut Technical High School System","Eligible For Reduced Lunch",419,"*","*",17,4.1
"Connecticut Technical High School System","Not Eligible For Lunch",1156,"*","*",28,2.4
"Coventry School District","Eligible For Free Lunch",17,"*","*","*","*"
"Coventry School District","Eligible For Reduced Lunch",14,"*","*","*","*"
"Coventry School District","Not Eligible For Lunch",119,"*","*","*","*"
"Cromwell School District","Eligible For Free Lunch",26,"*","*","*","*"
"Cromwell School District","Eligible For Reduced Lunch",8,"*","*","*","*"
"Cromwell School District","Not Eligible For Lunch",117,"*","*","*","*"
"Danbury School District","Eligible For Free Lunch",262,"*","*",57,21.8
"Danbury School District","Eligible For Reduced Lunch",82,"*","*",8,9.8
"Danbury School District","Not Eligible For Lunch",410,"*","*",40,9.8
"Darien School District","Eligible For Free Lunch",6,"*","*","*","*"
"Darien School District","Eligible For Reduced Lunch",6,"*","*","*","*"
"Darien School District","Not Eligible For Lunch",299,"*","*",6,2.0
"Derby School District","Eligible For Free Lunch",43,"*","*",13,30.2
"Derby School District","Eligible For Reduced Lunch",22,"*","*","*","*"
"Derby School District","Not Eligible For Lunch",47,"*","*","*","*"
"East Granby School District","Eligible For Free Lunch","*","*","*","*","*"
"East Granby School District","Not Eligible For Lunch","*","*","*","*","*"
"East Haddam School District","Eligible For Free Lunch","*","*","*","*","*"
