"Five-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""",23,20,87.0
"Ansonia School District","=""0020011""",210,173,82.4
"Avon School District","=""0040011""",263,257,97.7
"Berlin School District","=""0070011""",263,253,96.2
"Bethel School District","=""0090011""",233,222,95.3
"Bloomfield School District","=""0110011""",161,151,93.8
"Bolton School District","=""0120011""",82,79,96.3
"Branford School District","=""0140011""",271,253,93.4
"Bridgeport School District","=""0150011""",1218,885,72.7
"Bristol School District","=""0170011""",629,536,85.2
"Brookfield School District","=""0180011""",240,234,97.5
"Canton School District","=""0230011""",124,"*","*"
"Capitol Region Education Council","=""2410014""",253,216,85.4
"Cheshire School District","=""0250011""",384,368,95.8
"Clinton School District","=""0270011""",145,131,90.3
"Colchester School District","=""0280011""",254,241,94.9
"Common Ground High School District","=""2680013""",38,"*","*"
"Connecticut Technical High School System","=""9000016""",2473,2399,97.0
"Coventry School District","=""0320011""",138,125,90.6
"Cromwell School District","=""0330011""",142,134,94.4
"Danbury School District","=""0340011""",775,645,83.2
"Darien School District","=""0350011""",316,308,97.5
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",87,70,80.5
"East Granby School District","=""0400011""",71,67,94.4
"East Haddam School District","=""0410011""",99,"*","*"
"East Hampton School District","=""0420011""",132,127,96.2
"East Hartford School District","=""0430011""",546,456,83.5
"East Haven School District","=""0440011""",246,187,76.0
"East Lyme School District","=""0450011""",310,295,95.2
"East Windsor School District","=""0470011""",95,82,86.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",71,60,84.5
"Ellington School District","=""0480011""",198,187,94.4
"Elm City College Preparatory School District","=""2890013""",13,10,"*"
"Enfield School District","=""0490011""",443,400,90.3
"Explorations District","=""2720013""",30,21,70.0
"Fairfield School District","=""0510011""",705,665,94.3
"Farmington School District","=""0520011""",326,315,96.6
"Glastonbury School District","=""0540011""",551,537,97.5
"Granby School District","=""0560011""",198,192,97.0
"Greenwich School District","=""0570011""",691,667,96.5
"Griswold School District","=""0580011""",168,152,90.5
"Groton School District","=""0590011""",327,272,83.2
"Guilford School District","=""0600011""",280,265,94.6
"Hamden School District","=""0620011""",450,403,89.6
"Hartford School District","=""0640011""",1442,1098,76.1
"Killingly School District","=""0690011""",225,175,77.8
"Learn","=""2450014""",42,"*","*"
"Lebanon School District","=""0710011""",118,111,94.1
"Ledyard School District","=""0720011""",231,209,90.5
"Lisbon School District","=""0730011""",6,"*","*"
"Litchfield School District","=""0740011""",89,87,97.8
"Madison School District","=""0760011""",316,"*","*"
"Manchester School District","=""0770011""",473,386,81.6
"Meriden School District","=""0800011""",626,464,74.1
"Middletown School District","=""0830011""",376,318,84.6
"Milford School District","=""0840011""",523,467,89.3
"Monroe School District","=""0850011""",309,304,98.4
"Montville School District","=""0860011""",188,165,87.8
"Naugatuck School District","=""0880011""",333,273,82.0
"New Britain School District","=""0890011""",651,433,66.5
"New Canaan School District","=""0900011""",339,332,97.9
"New Fairfield School District","=""0910011""",258,249,96.5
"New Haven School District","=""0930011""",1309,994,75.9
"New London School District","=""0950011""",258,174,67.4
"New Milford School District","=""0960011""",389,347,89.2
"Newington School District","=""0940011""",375,344,91.7
"Newtown School District","=""0970011""",471,453,96.2
"North Branford School District","=""0990011""",170,164,96.5
"North Haven School District","=""1010011""",312,284,91.0
"North Stonington School District","=""1020011""",48,"*","*"
"Norwalk School District","=""1030011""",781,680,87.1
"Norwich Free Academy District","=""9010022""",594,500,84.2
"Old Saybrook School District","=""1060011""",139,132,95.0
"Oxford School District","=""1080011""",155,151,97.4
"Plainfield School District","=""1090011""",201,176,87.6
"Plainville School District","=""1100011""",207,187,90.3
"Plymouth School District","=""1110011""",128,112,87.5
"Portland School District","=""1130011""",93,81,87.1
"Putnam School District","=""1160011""",97,85,87.6
"Regional School District 01","=""2010012""",109,101,92.7
"Regional School District 04","=""2040012""",162,155,95.7
