"Five-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Graduates",,,
"",,"Five-Year Graduation Rate by Year",,,
"District","Special Education Status","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District","Non-Special Education",63.0,94.4,"*","*"
"Amistad Academy District","Special Education","N/A","N/A","*","*"
"Ansonia School District","Non-Special Education",79.5,84.6,82.3,82.9
"Ansonia School District","Special Education",54.5,68.0,83.3,56.3
"Avon School District","Non-Special Education",97.8,98.4,99.1,99.6
"Avon School District","Special Education",100.0,94.3,87.9,85.7
"Berlin School District","Non-Special Education",95.7,97.7,97.1,98.5
"Berlin School District","Special Education",89.7,97.4,87.5,84.8
"Bethel School District","Non-Special Education",97.3,98.6,98.1,96.2
"Bethel School District","Special Education",70.4,82.1,66.7,84.4
"Bloomfield School District","Non-Special Education",85.9,89.8,94.4,96.6
"Bloomfield School District","Special Education",70.4,85.2,88.9,65.2
"Bolton School District","Non-Special Education","*",95.3,98.6,98.9
"Bolton School District","Special Education","*",100.0,83.3,87.5
"Branford School District","Non-Special Education",97.2,95.6,94.5,92.9
"Branford School District","Special Education",77.8,85.3,84.8,88.4
"Bridgeport School District","Non-Special Education",68.2,73.8,75.3,77.6
"Bridgeport School District","Special Education",43.0,53.8,56.4,62.2
"Bristol School District","Non-Special Education",83.8,90.1,87.8,88.5
"Bristol School District","Special Education",76.3,81.3,71.4,76.2
"Brookfield School District","Non-Special Education",96.4,99.6,98.2,99.5
"Brookfield School District","Special Education",90.9,84.2,86.7,100.0
"Canton School District","Non-Special Education",96.1,99.1,100.0,99.2
"Canton School District","Special Education",88.2,91.7,88.9,77.8
"Capitol Region Education Council","Non-Special Education",88.6,87.5,89.4,91.5
"Capitol Region Education Council","Special Education",67.9,58.1,60.0,50.0
"Cheshire School District","Non-Special Education",98.8,99.4,98.2,100.0
"Cheshire School District","Special Education",82.9,84.8,82.8,80.0
"Clinton School District","Non-Special Education",95.2,96.0,94.2,96.7
"Clinton School District","Special Education",94.7,85.0,70.8,80.0
"Colchester School District","Non-Special Education",95.5,98.6,96.4,98.6
"Colchester School District","Special Education",88.9,88.9,82.8,85.7
