"Five-Year Graduation Rates, 2010-11"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,"Graduates",
"District","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Eligible For Free Lunch","*","*","*"
"Amistad Academy District","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","Not Eligible For Lunch",13,9,69.2
"Ansonia School District","Eligible For Free Lunch",91,57,62.6
"Ansonia School District","Eligible For Reduced Lunch",9,8,88.9
"Ansonia School District","Not Eligible For Lunch",88,79,89.8
"Avon School District","Eligible For Free Lunch","*","*","*"
"Avon School District","Eligible For Reduced Lunch","*","*","*"
"Avon School District","Not Eligible For Lunch",249,244,98.0
"Berlin School District","Eligible For Free Lunch",8,"*","*"
"Berlin School District","Eligible For Reduced Lunch",6,"*","*"
"Berlin School District","Not Eligible For Lunch",247,239,96.8
"Bethel School District","Eligible For Free Lunch",12,10,83.3
"Bethel School District","Eligible For Reduced Lunch",7,7,100.0
"Bethel School District","Not Eligible For Lunch",231,219,94.8
"Bloomfield School District","Eligible For Free Lunch",56,44,78.6
"Bloomfield School District","Eligible For Reduced Lunch",13,12,92.3
"Bloomfield School District","Not Eligible For Lunch",114,97,85.1
"Bolton School District","Eligible For Free Lunch",7,"*","*"
"Bolton School District","Not Eligible For Lunch",66,"*","*"
"Branford School District","Eligible For Free Lunch",26,21,80.8
"Branford School District","Eligible For Reduced Lunch",14,11,78.6
"Branford School District","Not Eligible For Lunch",244,237,97.1
"Bridgeport School District","Eligible For Free Lunch",1250,804,64.3
"Bridgeport School District","Eligible For Reduced Lunch",73,59,80.8
"Bridgeport School District","Not Eligible For Lunch",101,63,62.4
"Bristol School District","Eligible For Free Lunch",135,95,70.4
"Bristol School District","Eligible For Reduced Lunch",51,36,70.6
"Bristol School District","Not Eligible For Lunch",519,454,87.5
"Brookfield School District","Eligible For Free Lunch","*","*","*"
"Brookfield School District","Eligible For Reduced Lunch","*","*","*"
"Brookfield School District","Not Eligible For Lunch",258,249,96.5
"Canton School District","Eligible For Free Lunch","*","*","*"
"Canton School District","Not Eligible For Lunch","*","*","*"
"Capitol Region Education Council","Eligible For Free Lunch",110,90,81.8
"Capitol Region Education Council","Eligible For Reduced Lunch",12,11,91.7
"Capitol Region Education Council","Not Eligible For Lunch",179,160,89.4
"Cheshire School District","Eligible For Free Lunch",9,9,100.0
"Cheshire School District","Eligible For Reduced Lunch",9,8,88.9
"Cheshire School District","Not Eligible For Lunch",357,347,97.2
"Clinton School District","Eligible For Free Lunch",6,"*","*"
"Clinton School District","Eligible For Reduced Lunch",9,"*","*"
"Clinton School District","Not Eligible For Lunch",130,124,95.4
"Colchester School District","Eligible For Free Lunch","*","*","*"
"Colchester School District","Eligible For Reduced Lunch","*","*","*"
"Colchester School District","Not Eligible For Lunch",232,222,95.7
"Common Ground High School District","Eligible For Free Lunch",19,15,78.9
"Common Ground High School District","Eligible For Reduced Lunch","*","*","*"
"Common Ground High School District","Not Eligible For Lunch","*","*","*"
"Connecticut Technical High School System","Eligible For Free Lunch",234,207,88.5
"Connecticut Technical High School System","Eligible For Reduced Lunch",15,12,80.0
"Connecticut Technical High School System","Not Eligible For Lunch",2083,1979,95.0
"Coventry School District","Eligible For Free Lunch",10,9,90.0
"Coventry School District","Eligible For Reduced Lunch",6,6,100.0
"Coventry School District","Not Eligible For Lunch",137,125,91.2
"Cromwell School District","Eligible For Free Lunch",10,"*","*"
"Cromwell School District","Eligible For Reduced Lunch",6,"*","*"
"Cromwell School District","Not Eligible For Lunch",154,148,96.1
"Danbury School District","Eligible For Free Lunch",182,126,69.2
"Danbury School District","Eligible For Reduced Lunch",50,40,80.0
"Danbury School District","Not Eligible For Lunch",525,451,85.9
