"Five-Year Graduation Rates, 2011-12"
"All Districts, High Needs Status"

"",,,,"Graduates",
"District","District Code","High Needs Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","High Needs","*","*","*"
"Amistad Academy District","=""2790013""","Non-High Needs","*","*","*"
"Ansonia School District","=""0020011""","High Needs",138,"*","*"
"Ansonia School District","=""0020011""","Non-High Needs",62,"*","*"
"Avon School District","=""0040011""","High Needs",44,"*","*"
"Avon School District","=""0040011""","Non-High Needs",239,"*","*"
"Berlin School District","=""0070011""","High Needs",62,"*","*"
"Berlin School District","=""0070011""","Non-High Needs",196,"*","*"
"Bethel School District","=""0090011""","High Needs",57,"*","*"
"Bethel School District","=""0090011""","Non-High Needs",180,"*","*"
"Bloomfield School District","=""0110011""","High Needs",120,"*","*"
"Bloomfield School District","=""0110011""","Non-High Needs",73,"*","*"
"Bolton School District","=""0120011""","High Needs",13,"*","*"
"Bolton School District","=""0120011""","Non-High Needs",57,"*","*"
"Branford School District","=""0140011""","High Needs",87,80,92.0
"Branford School District","=""0140011""","Non-High Needs",172,164,95.3
"Bridgeport School District","=""0150011""","High Needs","*","*","*"
"Bridgeport School District","=""0150011""","Non-High Needs","*","*","*"
"Bristol School District","=""0170011""","High Needs",288,235,81.6
"Bristol School District","=""0170011""","Non-High Needs",340,323,95.0
"Brookfield School District","=""0180011""","High Needs",32,28,87.5
"Brookfield School District","=""0180011""","Non-High Needs",222,222,100.0
"Canton School District","=""0230011""","High Needs",17,"*","*"
"Canton School District","=""0230011""","Non-High Needs",101,"*","*"
"Capitol Region Education Council","=""2410014""","High Needs",222,175,78.8
"Capitol Region Education Council","=""2410014""","Non-High Needs",111,98,88.3
"Cheshire School District","=""0250011""","High Needs",84,"*","*"
"Cheshire School District","=""0250011""","Non-High Needs",324,"*","*"
"Clinton School District","=""0270011""","High Needs",32,"*","*"
"Clinton School District","=""0270011""","Non-High Needs",89,"*","*"
"Colchester School District","=""0280011""","High Needs",64,"*","*"
"Colchester School District","=""0280011""","Non-High Needs",179,"*","*"
"Common Ground High School District","=""2680013""","High Needs",24,"*","*"
"Common Ground High School District","=""2680013""","Non-High Needs",6,"*","*"
"Connecticut Technical High School System","=""9000016""","High Needs",1546,1484,96.0
"Connecticut Technical High School System","=""9000016""","Non-High Needs",985,961,97.6
"Coventry School District","=""0320011""","High Needs",47,"*","*"
"Coventry School District","=""0320011""","Non-High Needs",103,"*","*"
"Cromwell School District","=""0330011""","High Needs",48,"*","*"
"Cromwell School District","=""0330011""","Non-High Needs",103,"*","*"
"Danbury School District","=""0340011""","High Needs",403,312,77.4
"Danbury School District","=""0340011""","Non-High Needs",351,326,92.9
"Darien School District","=""0350011""","High Needs",52,49,94.2
"Darien School District","=""0350011""","Non-High Needs",259,253,97.7
"Derby School District","=""0370011""","High Needs",72,"*","*"
"Derby School District","=""0370011""","Non-High Needs",40,"*","*"
"East Granby School District","=""0400011""","High Needs",11,"*","*"
"East Granby School District","=""0400011""","Non-High Needs",49,"*","*"
"East Haddam School District","=""0410011""","High Needs",27,"*","*"
"East Haddam School District","=""0410011""","Non-High Needs",76,"*","*"
"East Hampton School District","=""0420011""","High Needs",30,"*","*"
"East Hampton School District","=""0420011""","Non-High Needs",134,"*","*"
"East Hartford School District","=""0430011""","High Needs",433,345,79.7
"East Hartford School District","=""0430011""","Non-High Needs",146,136,93.2
"East Haven School District","=""0440011""","High Needs",134,92,68.7
"East Haven School District","=""0440011""","Non-High Needs",91,80,87.9
"East Lyme School District","=""0450011""","High Needs",81,70,86.4
"East Lyme School District","=""0450011""","Non-High Needs",221,214,96.8
"East Windsor School District","=""0470011""","High Needs",37,"*","*"
"East Windsor School District","=""0470011""","Non-High Needs",51,"*","*"
