"Five-Year Graduation Rates, 2013-14"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",
"District","District Code","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",18,"*","*"
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*","*","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",88,64,72.7
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",22,20,90.9
"Ansonia School District","=""0020011""","Not Eligible For Lunch",46,41,89.1
"Avon School District","=""0040011""","Eligible For Free Lunch","*","*","*"
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*","*","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",251,246,98.0
"Berlin School District","=""0070011""","Eligible For Free Lunch",29,"*","*"
"Berlin School District","=""0070011""","Eligible For Reduced Lunch",9,"*","*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",197,191,97.0
"Bethel School District","=""0090011""","Eligible For Free Lunch",36,29,80.6
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",17,17,"*"
"Bethel School District","=""0090011""","Not Eligible For Lunch",191,185,96.9
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",92,"*","*"
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",20,"*","*"
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",59,51,86.4
"Bolton School District","=""0120011""","Eligible For Free Lunch","*","*","*"
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",89,"*","*"
"Branford School District","=""0140011""","Eligible For Free Lunch",54,"*","*"
"Branford School District","=""0140011""","Eligible For Reduced Lunch",14,"*","*"
"Branford School District","=""0140011""","Not Eligible For Lunch",230,218,94.8
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",1184,894,75.5
