"Five-Year Graduation Rates, 2012-13"
"All Districts, High Needs Status"

"",,,,"Graduates",
"District","District Code","High Needs Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","High Needs","*","*","*"
"Amistad Academy District","=""2790013""","Non-High Needs","*","*","*"
"Ansonia School District","=""0020011""","High Needs",156,122,78.2
"Ansonia School District","=""0020011""","Non-High Needs",54,51,94.4
"Avon School District","=""0040011""","High Needs",47,"*","*"
"Avon School District","=""0040011""","Non-High Needs",216,"*","*"
"Berlin School District","=""0070011""","High Needs",52,"*","*"
"Berlin School District","=""0070011""","Non-High Needs",211,"*","*"
"Bethel School District","=""0090011""","High Needs",60,49,81.7
"Bethel School District","=""0090011""","Non-High Needs",173,173,100.0
"Bloomfield School District","=""0110011""","High Needs",95,"*","*"
"Bloomfield School District","=""0110011""","Non-High Needs",66,"*","*"
"Bolton School District","=""0120011""","High Needs",21,"*","*"
"Bolton School District","=""0120011""","Non-High Needs",61,"*","*"
"Branford School District","=""0140011""","High Needs",83,74,89.2
"Branford School District","=""0140011""","Non-High Needs",188,179,95.2
"Bridgeport School District","=""0150011""","High Needs",1209,"*","*"
"Bridgeport School District","=""0150011""","Non-High Needs",9,"*","*"
"Bristol School District","=""0170011""","High Needs",301,225,74.8
"Bristol School District","=""0170011""","Non-High Needs",328,311,94.8
"Brookfield School District","=""0180011""","High Needs",41,"*","*"
"Brookfield School District","=""0180011""","Non-High Needs",199,"*","*"
"Canton School District","=""0230011""","High Needs",32,"*","*"
"Canton School District","=""0230011""","Non-High Needs",92,"*","*"
"Capitol Region Education Council","=""2410014""","High Needs",150,122,81.3
"Capitol Region Education Council","=""2410014""","Non-High Needs",103,94,91.3
"Cheshire School District","=""0250011""","High Needs",88,"*","*"
"Cheshire School District","=""0250011""","Non-High Needs",296,"*","*"
"Clinton School District","=""0270011""","High Needs",54,44,81.5
"Clinton School District","=""0270011""","Non-High Needs",91,87,95.6
"Colchester School District","=""0280011""","High Needs",56,47,83.9
"Colchester School District","=""0280011""","Non-High Needs",198,194,98.0
"Common Ground High School District","=""2680013""","High Needs",30,"*","*"
"Common Ground High School District","=""2680013""","Non-High Needs",8,"*","*"
"Connecticut Technical High School System","=""9000016""","High Needs",1441,1384,96.0
"Connecticut Technical High School System","=""9000016""","Non-High Needs",1032,1015,98.4
"Coventry School District","=""0320011""","High Needs",43,"*","*"
"Coventry School District","=""0320011""","Non-High Needs",95,"*","*"
"Cromwell School District","=""0330011""","High Needs",43,"*","*"
"Cromwell School District","=""0330011""","Non-High Needs",99,"*","*"
"Danbury School District","=""0340011""","High Needs",442,329,74.4
"Danbury School District","=""0340011""","Non-High Needs",333,316,94.9
"Darien School District","=""0350011""","High Needs",45,40,88.9
"Darien School District","=""0350011""","Non-High Needs",271,268,98.9
"Department of Mental Health and Addiction Services","=""3370015""","High Needs","*","*","*"
"Derby School District","=""0370011""","High Needs",56,41,73.2
"Derby School District","=""0370011""","Non-High Needs",31,29,93.5
"East Granby School District","=""0400011""","High Needs",12,"*","*"
"East Granby School District","=""0400011""","Non-High Needs",59,"*","*"
"East Haddam School District","=""0410011""","High Needs",24,"*","*"
"East Haddam School District","=""0410011""","Non-High Needs",75,"*","*"
"East Hampton School District","=""0420011""","High Needs",27,"*","*"
"East Hampton School District","=""0420011""","Non-High Needs",105,"*","*"
"East Hartford School District","=""0430011""","High Needs",417,335,80.3
"East Hartford School District","=""0430011""","Non-High Needs",129,121,93.8
"East Haven School District","=""0440011""","High Needs",139,91,65.5
"East Haven School District","=""0440011""","Non-High Needs",107,96,89.7
"East Lyme School District","=""0450011""","High Needs",70,"*","*"
"East Lyme School District","=""0450011""","Non-High Needs",240,"*","*"
"East Windsor School District","=""0470011""","High Needs",51,"*","*"
"East Windsor School District","=""0470011""","Non-High Needs",44,"*","*"
