"Five-Year Graduation Rates, 2012-13"
"All Districts, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",
"District","District Code","Free/Reduced Price Meal Eligibility","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Eligible For Free Lunch",18,15,"*"
"Amistad Academy District","=""2790013""","Eligible For Reduced Lunch","*","*","*"
"Amistad Academy District","=""2790013""","Not Eligible For Lunch","*","*","*"
"Ansonia School District","=""0020011""","Eligible For Free Lunch",105,79,75.2
"Ansonia School District","=""0020011""","Eligible For Reduced Lunch",37,31,83.8
"Ansonia School District","=""0020011""","Not Eligible For Lunch",68,63,92.6
"Avon School District","=""0040011""","Eligible For Free Lunch","*","*","*"
"Avon School District","=""0040011""","Eligible For Reduced Lunch","*","*","*"
"Avon School District","=""0040011""","Not Eligible For Lunch",250,245,98.0
"Berlin School District","=""0070011""","Eligible For Free Lunch",25,21,84.0
"Berlin School District","=""0070011""","Eligible For Reduced Lunch",9,"*","*"
"Berlin School District","=""0070011""","Not Eligible For Lunch",229,"*","*"
"Bethel School District","=""0090011""","Eligible For Free Lunch",25,19,76.0
"Bethel School District","=""0090011""","Eligible For Reduced Lunch",15,"*","*"
"Bethel School District","=""0090011""","Not Eligible For Lunch",193,"*","*"
"Bloomfield School District","=""0110011""","Eligible For Free Lunch",64,58,90.6
"Bloomfield School District","=""0110011""","Eligible For Reduced Lunch",26,"*","*"
"Bloomfield School District","=""0110011""","Not Eligible For Lunch",71,"*","*"
"Bolton School District","=""0120011""","Eligible For Free Lunch","*","*","*"
"Bolton School District","=""0120011""","Eligible For Reduced Lunch","*","*","*"
"Bolton School District","=""0120011""","Not Eligible For Lunch",72,69,95.8
"Branford School District","=""0140011""","Eligible For Free Lunch",38,34,89.5
"Branford School District","=""0140011""","Eligible For Reduced Lunch",21,19,90.5
"Branford School District","=""0140011""","Not Eligible For Lunch",212,200,94.3
"Bridgeport School District","=""0150011""","Eligible For Free Lunch",1132,816,72.1
"Bridgeport School District","=""0150011""","Eligible For Reduced Lunch",72,59,81.9
"Bridgeport School District","=""0150011""","Not Eligible For Lunch",14,10,"*"
"Bristol School District","=""0170011""","Eligible For Free Lunch",160,111,69.4
"Bristol School District","=""0170011""","Eligible For Reduced Lunch",80,64,80.0
"Bristol School District","=""0170011""","Not Eligible For Lunch",389,361,92.8
"Brookfield School District","=""0180011""","Eligible For Free Lunch",18,"*","*"
"Brookfield School District","=""0180011""","Eligible For Reduced Lunch",9,"*","*"
"Brookfield School District","=""0180011""","Not Eligible For Lunch",213,"*","*"
"Canton School District","=""0230011""","Eligible For Free Lunch",8,"*","*"
"Canton School District","=""0230011""","Eligible For Reduced Lunch",8,8,"*"
"Canton School District","=""0230011""","Not Eligible For Lunch",108,"*","*"
"Capitol Region Education Council","=""2410014""","Eligible For Free Lunch",95,81,85.3
"Capitol Region Education Council","=""2410014""","Eligible For Reduced Lunch",33,28,84.8
"Capitol Region Education Council","=""2410014""","Not Eligible For Lunch",125,107,85.6
"Cheshire School District","=""0250011""","Eligible For Free Lunch",22,"*","*"
"Cheshire School District","=""0250011""","Eligible For Reduced Lunch",13,"*","*"
