"Five-Year Graduation Rates, 2010-11"
"All Districts, Gender"

"",,,"Graduates",
"District","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Female",17,11,64.7
"Amistad Academy District","Male",10,6,60.0
"Ansonia School District","Female",94,72,76.6
"Ansonia School District","Male",94,72,76.6
"Avon School District","Female",136,134,98.5
"Avon School District","Male",119,116,97.5
"Berlin School District","Female",125,119,95.2
"Berlin School District","Male",136,129,94.9
"Bethel School District","Female",134,129,96.3
"Bethel School District","Male",116,107,92.2
"Bloomfield School District","Female",90,78,86.7
"Bloomfield School District","Male",93,75,80.6
"Bolton School District","Female",48,46,95.8
"Bolton School District","Male",25,24,96.0
"Branford School District","Female",135,129,95.6
"Branford School District","Male",149,140,94.0
"Bridgeport School District","Female",694,494,71.2
"Bridgeport School District","Male",730,432,59.2
"Bristol School District","Female",357,304,85.2
"Bristol School District","Male",348,281,80.7
"Brookfield School District","Female",120,117,97.5
"Brookfield School District","Male",144,137,95.1
"Canton School District","Female",56,54,96.4
"Canton School District","Male",64,60,93.8
"Capitol Region Education Council","Female",172,152,88.4
"Capitol Region Education Council","Male",129,109,84.5
"Cheshire School District","Female",164,162,98.8
"Cheshire School District","Male",211,202,95.7
"Clinton School District","Female",78,76,97.4
"Clinton School District","Male",67,62,92.5
"Colchester School District","Female",122,119,97.5
"Colchester School District","Male",129,119,92.2
"Common Ground High School District","Female",21,19,90.5
"Common Ground High School District","Male",17,14,82.4
"Connecticut Technical High School System","Female",833,776,93.2
"Connecticut Technical High School System","Male",1499,1422,94.9
"Coventry School District","Female",86,80,93.0
"Coventry School District","Male",67,60,89.6
"Cromwell School District","Female",94,90,95.7
"Cromwell School District","Male",76,71,93.4
"Danbury School District","Female",365,310,84.9
"Danbury School District","Male",392,307,78.3
"Darien School District","Female",161,158,98.1
"Darien School District","Male",166,159,95.8
"Derby School District","Female",56,49,87.5
"Derby School District","Male",67,50,74.6
"East Granby School District","Female",39,38,97.4
"East Granby School District","Male",37,36,97.3
"East Haddam School District","Female",47,45,95.7
"East Haddam School District","Male",50,45,90.0
"East Hampton School District","Female",66,62,93.9
"East Hampton School District","Male",73,65,89.0
"East Hartford School District","Female",305,266,87.2
"East Hartford School District","Male",296,239,80.7
"East Haven School District","Female",152,136,89.5
"East Haven School District","Male",148,122,82.4
"East Lyme School District","Female",163,160,98.2
"East Lyme School District","Male",162,157,96.9
"East Windsor School District","Female",43,39,90.7
"East Windsor School District","Male",47,41,87.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",34,25,73.5
