"Five-Year Graduation Rates, 2011-12"
"All Districts, Gender"

"",,,,"Graduates",
"District","District Code","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Female","*","*","*"
"Amistad Academy District","=""2790013""","Male","*","*","*"
"Ansonia School District","=""0020011""","Female",98,86,87.8
"Ansonia School District","=""0020011""","Male",102,79,77.5
"Avon School District","=""0040011""","Female",140,"*","*"
"Avon School District","=""0040011""","Male",143,"*","*"
"Berlin School District","=""0070011""","Female",144,"*","*"
"Berlin School District","=""0070011""","Male",114,"*","*"
"Bethel School District","=""0090011""","Female",127,"*","*"
"Bethel School District","=""0090011""","Male",110,"*","*"
"Bloomfield School District","=""0110011""","Female",102,89,87.3
"Bloomfield School District","=""0110011""","Male",91,83,91.2
"Bolton School District","=""0120011""","Female",37,"*","*"
"Bolton School District","=""0120011""","Male",33,"*","*"
"Branford School District","=""0140011""","Female",129,"*","*"
"Branford School District","=""0140011""","Male",130,"*","*"
"Bridgeport School District","=""0150011""","Female",631,482,76.4
"Bridgeport School District","=""0150011""","Male",635,416,65.5
"Bristol School District","=""0170011""","Female",318,285,89.6
"Bristol School District","=""0170011""","Male",310,273,88.1
"Brookfield School District","=""0180011""","Female",140,138,98.6
"Brookfield School District","=""0180011""","Male",114,112,98.2
"Canton School District","=""0230011""","Female",61,"*","*"
"Canton School District","=""0230011""","Male",57,"*","*"
"Capitol Region Education Council","=""2410014""","Female",170,148,87.1
"Capitol Region Education Council","=""2410014""","Male",163,125,76.7
"Cheshire School District","=""0250011""","Female",199,"*","*"
"Cheshire School District","=""0250011""","Male",209,"*","*"
"Clinton School District","=""0270011""","Female",60,"*","*"
"Clinton School District","=""0270011""","Male",61,"*","*"
"Colchester School District","=""0280011""","Female",138,"*","*"
"Colchester School District","=""0280011""","Male",105,"*","*"
"Common Ground High School District","=""2680013""","Female",12,"*","*"
"Common Ground High School District","=""2680013""","Male",18,"*","*"
"Connecticut Technical High School System","=""9000016""","Female",954,916,96.0
"Connecticut Technical High School System","=""9000016""","Male",1577,1529,97.0
"Coventry School District","=""0320011""","Female",69,65,94.2
"Coventry School District","=""0320011""","Male",81,73,90.1
"Cromwell School District","=""0330011""","Female",74,71,95.9
"Cromwell School District","=""0330011""","Male",77,69,89.6
"Danbury School District","=""0340011""","Female",392,342,87.2
"Danbury School District","=""0340011""","Male",362,296,81.8
"Darien School District","=""0350011""","Female",162,"*","*"
"Darien School District","=""0350011""","Male",149,"*","*"
"Derby School District","=""0370011""","Female",52,42,80.8
"Derby School District","=""0370011""","Male",60,47,78.3
"East Granby School District","=""0400011""","Female",31,"*","*"
"East Granby School District","=""0400011""","Male",29,"*","*"
"East Haddam School District","=""0410011""","Female",58,"*","*"
"East Haddam School District","=""0410011""","Male",45,"*","*"
"East Hampton School District","=""0420011""","Female",76,"*","*"
"East Hampton School District","=""0420011""","Male",88,"*","*"
"East Hartford School District","=""0430011""","Female",290,247,85.2
"East Hartford School District","=""0430011""","Male",289,234,81.0
"East Haven School District","=""0440011""","Female",118,97,82.2
"East Haven School District","=""0440011""","Male",107,75,70.1
"East Lyme School District","=""0450011""","Female",159,153,96.2
"East Lyme School District","=""0450011""","Male",143,131,91.6
"East Windsor School District","=""0470011""","Female",46,"*","*"
"East Windsor School District","=""0470011""","Male",42,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",47,39,83.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",38,31,81.6
"Ellington School District","=""0480011""","Female",96,90,93.8
