"Five-Year Graduation Rates, 2011-12"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education",18,"*","*"
"Ansonia School District","=""0020011""","Non-Special Education",175,148,84.6
"Ansonia School District","=""0020011""","Special Education",25,17,68.0
"Avon School District","=""0040011""","Non-Special Education",248,"*","*"
"Avon School District","=""0040011""","Special Education",35,"*","*"
"Berlin School District","=""0070011""","Non-Special Education",220,"*","*"
"Berlin School District","=""0070011""","Special Education",38,"*","*"
"Bethel School District","=""0090011""","Non-Special Education",209,"*","*"
"Bethel School District","=""0090011""","Special Education",28,"*","*"
"Bloomfield School District","=""0110011""","Non-Special Education",166,149,89.8
"Bloomfield School District","=""0110011""","Special Education",27,23,85.2
"Bolton School District","=""0120011""","Non-Special Education",64,"*","*"
"Bolton School District","=""0120011""","Special Education",6,"*","*"
"Branford School District","=""0140011""","Non-Special Education",225,215,95.6
"Branford School District","=""0140011""","Special Education",34,29,85.3
"Bridgeport School District","=""0150011""","Non-Special Education",1084,800,73.8
"Bridgeport School District","=""0150011""","Special Education",182,98,53.8
"Bristol School District","=""0170011""","Non-Special Education",537,484,90.1
"Bristol School District","=""0170011""","Special Education",91,74,81.3
"Brookfield School District","=""0180011""","Non-Special Education",235,"*","*"
"Brookfield School District","=""0180011""","Special Education",19,"*","*"
"Canton School District","=""0230011""","Non-Special Education",106,"*","*"
"Canton School District","=""0230011""","Special Education",12,"*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",271,237,87.5
"Capitol Region Education Council","=""2410014""","Special Education",62,36,58.1
"Cheshire School District","=""0250011""","Non-Special Education",362,"*","*"
"Cheshire School District","=""0250011""","Special Education",46,"*","*"
"Clinton School District","=""0270011""","Non-Special Education",101,"*","*"
"Clinton School District","=""0270011""","Special Education",20,"*","*"
"Colchester School District","=""0280011""","Non-Special Education",216,"*","*"
"Colchester School District","=""0280011""","Special Education",27,"*","*"
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2311,"*","*"
"Connecticut Technical High School System","=""9000016""","Special Education",220,"*","*"
"Coventry School District","=""0320011""","Non-Special Education",124,116,93.5
"Coventry School District","=""0320011""","Special Education",26,22,84.6
"Cromwell School District","=""0330011""","Non-Special Education",130,"*","*"
"Cromwell School District","=""0330011""","Special Education",21,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",673,581,86.3
"Danbury School District","=""0340011""","Special Education",81,57,70.4
"Darien School District","=""0350011""","Non-Special Education",268,262,97.8
"Darien School District","=""0350011""","Special Education",43,40,93.0
"Derby School District","=""0370011""","Non-Special Education",100,83,83.0
"Derby School District","=""0370011""","Special Education",12,6,"*"
"East Granby School District","=""0400011""","Non-Special Education",51,"*","*"
"East Granby School District","=""0400011""","Special Education",9,"*","*"
"East Haddam School District","=""0410011""","Non-Special Education",92,"*","*"
"East Haddam School District","=""0410011""","Special Education",11,"*","*"
"East Hampton School District","=""0420011""","Non-Special Education",154,"*","*"
"East Hampton School District","=""0420011""","Special Education",10,"*","*"
"East Hartford School District","=""0430011""","Non-Special Education",481,413,85.9
"East Hartford School District","=""0430011""","Special Education",98,68,69.4
"East Haven School District","=""0440011""","Non-Special Education",190,154,81.1
"East Haven School District","=""0440011""","Special Education",35,18,51.4
"East Lyme School District","=""0450011""","Non-Special Education",251,243,96.8
"East Lyme School District","=""0450011""","Special Education",51,41,80.4
"East Windsor School District","=""0470011""","Non-Special Education",77,70,90.9
"East Windsor School District","=""0470011""","Special Education",11,9,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education",65,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education",20,"*","*"
"Ellington School District","=""0480011""","Non-Special Education",178,171,96.1
"Ellington School District","=""0480011""","Special Education",22,14,63.6
"Elm City College Preparatory School District","=""2890013""","Non-Special Education","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Special Education","*","*","*"
"Enfield School District","=""0490011""","Non-Special Education",426,392,92.0
"Enfield School District","=""0490011""","Special Education",87,55,63.2
"Explorations District","=""2720013""","Non-Special Education",21,"*","*"
"Explorations District","=""2720013""","Special Education",8,"*","*"
"Fairfield School District","=""0510011""","Non-Special Education",598,582,97.3
"Fairfield School District","=""0510011""","Special Education",94,85,90.4
"Farmington School District","=""0520011""","Non-Special Education",274,268,97.8
"Farmington School District","=""0520011""","Special Education",31,24,77.4
"Glastonbury School District","=""0540011""","Non-Special Education",454,"*","*"
"Glastonbury School District","=""0540011""","Special Education",59,"*","*"
"Granby School District","=""0560011""","Non-Special Education",167,"*","*"
