"Five-Year Graduation Rates, 2011-12"
"All Districts, English Learner Status"

"",,,,"Non-Graduates",,,
"District","District Code","English Learner Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Non-ELL",18,0,"*","*","*"
"Ansonia School District","=""0020011""","Non-ELL",191,"*","*","*","*"
"Ansonia School District","=""0020011""","ELL",9,0,"*","*","*"
"Avon School District","=""0040011""","Non-ELL","*","*","*","*","*"
"Avon School District","=""0040011""","ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","Non-ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","Non-ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL",193,"*","*","*","*"
"Bolton School District","=""0120011""","Non-ELL",70,0,0.0,"*","*"
"Branford School District","=""0140011""","Non-ELL","*","*","*","*","*"
"Branford School District","=""0140011""","ELL","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Non-ELL",1061,"*","*","*","*"
"Bridgeport School District","=""0150011""","ELL",205,"*","*","*","*"
"Bristol School District","=""0170011""","Non-ELL",607,6,1.0,"*","*"
"Bristol School District","=""0170011""","ELL",21,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELL","*","*","*","*","*"
"Canton School District","=""0230011""","Non-ELL",118,0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","Non-ELL",325,10,3.1,"*","*"
"Capitol Region Education Council","=""2410014""","ELL",8,0,"*","*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","Non-ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","ELL","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-ELL",2426,0,0.0,75,3.1
"Connecticut Technical High School System","=""9000016""","ELL",105,0,0.0,11,10.5
"Coventry School District","=""0320011""","Non-ELL",150,"*","*","*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*","*","*","*"
"Cromwell School District","=""0330011""","ELL","*","*","*","*","*"
"Danbury School District","=""0340011""","Non-ELL",640,"*","*","*","*"
"Danbury School District","=""0340011""","ELL",114,"*","*","*","*"
"Darien School District","=""0350011""","Non-ELL","*","*","*","*","*"
"Darien School District","=""0350011""","ELL","*","*","*","*","*"
"Derby School District","=""0370011""","Non-ELL",103,"*","*","*","*"
"Derby School District","=""0370011""","ELL",9,0,"*","*","*"
"East Granby School District","=""0400011""","Non-ELL",60,"*","*","*","*"
"East Haddam School District","=""0410011""","Non-ELL","*","*","*","*","*"
"East Haddam School District","=""0410011""","ELL","*","*","*","*","*"
"East Hampton School District","=""0420011""","Non-ELL","*","*","*","*","*"
"East Hampton School District","=""0420011""","ELL","*","*","*","*","*"
"East Hartford School District","=""0430011""","Non-ELL",543,"*","*","*","*"
"East Hartford School District","=""0430011""","ELL",36,"*","*","*","*"
"East Haven School District","=""0440011""","Non-ELL",215,"*","*","*","*"
"East Haven School District","=""0440011""","ELL",10,0,"*","*","*"
