"Five-Year Graduation Rates, 2013-14"
"All Districts, English Learner Status"

"",,,,"Non-Graduates",,,
"District","District Code","English Learner Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Non-ELL",23,0,0.0,"*","*"
"Ansonia School District","=""0020011""","Non-ELL","*","*","*","*","*"
"Ansonia School District","=""0020011""","ELL","*","*","*","*","*"
"Avon School District","=""0040011""","Non-ELL",272,"*","*","*","*"
"Berlin School District","=""0070011""","Non-ELL","*","*","*","*","*"
"Berlin School District","=""0070011""","ELL","*","*","*","*","*"
"Bethel School District","=""0090011""","Non-ELL",238,"*","*","*","*"
"Bethel School District","=""0090011""","ELL",6,0,"*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL","*","*","*","*","*"
"Bloomfield School District","=""0110011""","ELL","*","*","*","*","*"
"Bolton School District","=""0120011""","Non-ELL",101,"*","*","*","*"
"Branford School District","=""0140011""","Non-ELL","*","*","*","*","*"
"Branford School District","=""0140011""","ELL","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Non-ELL",1055,"*","*","*","*"
"Bridgeport School District","=""0150011""","ELL",170,"*","*","*","*"
"Bristol School District","=""0170011""","Non-ELL",676,"*","*","*","*"
"Bristol School District","=""0170011""","ELL",21,"*","*","*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*","*","*"
"Brookfield School District","=""0180011""","ELL","*","*","*","*","*"
"Canton School District","=""0230011""","Non-ELL",136,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-ELL","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","ELL","*","*","*","*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*","*","*"
"Cheshire School District","=""0250011""","ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","Non-ELL","*","*","*","*","*"
"Clinton School District","=""0270011""","ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*","*","*"
"Colchester School District","=""0280011""","ELL","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL",29,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""","Non-ELL",2381,17,0.7,66,2.8
"Connecticut Technical High School System","=""9000016""","ELL",37,0,0.0,0,0.0
"Coventry School District","=""0320011""","Non-ELL",132,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*","*","*","*"
"Cromwell School District","=""0330011""","ELL","*","*","*","*","*"
"Danbury School District","=""0340011""","Non-ELL",664,20,3.0,64,9.6
