"Five-Year Graduation Rates, 2012-13"
"All Districts, Gender"

"",,,,"Graduates",
"District","District Code","Gender","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Female",12,"*","*"
"Amistad Academy District","=""2790013""","Male",11,"*","*"
"Ansonia School District","=""0020011""","Female",106,95,89.6
"Ansonia School District","=""0020011""","Male",104,78,75.0
"Avon School District","=""0040011""","Female",122,119,97.5
"Avon School District","=""0040011""","Male",141,138,97.9
"Berlin School District","=""0070011""","Female",140,"*","*"
"Berlin School District","=""0070011""","Male",123,"*","*"
"Bethel School District","=""0090011""","Female",117,110,94.0
"Bethel School District","=""0090011""","Male",116,112,96.6
"Bloomfield School District","=""0110011""","Female",80,76,95.0
"Bloomfield School District","=""0110011""","Male",81,75,92.6
"Bolton School District","=""0120011""","Female",45,"*","*"
"Bolton School District","=""0120011""","Male",37,"*","*"
"Branford School District","=""0140011""","Female",153,143,93.5
"Branford School District","=""0140011""","Male",118,110,93.2
"Bridgeport School District","=""0150011""","Female",614,469,76.4
"Bridgeport School District","=""0150011""","Male",604,416,68.9
"Bristol School District","=""0170011""","Female",294,259,88.1
"Bristol School District","=""0170011""","Male",335,277,82.7
"Brookfield School District","=""0180011""","Female",122,"*","*"
"Brookfield School District","=""0180011""","Male",118,"*","*"
"Canton School District","=""0230011""","Female",63,"*","*"
"Canton School District","=""0230011""","Male",61,"*","*"
"Capitol Region Education Council","=""2410014""","Female",138,120,87.0
"Capitol Region Education Council","=""2410014""","Male",115,96,83.5
"Cheshire School District","=""0250011""","Female",189,184,97.4
"Cheshire School District","=""0250011""","Male",195,184,94.4
"Clinton School District","=""0270011""","Female",70,65,92.9
"Clinton School District","=""0270011""","Male",75,66,88.0
"Colchester School District","=""0280011""","Female",128,124,96.9
"Colchester School District","=""0280011""","Male",126,117,92.9
"Common Ground High School District","=""2680013""","Female",16,"*","*"
"Common Ground High School District","=""2680013""","Male",22,"*","*"
"Connecticut Technical High School System","=""9000016""","Female",891,857,96.2
"Connecticut Technical High School System","=""9000016""","Male",1582,1542,97.5
"Coventry School District","=""0320011""","Female",72,66,91.7
"Coventry School District","=""0320011""","Male",66,59,89.4
"Cromwell School District","=""0330011""","Female",77,"*","*"
"Cromwell School District","=""0330011""","Male",65,"*","*"
"Danbury School District","=""0340011""","Female",385,328,85.2
"Danbury School District","=""0340011""","Male",390,317,81.3
"Darien School District","=""0350011""","Female",159,155,97.5
"Darien School District","=""0350011""","Male",157,153,97.5
"Department of Mental Health and Addiction Services","=""3370015""","Female","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*","*","*"
"Derby School District","=""0370011""","Female",43,31,72.1
"Derby School District","=""0370011""","Male",44,39,88.6
"East Granby School District","=""0400011""","Female",32,"*","*"
"East Granby School District","=""0400011""","Male",39,"*","*"
"East Haddam School District","=""0410011""","Female",50,"*","*"
"East Haddam School District","=""0410011""","Male",49,"*","*"
"East Hampton School District","=""0420011""","Female",67,"*","*"
"East Hampton School District","=""0420011""","Male",65,"*","*"
"East Hartford School District","=""0430011""","Female",258,223,86.4
"East Hartford School District","=""0430011""","Male",288,233,80.9
"East Haven School District","=""0440011""","Female",114,96,84.2
"East Haven School District","=""0440011""","Male",132,91,68.9
"East Lyme School District","=""0450011""","Female",160,155,96.9
"East Lyme School District","=""0450011""","Male",150,140,93.3
"East Windsor School District","=""0470011""","Female",49,44,89.8
"East Windsor School District","=""0470011""","Male",46,38,82.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",39,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",32,"*","*"
"Ellington School District","=""0480011""","Female",106,"*","*"
"Ellington School District","=""0480011""","Male",92,"*","*"
"Elm City College Preparatory School District","=""2890013""","Female",7,"*","*"
"Elm City College Preparatory School District","=""2890013""","Male",6,"*","*"
"Enfield School District","=""0490011""","Female",220,200,90.9
"Enfield School District","=""0490011""","Male",223,200,89.7
"Explorations District","=""2720013""","Female",17,"*","*"
"Explorations District","=""2720013""","Male",13,"*","*"
"Fairfield School District","=""0510011""","Female",343,329,95.9
"Fairfield School District","=""0510011""","Male",362,336,92.8
"Farmington School District","=""0520011""","Female",163,159,97.5
"Farmington School District","=""0520011""","Male",163,156,95.7
"Glastonbury School District","=""0540011""","Female",276,268,97.1
"Glastonbury School District","=""0540011""","Male",275,269,97.8
"Granby School District","=""0560011""","Female",99,"*","*"
"Granby School District","=""0560011""","Male",99,"*","*"
"Greenwich School District","=""0570011""","Female",326,315,96.6
"Greenwich School District","=""0570011""","Male",365,352,96.4
"Griswold School District","=""0580011""","Female",92,84,91.3
"Griswold School District","=""0580011""","Male",76,68,89.5
"Groton School District","=""0590011""","Female",168,144,85.7
"Groton School District","=""0590011""","Male",159,128,80.5
"Guilford School District","=""0600011""","Female",139,"*","*"
"Guilford School District","=""0600011""","Male",141,"*","*"
"Hamden School District","=""0620011""","Female",229,209,91.3
"Hamden School District","=""0620011""","Male",221,194,87.8
"Hartford School District","=""0640011""","Female",739,585,79.2
"Hartford School District","=""0640011""","Male",703,513,73.0
"Killingly School District","=""0690011""","Female",111,95,85.6
