"Five-Year Graduation Rates, 2011-12"
"All Districts, English Learner Status"

"",,,"Graduates",
"District","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Non-ELL",18,17,94.4
"Ansonia School District","Non-ELL",191,158,82.7
"Ansonia School District","ELL",9,7,77.8
"Avon School District","Non-ELL","*","*","*"
"Avon School District","ELL","*","*","*"
"Berlin School District","Non-ELL","*","*","*"
"Berlin School District","ELL","*","*","*"
"Bethel School District","Non-ELL","*","*","*"
"Bethel School District","ELL","*","*","*"
"Bloomfield School District","Non-ELL",193,172,89.1
"Bolton School District","Non-ELL",70,67,95.7
"Branford School District","Non-ELL","*","*","*"
"Branford School District","ELL","*","*","*"
"Bridgeport School District","Non-ELL",1061,766,72.2
"Bridgeport School District","ELL",205,132,64.4
"Bristol School District","Non-ELL",607,541,89.1
"Bristol School District","ELL",21,17,81.0
"Brookfield School District","Non-ELL","*","*","*"
"Brookfield School District","ELL","*","*","*"
"Canton School District","Non-ELL",118,116,98.3
"Capitol Region Education Council","Non-ELL",325,267,82.2
"Capitol Region Education Council","ELL",8,6,75.0
"Cheshire School District","Non-ELL","*","*","*"
"Cheshire School District","ELL","*","*","*"
"Clinton School District","Non-ELL","*","*","*"
"Clinton School District","ELL","*","*","*"
"Colchester School District","Non-ELL","*","*","*"
"Colchester School District","ELL","*","*","*"
"Common Ground High School District","Non-ELL","*","*","*"
"Common Ground High School District","ELL","*","*","*"
"Connecticut Technical High School System","Non-ELL",2426,2351,96.9
"Connecticut Technical High School System","ELL",105,94,89.5
"Coventry School District","Non-ELL",150,138,92.0
"Cromwell School District","Non-ELL","*","*","*"
"Cromwell School District","ELL","*","*","*"
"Danbury School District","Non-ELL",640,557,87.0
"Danbury School District","ELL",114,81,71.1
"Darien School District","Non-ELL","*","*","*"
"Darien School District","ELL","*","*","*"
"Derby School District","Non-ELL",103,82,79.6
"Derby School District","ELL",9,7,77.8
"East Granby School District","Non-ELL",60,58,96.7
"East Haddam School District","Non-ELL","*","*","*"
"East Haddam School District","ELL","*","*","*"
"East Hampton School District","Non-ELL","*","*","*"
"East Hampton School District","ELL","*","*","*"
"East Hartford School District","Non-ELL",543,456,84.0
"East Hartford School District","ELL",36,25,69.4
"East Haven School District","Non-ELL",215,164,76.3
"East Haven School District","ELL",10,8,80.0
"East Lyme School District","Non-ELL",302,284,94.0
"East Windsor School District","Non-ELL",88,79,89.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","ELL","*","*","*"
"Ellington School District","Non-ELL","*","*","*"
"Ellington School District","ELL","*","*","*"
"Elm City College Preparatory School District","Non-ELL",19,16,84.2
"Enfield School District","Non-ELL","*","*","*"
"Enfield School District","ELL","*","*","*"
"Explorations District","Non-ELL",29,17,58.6
"Fairfield School District","Non-ELL",679,656,96.6
"Fairfield School District","ELL",13,11,84.6
"Farmington School District","Non-ELL","*","*","*"
"Farmington School District","ELL","*","*","*"
"Glastonbury School District","Non-ELL","*","*","*"
"Glastonbury School District","ELL","*","*","*"
"Granby School District","Non-ELL",188,185,98.4
"Greenwich School District","Non-ELL",612,586,95.8
"Greenwich School District","ELL",30,26,86.7
"Griswold School District","Non-ELL","*","*","*"
"Griswold School District","ELL","*","*","*"
"Groton School District","Non-ELL",336,279,83.0
"Groton School District","ELL",11,7,63.6
"Guilford School District","Non-ELL",286,282,98.6
"Hamden School District","Non-ELL",503,449,89.3
"Hamden School District","ELL",13,11,84.6
"Hartford School District","Non-ELL",1196,918,76.8
"Hartford School District","ELL",199,115,57.8
"Killingly School District","Non-ELL","*","*","*"
"Killingly School District","ELL","*","*","*"
"Lebanon School District","Non-ELL",129,117,90.7
"Ledyard School District","Non-ELL","*","*","*"
"Ledyard School District","ELL","*","*","*"
"Lisbon School District","Non-ELL","*","*","*"
"Litchfield School District","Non-ELL",103,101,98.1
"Madison School District","Non-ELL","*","*","*"
"Madison School District","ELL","*","*","*"
"Manchester School District","Non-ELL",496,389,78.4
"Manchester School District","ELL",16,16,100.0
"Meriden School District","Non-ELL",552,420,76.1
"Meriden School District","ELL",71,42,59.2
"Middletown School District","Non-ELL","*","*","*"
"Middletown School District","ELL","*","*","*"
"Milford School District","Non-ELL",503,457,90.9
"Milford School District","ELL",8,8,100.0
"Monroe School District","Non-ELL",339,336,99.1
"Montville School District","Non-ELL",211,183,86.7
"Montville School District","ELL",10,10,100.0
"Naugatuck School District","Non-ELL",362,312,86.2
"Naugatuck School District","ELL",7,7,100.0
"New Britain School District","Non-ELL",550,387,70.4
"New Britain School District","ELL",118,66,55.9
"New Canaan School District","Non-ELL","*","*","*"
"New Canaan School District","ELL","*","*","*"
"New Fairfield School District","Non-ELL","*","*","*"
"New Fairfield School District","ELL","*","*","*"
"New Haven School District","Non-ELL",1186,905,76.3
"New Haven School District","ELL",143,95,66.4
"New London School District","Non-ELL",187,129,69.0
"New London School District","ELL",53,36,67.9
"New Milford School District","Non-ELL","*","*","*"
"New Milford School District","ELL","*","*","*"
"Newington School District","Non-ELL",326,300,92.0
"Newington School District","ELL",9,8,88.9
"Newtown School District","Non-ELL","*","*","*"
"Newtown School District","ELL","*","*","*"
"North Branford School District","Non-ELL","*","*","*"
"North Branford School District","ELL","*","*","*"
"North Haven School District","Non-ELL","*","*","*"
"North Haven School District","ELL","*","*","*"
"North Stonington School District","Non-ELL",54,48,88.9
"Norwalk School District","Non-ELL",792,703,88.8
"Norwalk School District","ELL",80,62,77.5
"Norwich Free Academy District","Non-ELL",603,536,88.9
"Norwich Free Academy District","ELL",33,22,66.7
"Norwich School District","Non-ELL",70,"*","*"
"Old Saybrook School District","Non-ELL","*","*","*"
"Old Saybrook School District","ELL","*","*","*"
"Oxford School District","Non-ELL",146,134,91.8
"Plainfield School District","Non-ELL","*","*","*"
"Plainfield School District","ELL","*","*","*"
"Plainville School District","Non-ELL","*","*","*"
"Plainville School District","ELL","*","*","*"
"Plymouth School District","Non-ELL",139,122,87.8
"Portland School District","Non-ELL","*","*","*"
"Portland School District","ELL","*","*","*"
"Putnam School District","Non-ELL","*","*","*"
"Putnam School District","ELL","*","*","*"
"Regional School District 01","Non-ELL",140,133,95.0
"Regional School District 04","Non-ELL","*","*","*"
"Regional School District 04","ELL","*","*","*"
"Regional School District 05","Non-ELL","*","*","*"
"Regional School District 05","ELL","*","*","*"
"Regional School District 06","Non-ELL","*","*","*"
"Regional School District 06","ELL","*","*","*"
"Regional School District 07","Non-ELL","*","*","*"
"Regional School District 07","ELL","*","*","*"
"Regional School District 08","Non-ELL","*","*","*"
"Regional School District 08","ELL","*","*","*"
"Regional School District 09","Non-ELL","*","*","*"
"Regional School District 09","ELL","*","*","*"
"Regional School District 10","Non-ELL",229,224,97.8
"Regional School District 11","Non-ELL",43,42,97.7
"Regional School District 12","Non-ELL","*","*","*"
"Regional School District 12","ELL","*","*","*"
"Regional School District 13","Non-ELL",142,138,97.2
"Regional School District 14","Non-ELL","*","*","*"
"Regional School District 14","ELL","*","*","*"
"Regional School District 15","Non-ELL","*","*","*"
"Regional School District 15","ELL","*","*","*"
"Regional School District 16","Non-ELL","*","*","*"
"Regional School District 16","ELL","*","*","*"
"Regional School District 17","Non-ELL",189,179,94.7
"Regional School District 18","Non-ELL",104,102,98.1
"Regional School District 19","Non-ELL","*","*","*"
"Regional School District 19","ELL","*","*","*"
"Ridgefield School District","Non-ELL",443,440,99.3
"Rocky Hill School District","Non-ELL","*","*","*"
"Rocky Hill School District","ELL","*","*","*"
"Seymour School District","Non-ELL","*","*","*"
"Seymour School District","ELL","*","*","*"
"Shelton School District","Non-ELL",421,"*","*"
"Shelton School District","ELL",6,"*","*"
"Simsbury School District","Non-ELL","*","*","*"
"Simsbury School District","ELL","*","*","*"
"Somers School District","Non-ELL","*","*","*"
"Somers School District","ELL","*","*","*"
"South Windsor School District","Non-ELL",378,366,96.8
"South Windsor School District","ELL",6,6,100.0
"Southington School District","Non-ELL",488,463,94.9
"Southington School District","ELL",7,7,100.0
"Stafford School District","Non-ELL",140,126,90.0
"Stamford Academy District","Non-ELL","*","*","*"
"Stamford Academy District","ELL","*","*","*"
"Stamford School District","Non-ELL",1023,944,92.3
"Stamford School District","ELL",153,110,71.9
"Stonington School District","Non-ELL",181,171,94.5
"Stratford School District","Non-ELL",559,501,89.6
"Stratford School District","ELL",22,18,81.8
"Suffield School District","Non-ELL",206,190,92.2
"The Bridge Academy District","Non-ELL",41,33,80.5
"The Gilbert School District","Non-ELL","*","*","*"
"The Gilbert School District","ELL","*","*","*"
"Thomaston School District","Non-ELL","*","*","*"
"Thomaston School District","ELL","*","*","*"
"Thompson School District","Non-ELL",101,90,89.1
"Tolland School District","Non-ELL",231,226,97.8
"Torrington School District","Non-ELL",288,239,83.0
"Torrington School District","ELL",14,13,92.9
"Trumbull School District","Non-ELL",533,525,98.5
"Trumbull School District","ELL",9,7,77.8
"Unified School District #1","Non-ELL",698,"*","*"
"Unified School District #1","ELL",33,"*","*"
"Unified School District #2","Non-ELL",34,"*","*"
"Vernon School District","Non-ELL",251,215,85.7
"Vernon School District","ELL",11,10,90.9
"Wallingford School District","Non-ELL",519,483,93.1
"Wallingford School District","ELL",18,16,88.9
"Waterbury School District","Non-ELL",1103,750,68.0
"Waterbury School District","ELL",161,96,59.6
"Waterford School District","Non-ELL","*","*","*"
"Waterford School District","ELL","*","*","*"
"Watertown School District","Non-ELL","*","*","*"
"Watertown School District","ELL","*","*","*"
"West Hartford School District","Non-ELL",717,687,95.8
"West Hartford School District","ELL",35,31,88.6
"West Haven School District","Non-ELL",362,271,74.9
"West Haven School District","ELL",25,19,76.0
"Westbrook School District","Non-ELL",82,78,95.1
"Weston School District","Non-ELL",191,190,99.5
"Westport School District","Non-ELL","*","*","*"
"Westport School District","ELL","*","*","*"
"Wethersfield School District","Non-ELL",280,258,92.1
"Wethersfield School District","ELL",11,10,90.9
"Wilton School District","Non-ELL","*","*","*"
"Wilton School District","ELL","*","*","*"
"Windham School District","Non-ELL",138,110,79.7
"Windham School District","ELL",45,29,64.4
"Windsor Locks School District","Non-ELL","*","*","*"
"Windsor Locks School District","ELL","*","*","*"
"Windsor School District","Non-ELL",313,"*","*"
"Windsor School District","ELL",6,"*","*"
"Wolcott School District","Non-ELL",219,208,95.0
"Woodstock Academy District","Non-ELL","*","*","*"
"Woodstock Academy District","ELL","*","*","*"

