"Five-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",27,"*","*","*","*"
"Ansonia School District","=""0020011""",188,"*","*","*","*"
"Avon School District","=""0040011""",255,"*","*","*","*"
"Berlin School District","=""0070011""",261,0,0.0,13,5.0
"Bethel School District","=""0090011""",250,8,3.2,6,2.4
"Bloomfield School District","=""0110011""",183,6,3.3,24,13.1
"Bolton School District","=""0120011""",73,0,0.0,"*","*"
"Branford School District","=""0140011""",284,"*","*","*","*"
"Bridgeport School District","=""0150011""",1424,44,3.1,454,31.9
"Bristol School District","=""0170011""",705,14,2.0,106,15.0
"Brookfield School District","=""0180011""",264,"*","*","*","*"
"Canton School District","=""0230011""",120,"*","*","*","*"
"Capitol Region Education Council","=""2410014""",301,"*","*","*","*"
"Cheshire School District","=""0250011""",375,"*","*","*","*"
"Clinton School District","=""0270011""",145,0,0.0,6,4.1
"Colchester School District","=""0280011""",251,"*","*","*","*"
"Common Ground High School District","=""2680013""",38,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""",2332,"*","*","*","*"
"Coventry School District","=""0320011""",153,"*","*","*","*"
"Cromwell School District","=""0330011""",170,"*","*","*","*"
"Danbury School District","=""0340011""",757,17,2.2,123,16.2
"Darien School District","=""0350011""",327,"*","*","*","*"
"Derby School District","=""0370011""",123,"*","*","*","*"
"East Granby School District","=""0400011""",76,0,0.0,"*","*"
"East Haddam School District","=""0410011""",97,0,0.0,7,7.2
"East Hampton School District","=""0420011""",139,"*","*","*","*"
"East Hartford School District","=""0430011""",601,7,1.2,89,14.8
"East Haven School District","=""0440011""",300,"*","*","*","*"
"East Lyme School District","=""0450011""",325,"*","*","*","*"
"East Windsor School District","=""0470011""",90,0,0.0,10,11.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",63,0,0.0,14,22.2
"Ellington School District","=""0480011""",183,0,0.0,9,4.9
"Enfield School District","=""0490011""",519,9,1.7,63,12.1
"Explorations District","=""2720013""",30,0,0.0,9,30.0
"Fairfield School District","=""0510011""",655,7,1.1,19,2.9
"Farmington School District","=""0520011""",336,"*","*","*","*"
"Glastonbury School District","=""0540011""",550,6,1.1,7,1.3
"Granby School District","=""0560011""",194,0,0.0,"*","*"
"Greenwich School District","=""0570011""",633,8,1.3,10,1.6
"Griswold School District","=""0580011""",201,"*","*","*","*"
"Groton School District","=""0590011""",334,"*","*","*","*"
"Guilford School District","=""0600011""",271,"*","*","*","*"
"Hamden School District","=""0620011""",584,11,1.9,64,11.0
"Hartford School District","=""0640011""",1599,34,2.1,464,29.0
"Killingly School District","=""0690011""",196,"*","*","*","*"
"Lebanon School District","=""0710011""",160,"*","*","*","*"
