"Five-Year Graduation Rates, 2013-14"
"All Districts, All Students"

"",,"Graduates",
"District","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District",23,21,91.3
"Ansonia School District",156,125,80.1
"Avon School District",272,267,98.2
"Berlin School District",235,227,96.6
"Bethel School District",244,231,94.7
"Bloomfield School District",171,158,92.4
"Bolton School District",101,99,98.0
"Branford School District",298,275,92.3
"Bridgeport School District",1225,927,75.7
"Bristol School District",697,602,86.4
"Brookfield School District",232,231,99.6
"Canton School District",136,131,96.3
"Capitol Region Education Council",343,293,85.4
"Cheshire School District",389,378,97.2
"Clinton School District",130,124,95.4
"Colchester School District",248,241,97.2
"Common Ground High School District",29,26,89.7
"Connecticut Technical High School System",2418,2335,96.6
"Coventry School District",132,129,97.7
"Cromwell School District",135,123,91.1
"Danbury School District",748,629,84.1
"Darien School District",336,327,97.3
"Department of Mental Health and Addiction Services","*","*","*"
"Derby School District",102,88,86.3
"East Granby School District",65,61,93.8
"East Haddam School District",105,99,94.3
"East Hampton School District",121,118,97.5
"East Hartford School District",502,421,83.9
"East Haven School District",257,214,83.3
"East Lyme School District",275,260,94.5
"East Windsor School District",109,102,93.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",69,54,78.3
"Ellington School District",194,186,95.9
"Elm City College Preparatory School District",23,21,91.3
"Enfield School District",426,376,88.3
"Explorations District",26,21,80.8
"Fairfield School District",727,694,95.5
"Farmington School District",340,333,97.9
"Glastonbury School District",584,566,96.9
"Granby School District",201,194,96.5
"Greenwich School District",667,651,97.6
"Griswold School District",170,149,87.6
"Groton School District",317,271,85.5
"Guilford School District",284,270,95.1
"Hamden School District",457,418,91.5
"Hartford School District",1350,1048,77.6
"Killingly School District",217,183,84.3
"Learn",153,144,94.1
"Lebanon School District",105,99,94.3
"Ledyard School District",244,233,95.5
"Lisbon School District","*","*","*"
"Litchfield School District",68,64,94.1
"Madison School District",320,314,98.1
"Manchester School District",454,388,85.5
"Meriden School District",606,488,80.5
"Middletown School District",329,285,86.6
"Milford School District",504,478,94.8
"Monroe School District",299,293,98.0
"Montville School District",192,175,91.1
"Naugatuck School District",332,280,84.3
"New Britain School District",644,470,73.0
"New Canaan School District",312,309,99.0
"New Fairfield School District",240,233,97.1
"New Haven School District",1295,1029,79.5
"New London School District",224,174,77.7
"New Milford School District",381,351,92.1
"Newington School District",366,346,94.5
"Newtown School District",423,414,97.9
"North Branford School District",149,137,91.9
"North Haven School District",317,287,90.5
"North Stonington School District",56,54,96.4
"Norwalk School District",818,705,86.2
"Norwich Free Academy District",605,537,88.8
"Old Saybrook School District",137,127,92.7
"Oxford School District",174,168,96.6
"Plainfield School District",171,150,87.7
"Plainville School District",177,161,91.0
"Plymouth School District",138,122,88.4
"Portland School District",113,107,94.7
"Putnam School District",67,60,89.6
"Regional School District 01",121,113,93.4
"Regional School District 04",136,133,97.8
"Regional School District 05",419,407,97.1
"Regional School District 06",94,88,93.6
"Regional School District 07",215,199,92.6
"Regional School District 08",296,283,95.6
"Regional School District 09",252,246,97.6
"Regional School District 10",216,207,95.8
"Regional School District 11",40,39,97.5
"Regional School District 12",81,77,95.1
"Regional School District 13",136,128,94.1
"Regional School District 14",210,205,97.6
"Regional School District 15",329,322,97.9
"Regional School District 16",181,174,96.1
"Regional School District 17",153,151,98.7
"Regional School District 18",107,105,98.1
"Regional School District 19",291,279,95.9
"Ridgefield School District",458,449,98.0
"Rocky Hill School District",181,170,93.9
"Seymour School District",136,122,89.7
"Shelton School District",369,344,93.2
"Simsbury School District",406,383,94.3
"Somers School District",130,127,97.7
"South Windsor School District",346,332,96.0
"Southington School District",511,490,95.9
"Stafford School District",141,134,95.0
"Stamford Academy District",55,22,40.0
"Stamford School District",1192,1107,92.9
"Stonington School District",177,167,94.4
"Stratford School District",643,609,94.7
"Suffield School District",214,205,95.8
"The Bridge Academy District",34,32,94.1
"The Gilbert School District",89,81,91.0
"Thomaston School District",72,67,93.1
"Thompson School District",85,78,91.8
"Tolland School District",228,211,92.5
"Torrington School District",265,236,89.1
"Trumbull School District",555,536,96.6
"Unified School District #1",423,"*","*"
"Unified School District #2",44,"*","*"
"Vernon School District",295,254,86.1
"Wallingford School District",485,450,92.8
"Waterbury School District",1343,957,71.3
"Waterford School District",202,188,93.1
"Watertown School District",228,215,94.3
"West Hartford School District",740,707,95.5
"West Haven School District",420,327,77.9
"Westbrook School District",72,69,95.8
"Weston School District",180,175,97.2
"Westport School District",450,445,98.9
"Wethersfield School District",304,288,94.7
"Wilton School District",301,296,98.3
"Windham School District",168,137,81.5
"Windsor Locks School District",137,129,94.2
"Windsor School District",296,276,93.2
"Wolcott School District",242,233,96.3
"Woodstock Academy District",275,269,97.8

