"Five-Year Graduation Rates, 2010-11"
"All Districts, All Students"

"",,,"Graduates",
"District","District Code","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""",27,17,63.0
"Ansonia School District","=""0020011""",188,144,76.6
"Avon School District","=""0040011""",255,250,98.0
"Berlin School District","=""0070011""",261,248,95.0
"Bethel School District","=""0090011""",250,236,94.4
"Bloomfield School District","=""0110011""",183,153,83.6
"Bolton School District","=""0120011""",73,"*","*"
"Branford School District","=""0140011""",284,269,94.7
"Bridgeport School District","=""0150011""",1424,926,65.0
"Bristol School District","=""0170011""",705,585,83.0
"Brookfield School District","=""0180011""",264,254,96.2
"Canton School District","=""0230011""",120,114,95.0
"Capitol Region Education Council","=""2410014""",301,261,86.7
"Cheshire School District","=""0250011""",375,364,97.1
"Clinton School District","=""0270011""",145,138,95.2
"Colchester School District","=""0280011""",251,238,94.8
"Common Ground High School District","=""2680013""",38,33,86.8
"Connecticut Technical High School System","=""9000016""",2332,2198,94.3
"Coventry School District","=""0320011""",153,140,91.5
"Cromwell School District","=""0330011""",170,161,94.7
"Danbury School District","=""0340011""",757,617,81.5
"Darien School District","=""0350011""",327,317,96.9
"Derby School District","=""0370011""",123,99,80.5
"East Granby School District","=""0400011""",76,"*","*"
"East Haddam School District","=""0410011""",97,90,92.8
"East Hampton School District","=""0420011""",139,127,91.4
"East Hartford School District","=""0430011""",601,505,84.0
"East Haven School District","=""0440011""",300,258,86.0
"East Lyme School District","=""0450011""",325,317,97.5
"East Windsor School District","=""0470011""",90,80,88.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",63,49,77.8
"Ellington School District","=""0480011""",183,174,95.1
"Enfield School District","=""0490011""",519,447,86.1
"Explorations District","=""2720013""",30,21,70.0
"Fairfield School District","=""0510011""",655,629,96.0
"Farmington School District","=""0520011""",336,321,95.5
"Glastonbury School District","=""0540011""",550,536,97.5
"Granby School District","=""0560011""",194,"*","*"
"Greenwich School District","=""0570011""",633,615,97.2
"Griswold School District","=""0580011""",201,166,82.6
"Groton School District","=""0590011""",334,273,81.7
"Guilford School District","=""0600011""",271,260,95.9
"Hamden School District","=""0620011""",584,509,87.2
"Hartford School District","=""0640011""",1599,1099,68.7
"Killingly School District","=""0690011""",196,144,73.5
"Lebanon School District","=""0710011""",160,149,93.1
"Ledyard School District","=""0720011""",232,212,91.4
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""",95,90,94.7
"Madison School District","=""0760011""",317,308,97.2
"Manchester School District","=""0770011""",532,404,75.9
"Meriden School District","=""0800011""",619,464,75.0
"Middletown School District","=""0830011""",348,278,79.9
"Milford School District","=""0840011""",493,449,91.1
"Monroe School District","=""0850011""",367,358,97.5
"Montville School District","=""0860011""",204,177,86.8
"Naugatuck School District","=""0880011""",369,313,84.8
"New Britain School District","=""0890011""",752,445,59.2
"New Canaan School District","=""0900011""",311,305,98.1
"New Fairfield School District","=""0910011""",240,226,94.2
"New Haven School District","=""0930011""",1436,989,68.9
"New London School District","=""0950011""",266,181,68.0
"New Milford School District","=""0960011""",402,355,88.3
"Newington School District","=""0940011""",412,367,89.1
"Newtown School District","=""0970011""",444,427,96.2
"North Branford School District","=""0990011""",197,185,93.9
"North Haven School District","=""1010011""",307,270,87.9
"North Stonington School District","=""1020011""",67,61,91.0
"Norwalk School District","=""1030011""",892,777,87.1
"Norwich Free Academy District","=""9010022""",628,520,82.8
"Norwich School District","=""1040011""",36,"*","*"
"Old Saybrook School District","=""1060011""",122,115,94.3
"Oxford School District","=""1080011""",155,149,96.1
"Plainfield School District","=""1090011""",230,205,89.1
"Plainville School District","=""1100011""",233,211,90.6
"Plymouth School District","=""1110011""",139,"*","*"
"Portland School District","=""1130011""",97,82,84.5
"Putnam School District","=""1160011""",73,63,86.3
"Regional School District 01","=""2010012""",138,119,86.2
"Regional School District 04","=""2040012""",171,153,89.5
"Regional School District 05","=""2050012""",410,385,93.9
"Regional School District 06","=""2060012""",104,93,89.4
"Regional School District 07","=""2070012""",209,200,95.7
"Regional School District 08","=""2080012""",268,236,88.1
"Regional School District 09","=""2090012""",221,215,97.3
"Regional School District 10","=""2100012""",175,170,97.1
"Regional School District 11","=""2110012""",39,28,71.8
"Regional School District 12","=""2120012""",93,81,87.1
"Regional School District 13","=""2130012""",141,132,93.6
