"Five-Year Graduation Rates, Trend"
"All Districts, Gender"

"",,"Graduates",,,
"",,"Five-Year Graduation Rate by Year",,,
"District","Gender","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District","Female",64.7,"*",91.7,93.3
"Amistad Academy District","Male",60.0,"*",81.8,87.5
"Ansonia School District","Female",76.6,87.8,89.6,80.3
"Ansonia School District","Male",76.6,77.5,75.0,80.0
"Avon School District","Female",98.5,99.3,97.5,98.7
"Avon School District","Male",97.5,96.5,97.9,97.6
"Berlin School District","Female",95.2,99.3,95.7,96.5
"Berlin School District","Male",94.9,95.6,96.7,96.7
"Bethel School District","Female",96.3,97.6,94.0,98.3
"Bethel School District","Male",92.2,95.5,96.6,91.4
"Bloomfield School District","Female",86.7,87.3,95.0,96.5
"Bloomfield School District","Male",80.6,91.2,92.6,88.4
"Bolton School District","Female",95.8,94.6,97.8,96.2
"Bolton School District","Male",96.0,97.0,94.6,100.0
"Branford School District","Female",95.6,96.1,93.5,94.7
"Branford School District","Male",94.0,92.3,93.2,89.8
"Bridgeport School District","Female",71.2,76.4,76.4,80.9
"Bridgeport School District","Male",59.2,65.5,68.9,70.4
"Bristol School District","Female",85.2,89.6,88.1,90.0
"Bristol School District","Male",80.7,88.1,82.7,83.0
"Brookfield School District","Female",97.5,98.6,98.4,99.1
"Brookfield School District","Male",95.1,98.2,96.6,100.0
"Canton School District","Female",96.4,100.0,96.8,98.5
"Canton School District","Male",93.8,96.5,100.0,94.4
"Capitol Region Education Council","Female",88.4,87.1,87.0,89.3
"Capitol Region Education Council","Male",84.5,76.7,83.5,79.7
"Cheshire School District","Female",98.8,97.0,97.4,97.9
"Cheshire School District","Male",95.7,98.6,94.4,96.4
"Clinton School District","Female",97.4,93.3,92.9,96.6
"Clinton School District","Male",92.5,95.1,88.0,94.4
"Colchester School District","Female",97.5,98.6,96.9,97.9
"Colchester School District","Male",92.2,96.2,92.9,96.3
"Common Ground High School District","Female",90.5,100.0,87.5,93.3
"Common Ground High School District","Male",82.4,94.4,100.0,85.7
"Connecticut Technical High School System","Female",93.2,96.0,96.2,96.1
"Connecticut Technical High School System","Male",94.9,97.0,97.5,96.8
