"Five-Year Graduation Rates, 2012-13"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",23,"*","*","*","*"
"Ansonia School District","=""0020011""",210,10,4.8,27,12.9
"Avon School District","=""0040011""",263,"*","*","*","*"
"Berlin School District","=""0070011""",263,"*","*","*","*"
"Bethel School District","=""0090011""",233,"*","*","*","*"
"Bloomfield School District","=""0110011""",161,"*","*","*","*"
"Bolton School District","=""0120011""",82,"*","*","*","*"
"Branford School District","=""0140011""",271,6,2.2,12,4.4
"Bridgeport School District","=""0150011""",1218,26,2.1,307,25.2
"Bristol School District","=""0170011""",629,18,2.9,75,11.9
"Brookfield School District","=""0180011""",240,0,0.0,6,2.5
"Canton School District","=""0230011""",124,"*","*",0,0.0
"Capitol Region Education Council","=""2410014""",253,11,4.3,26,10.3
"Cheshire School District","=""0250011""",384,9,2.3,7,1.8
"Clinton School District","=""0270011""",145,"*","*","*","*"
"Colchester School District","=""0280011""",254,7,2.8,6,2.4
"Common Ground High School District","=""2680013""",38,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""",2473,"*","*","*","*"
"Coventry School District","=""0320011""",138,"*","*","*","*"
"Cromwell School District","=""0330011""",142,0,0.0,8,5.6
"Danbury School District","=""0340011""",775,25,3.2,105,13.5
"Darien School District","=""0350011""",316,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*","*","*"
"Derby School District","=""0370011""",87,"*","*","*","*"
"East Granby School District","=""0400011""",71,"*","*","*","*"
"East Haddam School District","=""0410011""",99,0,0.0,"*","*"
"East Hampton School District","=""0420011""",132,"*","*","*","*"
"East Hartford School District","=""0430011""",546,12,2.2,78,14.3
"East Haven School District","=""0440011""",246,8,3.3,51,20.7
"East Lyme School District","=""0450011""",310,"*","*","*","*"
"East Windsor School District","=""0470011""",95,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",71,"*","*","*","*"
"Ellington School District","=""0480011""",198,"*","*","*","*"
