"Five-Year Graduation Rates, 2012-13"
"All Districts, Special Education Status"

"",,,,"Graduates",
"District","District Code","Special Education Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","Non-Special Education","*","*","*"
"Amistad Academy District","=""2790013""","Special Education","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",186,153,82.3
"Ansonia School District","=""0020011""","Special Education",24,20,83.3
"Avon School District","=""0040011""","Non-Special Education",230,228,99.1
"Avon School District","=""0040011""","Special Education",33,29,87.9
"Berlin School District","=""0070011""","Non-Special Education",239,232,97.1
"Berlin School District","=""0070011""","Special Education",24,21,87.5
"Bethel School District","=""0090011""","Non-Special Education",212,208,98.1
"Bethel School District","=""0090011""","Special Education",21,14,66.7
"Bloomfield School District","=""0110011""","Non-Special Education",143,135,94.4
"Bloomfield School District","=""0110011""","Special Education",18,16,"*"
"Bolton School District","=""0120011""","Non-Special Education",70,"*","*"
"Bolton School District","=""0120011""","Special Education",12,"*","*"
"Branford School District","=""0140011""","Non-Special Education",238,225,94.5
"Branford School District","=""0140011""","Special Education",33,28,84.8
"Bridgeport School District","=""0150011""","Non-Special Education",1046,788,75.3
"Bridgeport School District","=""0150011""","Special Education",172,97,56.4
"Bristol School District","=""0170011""","Non-Special Education",531,466,87.8
"Bristol School District","=""0170011""","Special Education",98,70,71.4
"Brookfield School District","=""0180011""","Non-Special Education",225,"*","*"
"Brookfield School District","=""0180011""","Special Education",15,"*","*"
"Canton School District","=""0230011""","Non-Special Education",106,"*","*"
"Canton School District","=""0230011""","Special Education",18,"*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",218,195,89.4
"Capitol Region Education Council","=""2410014""","Special Education",35,21,60.0
"Cheshire School District","=""0250011""","Non-Special Education",326,320,98.2
"Cheshire School District","=""0250011""","Special Education",58,48,82.8
"Clinton School District","=""0270011""","Non-Special Education",121,114,94.2
"Clinton School District","=""0270011""","Special Education",24,17,70.8
"Colchester School District","=""0280011""","Non-Special Education",225,217,96.4
"Colchester School District","=""0280011""","Special Education",29,24,82.8
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2264,"*","*"
"Connecticut Technical High School System","=""9000016""","Special Education",209,"*","*"
"Coventry School District","=""0320011""","Non-Special Education",119,111,93.3
"Coventry School District","=""0320011""","Special Education",19,14,"*"
"Cromwell School District","=""0330011""","Non-Special Education",125,"*","*"
"Cromwell School District","=""0330011""","Special Education",17,"*","*"
"Danbury School District","=""0340011""","Non-Special Education",695,596,85.8
"Danbury School District","=""0340011""","Special Education",80,49,61.3
"Darien School District","=""0350011""","Non-Special Education",277,274,98.9
"Darien School District","=""0350011""","Special Education",39,34,87.2
"Department of Mental Health and Addiction Services","=""3370015""","Non-Special Education","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Special Education","*","*","*"
"Derby School District","=""0370011""","Non-Special Education",79,"*","*"
"Derby School District","=""0370011""","Special Education",8,"*","*"
"East Granby School District","=""0400011""","Non-Special Education",62,"*","*"
"East Granby School District","=""0400011""","Special Education",9,"*","*"
"East Haddam School District","=""0410011""","Non-Special Education",85,"*","*"
"East Haddam School District","=""0410011""","Special Education",14,"*","*"
"East Hampton School District","=""0420011""","Non-Special Education",120,"*","*"
"East Hampton School District","=""0420011""","Special Education",12,"*","*"
"East Hartford School District","=""0430011""","Non-Special Education",462,402,87.0
"East Hartford School District","=""0430011""","Special Education",84,54,64.3
"East Haven School District","=""0440011""","Non-Special Education",216,172,79.6
"East Haven School District","=""0440011""","Special Education",30,15,50.0
"East Lyme School District","=""0450011""","Non-Special Education",262,"*","*"
"East Lyme School District","=""0450011""","Special Education",48,"*","*"
"East Windsor School District","=""0470011""","Non-Special Education",76,68,89.5
"East Windsor School District","=""0470011""","Special Education",19,14,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-Special Education",59,52,88.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Special Education",12,8,"*"
"Ellington School District","=""0480011""","Non-Special Education",179,170,95.0
"Ellington School District","=""0480011""","Special Education",19,17,"*"
"Elm City College Preparatory School District","=""2890013""","Non-Special Education",13,10,"*"
"Enfield School District","=""0490011""","Non-Special Education",378,351,92.9
"Enfield School District","=""0490011""","Special Education",65,49,75.4
"Explorations District","=""2720013""","Non-Special Education",23,"*","*"
"Explorations District","=""2720013""","Special Education",7,"*","*"
"Fairfield School District","=""0510011""","Non-Special Education",627,607,96.8
"Fairfield School District","=""0510011""","Special Education",78,58,74.4
"Farmington School District","=""0520011""","Non-Special Education",290,"*","*"
"Farmington School District","=""0520011""","Special Education",36,"*","*"
"Glastonbury School District","=""0540011""","Non-Special Education",487,"*","*"
"Glastonbury School District","=""0540011""","Special Education",64,"*","*"
