"Five-Year Graduation Rates, 2013-14"
"All Districts, Special Education Status"

"",,,,"Non-Graduates",,,
"District","District Code","Special Education Status","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""","Non-Special Education","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Special Education","*","*","*","*","*"
"Ansonia School District","=""0020011""","Non-Special Education",140,"*","*","*","*"
"Ansonia School District","=""0020011""","Special Education",16,"*","*","*","*"
"Avon School District","=""0040011""","Non-Special Education",244,0,0.0,"*","*"
"Avon School District","=""0040011""","Special Education",28,"*","*","*","*"
"Berlin School District","=""0070011""","Non-Special Education",202,"*","*","*","*"
"Berlin School District","=""0070011""","Special Education",33,"*","*",0,0.0
"Bethel School District","=""0090011""","Non-Special Education",212,"*","*","*","*"
"Bethel School District","=""0090011""","Special Education",32,"*","*","*","*"
"Bloomfield School District","=""0110011""","Non-Special Education",148,0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Special Education",23,"*","*","*","*"
"Bolton School District","=""0120011""","Non-Special Education",93,0,0.0,"*","*"
"Bolton School District","=""0120011""","Special Education",8,"*","*",0,"*"
"Branford School District","=""0140011""","Non-Special Education",255,"*","*","*","*"
"Branford School District","=""0140011""","Special Education",43,"*","*","*","*"
"Bridgeport School District","=""0150011""","Non-Special Education",1069,11,1.0,228,21.3
"Bridgeport School District","=""0150011""","Special Education",156,23,14.7,36,23.1
"Bristol School District","=""0170011""","Non-Special Education",575,"*","*","*","*"
"Bristol School District","=""0170011""","Special Education",122,"*","*","*","*"
"Brookfield School District","=""0180011""","Non-Special Education",210,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Special Education",22,0,0.0,0,0.0
"Canton School District","=""0230011""","Non-Special Education",118,0,0.0,"*","*"
"Canton School District","=""0230011""","Special Education",18,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Non-Special Education",293,0,0.0,25,8.5
"Capitol Region Education Council","=""2410014""","Special Education",50,14,28.0,11,22.0
"Cheshire School District","=""0250011""","Non-Special Education",334,0,0.0,0,0.0
"Cheshire School District","=""0250011""","Special Education",55,"*","*","*","*"
"Clinton School District","=""0270011""","Non-Special Education",120,"*","*","*","*"
"Clinton School District","=""0270011""","Special Education",10,0,"*","*","*"
"Colchester School District","=""0280011""","Non-Special Education",220,0,0.0,"*","*"
"Colchester School District","=""0280011""","Special Education",28,"*","*","*","*"
"Common Ground High School District","=""2680013""","Non-Special Education","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Special Education","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Non-Special Education",2237,"*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Special Education",181,"*","*","*","*"
"Coventry School District","=""0320011""","Non-Special Education",110,0,0.0,"*","*"
"Coventry School District","=""0320011""","Special Education",22,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Non-Special Education",124,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Special Education",11,8,"*","*","*"
"Danbury School District","=""0340011""","Non-Special Education",669,15,2.2,78,11.7
"Danbury School District","=""0340011""","Special Education",79,13,16.5,13,16.5
"Darien School District","=""0350011""","Non-Special Education",278,0,0.0,"*","*"
"Darien School District","=""0350011""","Special Education",58,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Special Education","*","*","*","*","*"
"Derby School District","=""0370011""","Non-Special Education",87,"*","*","*","*"
"Derby School District","=""0370011""","Special Education",15,"*","*","*","*"
"East Granby School District","=""0400011""","Non-Special Education","*","*","*","*","*"
"East Granby School District","=""0400011""","Special Education","*","*","*","*","*"
"East Haddam School District","=""0410011""","Non-Special Education",87,0,0.0,"*","*"
"East Haddam School District","=""0410011""","Special Education",18,"*","*",0,"*"
