"Five-Year Graduation Rates, 2012-13"
"All Districts, English Learner Status"

"",,,,"Graduates",
"District","District Code","English Learner Status","Five-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","=""2790013""","ELL","*","*","*"
"Amistad Academy District","=""2790013""","Non-ELL","*","*","*"
"Ansonia School District","=""0020011""","ELL",13,9,"*"
"Ansonia School District","=""0020011""","Non-ELL",197,164,83.2
"Avon School District","=""0040011""","ELL","*","*","*"
"Avon School District","=""0040011""","Non-ELL","*","*","*"
"Berlin School District","=""0070011""","ELL","*","*","*"
"Berlin School District","=""0070011""","Non-ELL","*","*","*"
"Bethel School District","=""0090011""","ELL","*","*","*"
"Bethel School District","=""0090011""","Non-ELL","*","*","*"
"Bloomfield School District","=""0110011""","ELL","*","*","*"
"Bloomfield School District","=""0110011""","Non-ELL","*","*","*"
"Bolton School District","=""0120011""","Non-ELL",82,79,96.3
"Branford School District","=""0140011""","ELL","*","*","*"
"Branford School District","=""0140011""","Non-ELL","*","*","*"
"Bridgeport School District","=""0150011""","ELL",173,110,63.6
"Bridgeport School District","=""0150011""","Non-ELL",1045,775,74.2
"Bristol School District","=""0170011""","ELL",24,16,66.7
"Bristol School District","=""0170011""","Non-ELL",605,520,86.0
"Brookfield School District","=""0180011""","ELL","*","*","*"
"Brookfield School District","=""0180011""","Non-ELL","*","*","*"
"Canton School District","=""0230011""","Non-ELL",124,"*","*"
"Capitol Region Education Council","=""2410014""","ELL",9,9,"*"
"Capitol Region Education Council","=""2410014""","Non-ELL",244,207,84.8
"Cheshire School District","=""0250011""","ELL","*","*","*"
"Cheshire School District","=""0250011""","Non-ELL","*","*","*"
"Clinton School District","=""0270011""","ELL","*","*","*"
"Clinton School District","=""0270011""","Non-ELL","*","*","*"
"Colchester School District","=""0280011""","ELL","*","*","*"
"Colchester School District","=""0280011""","Non-ELL","*","*","*"
"Common Ground High School District","=""2680013""","ELL","*","*","*"
"Common Ground High School District","=""2680013""","Non-ELL","*","*","*"
"Connecticut Technical High School System","=""9000016""","ELL",96,85,88.5
"Connecticut Technical High School System","=""9000016""","Non-ELL",2377,2314,97.3
"Coventry School District","=""0320011""","ELL","*","*","*"
"Coventry School District","=""0320011""","Non-ELL","*","*","*"
"Cromwell School District","=""0330011""","ELL","*","*","*"
"Cromwell School District","=""0330011""","Non-ELL","*","*","*"
"Danbury School District","=""0340011""","ELL",133,90,67.7
"Danbury School District","=""0340011""","Non-ELL",642,555,86.4
"Darien School District","=""0350011""","Non-ELL",316,308,97.5
"Department of Mental Health and Addiction Services","=""3370015""","Non-ELL","*","*","*"
"Derby School District","=""0370011""","ELL","*","*","*"
"Derby School District","=""0370011""","Non-ELL","*","*","*"
"East Granby School District","=""0400011""","Non-ELL",71,67,94.4
"East Haddam School District","=""0410011""","Non-ELL",99,"*","*"
"East Hampton School District","=""0420011""","ELL","*","*","*"
"East Hampton School District","=""0420011""","Non-ELL","*","*","*"
"East Hartford School District","=""0430011""","ELL",33,28,84.8
"East Hartford School District","=""0430011""","Non-ELL",513,428,83.4
"East Haven School District","=""0440011""","ELL","*","*","*"
"East Haven School District","=""0440011""","Non-ELL","*","*","*"
"East Lyme School District","=""0450011""","ELL","*","*","*"
"East Lyme School District","=""0450011""","Non-ELL","*","*","*"
"East Windsor School District","=""0470011""","ELL","*","*","*"
"East Windsor School District","=""0470011""","Non-ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","ELL","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Non-ELL","*","*","*"
"Ellington School District","=""0480011""","ELL","*","*","*"
"Ellington School District","=""0480011""","Non-ELL","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Non-ELL",13,10,"*"
"Enfield School District","=""0490011""","ELL","*","*","*"
"Enfield School District","=""0490011""","Non-ELL","*","*","*"
"Explorations District","=""2720013""","ELL","*","*","*"
"Explorations District","=""2720013""","Non-ELL","*","*","*"
"Fairfield School District","=""0510011""","ELL",14,12,"*"
"Fairfield School District","=""0510011""","Non-ELL",691,653,94.5
"Farmington School District","=""0520011""","ELL","*","*","*"
"Farmington School District","=""0520011""","Non-ELL","*","*","*"
"Glastonbury School District","=""0540011""","ELL","*","*","*"
"Glastonbury School District","=""0540011""","Non-ELL","*","*","*"
"Granby School District","=""0560011""","Non-ELL",198,192,97.0
"Greenwich School District","=""0570011""","ELL",24,21,87.5
"Greenwich School District","=""0570011""","Non-ELL",667,646,96.9
"Griswold School District","=""0580011""","Non-ELL",168,152,90.5
"Groton School District","=""0590011""","ELL",9,"*","*"
"Groton School District","=""0590011""","Non-ELL",318,"*","*"
"Guilford School District","=""0600011""","ELL","*","*","*"
"Guilford School District","=""0600011""","Non-ELL","*","*","*"
"Hamden School District","=""0620011""","ELL",10,"*","*"
"Hamden School District","=""0620011""","Non-ELL",440,"*","*"
"Hartford School District","=""0640011""","ELL",225,147,65.3
"Hartford School District","=""0640011""","Non-ELL",1217,951,78.1
"Killingly School District","=""0690011""","ELL","*","*","*"
"Killingly School District","=""0690011""","Non-ELL","*","*","*"
"Learn","=""2450014""","ELL","*","*","*"
"Learn","=""2450014""","Non-ELL","*","*","*"
"Lebanon School District","=""0710011""","ELL","*","*","*"
"Lebanon School District","=""0710011""","Non-ELL","*","*","*"
"Ledyard School District","=""0720011""","Non-ELL",231,209,90.5
"Lisbon School District","=""0730011""","Non-ELL",6,"*","*"
"Litchfield School District","=""0740011""","ELL","*","*","*"
"Litchfield School District","=""0740011""","Non-ELL","*","*","*"
"Madison School District","=""0760011""","Non-ELL",316,"*","*"
"Manchester School District","=""0770011""","ELL",28,22,78.6
"Manchester School District","=""0770011""","Non-ELL",445,364,81.8
"Meriden School District","=""0800011""","ELL",62,35,56.5
"Meriden School District","=""0800011""","Non-ELL",564,429,76.1
"Middletown School District","=""0830011""","ELL",12,9,"*"
"Middletown School District","=""0830011""","Non-ELL",364,309,84.9
