"Five-Year Graduation Rates, Trend"
"All Districts, All Students"

"","Graduates",,,
"","Five-Year Graduation Rate by Year",,,
"District","2010-11","2011-12","2012-13","2013-14"
"Amistad Academy District",63.0,94.4,87.0,91.3
"Ansonia School District",76.6,82.5,82.4,80.1
"Avon School District",98.0,97.9,97.7,98.2
"Berlin School District",95.0,97.7,96.2,96.6
"Bethel School District",94.4,96.6,95.3,94.7
"Bloomfield School District",83.6,89.1,93.8,92.4
"Bolton School District",95.9,95.7,96.3,98.0
"Branford School District",94.7,94.2,93.4,92.3
"Bridgeport School District",65.0,70.9,72.7,75.7
"Bristol School District",83.0,88.9,85.2,86.4
"Brookfield School District",96.2,98.4,97.5,99.6
"Canton School District",95.0,98.3,98.4,96.3
"Capitol Region Education Council",86.7,82.0,85.4,85.4
"Cheshire School District",97.1,97.8,95.8,97.2
"Clinton School District",95.2,94.2,90.3,95.4
"Colchester School District",94.8,97.5,94.9,97.2
"Common Ground High School District",86.8,96.7,94.7,89.7
"Connecticut Technical High School System",94.3,96.6,97.0,96.6
"Coventry School District",91.5,92.0,90.6,97.7
"Cromwell School District",94.7,92.7,94.4,91.1
"Danbury School District",81.5,84.6,83.2,84.1
"Darien School District",96.9,97.1,97.5,97.3
"Department of Mental Health and Addiction Services","N/A","N/A","*","*"
"Derby School District",80.5,79.5,80.5,86.3
"East Granby School District",97.4,96.7,94.4,93.8
"East Haddam School District",92.8,93.2,97.0,94.3
"East Hampton School District",91.4,95.1,96.2,97.5
"East Hartford School District",84.0,83.1,83.5,83.9
"East Haven School District",86.0,76.4,76.0,83.3
"East Lyme School District",97.5,94.0,95.2,94.5
"East Windsor School District",88.9,89.8,86.3,93.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",77.8,82.4,84.5,78.3
"Ellington School District",95.1,92.5,94.4,95.9
"Elm City College Preparatory School District","N/A",84.2,76.9,91.3
"Enfield School District",86.1,87.1,90.3,88.3
"Explorations District",70.0,58.6,70.0,80.8
"Fairfield School District",96.0,96.4,94.3,95.5
"Farmington School District",95.5,95.7,96.6,97.9
"Glastonbury School District",97.5,97.3,97.5,96.9
"Granby School District",97.9,98.4,97.0,96.5
"Greenwich School District",97.2,95.3,96.5,97.6
"Griswold School District",82.6,87.6,90.5,87.6
"Groton School District",81.7,82.4,83.2,85.5
"Guilford School District",95.9,98.6,94.6,95.1
"Hamden School District",87.2,89.1,89.6,91.5
"Hartford School District",68.7,74.1,76.1,77.6
"Killingly School District",73.5,83.8,77.8,84.3
"Learn","N/A","N/A",92.9,94.1
"Lebanon School District",93.1,90.7,94.1,94.3
"Ledyard School District",91.4,93.3,90.5,95.5
"Lisbon School District","*","*","*","*"
"Litchfield School District",94.7,98.1,97.8,94.1
"Madison School District",97.2,97.9,99.7,98.1
"Manchester School District",75.9,79.1,81.6,85.5
"Meriden School District",75.0,74.2,74.1,80.5
"Middletown School District",79.9,83.6,84.6,86.6
"Milford School District",91.1,91.0,89.3,94.8
"Monroe School District",97.5,99.1,98.4,98.0
"Montville School District",86.8,87.3,87.8,91.1
"Naugatuck School District",84.8,86.4,82.0,84.3
"New Britain School District",59.2,67.8,66.5,73.0
"New Canaan School District",98.1,99.4,97.9,99.0
"New Fairfield School District",94.2,98.3,96.5,97.1
"New Haven School District",68.9,75.2,75.9,79.5
"New London School District",68.0,68.8,67.4,77.7
"New Milford School District",88.3,92.6,89.2,92.1
"Newington School District",89.1,91.9,91.7,94.5
"Newtown School District",96.2,96.0,96.2,97.9
"North Branford School District",93.9,90.7,96.5,91.9
"North Haven School District",87.9,93.8,91.0,90.5
"North Stonington School District",91.0,88.9,95.8,96.4
"Norwalk School District",87.1,87.7,87.1,86.2
"Norwich Free Academy District",82.8,87.7,84.2,88.8
"Norwich School District","*","*","N/A","N/A"
"Old Saybrook School District",94.3,97.9,95.0,92.7
"Oxford School District",96.1,91.8,97.4,96.6
"Plainfield School District",89.1,89.1,87.6,87.7
"Plainville School District",90.6,93.7,90.3,91.0
"Plymouth School District",96.4,87.8,87.5,88.4
"Portland School District",84.5,93.3,87.1,94.7
"Putnam School District",86.3,88.4,87.6,89.6
"Regional School District 01",86.2,95.0,92.7,93.4
"Regional School District 04",89.5,93.1,95.7,97.8
"Regional School District 05",93.9,97.5,96.2,97.1
"Regional School District 06",89.4,95.4,95.9,93.6
"Regional School District 07",95.7,93.6,96.9,92.6
"Regional School District 08",88.1,94.3,93.7,95.6
"Regional School District 09",97.3,97.5,96.2,97.6
"Regional School District 10",97.1,97.8,94.9,95.8
"Regional School District 11",71.8,97.7,86.4,97.5
"Regional School District 12",87.1,86.5,88.9,95.1
"Regional School District 13",93.6,97.2,91.7,94.1
"Regional School District 14",96.8,98.0,93.6,97.6
"Regional School District 15",93.8,96.0,97.2,97.9
"Regional School District 16",89.3,95.4,91.4,96.1
"Regional School District 17",94.4,94.7,97.0,98.7
"Regional School District 18",97.0,98.1,96.5,98.1
"Regional School District 19",86.3,91.1,92.7,95.9
"Ridgefield School District",96.8,99.3,97.6,98.0
"Rocky Hill School District",92.6,93.8,93.2,93.9
"Seymour School District",86.8,90.8,88.3,89.7
"Shelton School District",91.5,93.7,92.1,93.2
"Simsbury School District",96.4,98.0,98.0,94.3
"Somers School District",95.8,97.2,97.3,97.7
"South Windsor School District",92.7,96.9,96.1,96.0
"Southington School District",94.1,94.9,94.9,95.9
"Stafford School District",86.0,90.0,89.9,95.0
"Stamford Academy District",57.7,63.6,44.4,40.0
"Stamford School District",88.6,89.6,91.7,92.9
"Stonington School District",94.3,94.5,96.5,94.4
"Stratford School District",89.6,89.3,91.6,94.7
"Suffield School District",96.7,92.2,94.5,95.8
"The Bridge Academy District",96.4,80.5,94.4,94.1
"The Gilbert School District",82.2,94.4,83.7,91.0
"Thomaston School District",93.3,92.5,94.9,93.1
"Thompson School District",89.5,89.1,92.9,91.8
"Tolland School District",94.2,97.8,94.3,92.5
"Torrington School District",80.4,83.4,89.5,89.1
"Trumbull School District",98.8,98.2,98.4,96.6
"Unified School District #1",1.9,"*",2.2,"*"
"Unified School District #2",42.1,"*","*","*"
"Vernon School District",84.2,85.9,85.3,86.1
