"Five-Year Graduation Rates, 2013-14"
"All Districts, All Students"

"",,,"Non-Graduates",,,
"District","District Code","Five-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","=""2790013""",23,0,0.0,"*","*"
"Ansonia School District","=""0020011""",156,"*","*","*","*"
"Avon School District","=""0040011""",272,"*","*","*","*"
"Berlin School District","=""0070011""",235,"*","*","*","*"
"Bethel School District","=""0090011""",244,"*","*","*","*"
"Bloomfield School District","=""0110011""",171,"*","*","*","*"
"Bolton School District","=""0120011""",101,"*","*","*","*"
"Branford School District","=""0140011""",298,"*","*","*","*"
"Bridgeport School District","=""0150011""",1225,34,2.8,264,21.6
"Bristol School District","=""0170011""",697,17,2.4,78,11.2
"Brookfield School District","=""0180011""",232,0,0.0,"*","*"
"Canton School District","=""0230011""",136,"*","*","*","*"
"Capitol Region Education Council","=""2410014""",343,14,4.1,36,10.5
"Cheshire School District","=""0250011""",389,"*","*","*","*"
"Clinton School District","=""0270011""",130,"*","*","*","*"
"Colchester School District","=""0280011""",248,"*","*","*","*"
"Common Ground High School District","=""2680013""",29,0,0.0,"*","*"
"Connecticut Technical High School System","=""9000016""",2418,17,0.7,66,2.7
"Coventry School District","=""0320011""",132,0,0.0,"*","*"
"Cromwell School District","=""0330011""",135,"*","*","*","*"
"Danbury School District","=""0340011""",748,28,3.7,91,12.2
"Darien School District","=""0350011""",336,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*","*","*"
"Derby School District","=""0370011""",102,"*","*","*","*"
"East Granby School District","=""0400011""",65,"*","*","*","*"
"East Haddam School District","=""0410011""",105,"*","*","*","*"
"East Hampton School District","=""0420011""",121,"*","*","*","*"
"East Hartford School District","=""0430011""",502,24,4.8,57,11.4
"East Haven School District","=""0440011""",257,"*","*","*","*"
"East Lyme School District","=""0450011""",275,6,2.2,9,3.3
"East Windsor School District","=""0470011""",109,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",69,"*","*","*","*"
"Ellington School District","=""0480011""",194,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""",23,0,0.0,"*","*"
"Enfield School District","=""0490011""",426,"*","*","*","*"
"Explorations District","=""2720013""",26,0,0.0,"*","*"
"Fairfield School District","=""0510011""",727,12,1.7,21,2.9
"Farmington School District","=""0520011""",340,"*","*","*","*"
