"Student Counts by School and Grade"
"All Districts, All Schools"
"Trend"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",284,325,360,366,390,419,437,446,0,0,0,0,0,0,3027
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",763,0,0,0,0,0,0,362,1871,1930,0,0,0,0,4926
"Ansonia School District","=""0020011""","Mead School","=""0020311""",27,526,703,698,1143,1159,1110,718,0,0,0,0,0,0,6084
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",179,1426,1399,1207,768,750,767,768,0,0,0,0,0,0,7264
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",0,0,0,0,0,0,0,0,0,"*",9,18,9,"*",39
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,1959,1728,1511,1508,6706
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,0,0,0,0,0,0,0,0,26,40,29,11,106
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",7
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",29,"*",0,0,0,0,0,0,0,"*",0,0,0,0,31
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",64,73,95,131,156,181,194,201,183,173,29,15,9,27,1531
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,23,80,126,191,230,278,228,221,240,0,0,0,0,1617
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,606,669,716,735,743,739,717,686,670,0,0,0,0,6281
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,0,0,0,0,0,"*","*",36,44,42,33,30,40,239
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,2459,2448,2371,0,0,0,0,7278
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",0,0,0,0,0,0,0,0,55,65,53,60,58,28,319
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,8,137,167,186,689,1187
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,"*","*",55,69,301,477
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,216,224,233,284,957
"Ashford School District","=""0030011""","Ashford School","=""0030111""",436,410,417,421,431,441,456,469,488,528,0,0,0,0,4497
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",149,0,0,0,0,0,0,0,0,0,0,0,0,0,149
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",244,937,1132,1236,1270,1314,0,0,0,0,0,0,0,0,6133
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",28,1018,1150,1260,1317,1377,0,0,0,0,0,0,0,0,6150
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,2757,2856,0,0,0,0,0,0,5613
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,2861,2913,0,0,0,0,5774
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,2679,2671,2642,2628,10620
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",234,0,0,0,0,0,0,0,0,0,0,0,0,0,234
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,349,411,433,455,480,480,481,0,0,0,0,0,0,3089
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""",0,0,0,0,0,"*","*","*",0,0,0,0,0,0,7
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",519,703,763,781,823,853,855,0,0,0,0,0,0,0,5297
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",6,821,900,926,929,981,1000,0,0,0,0,0,0,0,5563
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","*","*",384,401,429,446,457,0,0,0,0,0,0,0,2440
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,0,0,0,0,0,"*","*",2384,2460,0,0,0,0,7193
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,0,0,0,0,0,0,0,0,2332,2396,2430,2604,9762
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",141,529,571,612,666,690,726,756,0,0,0,0,0,0,4691
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",953,1006,1036,1043,1082,0,0,0,0,0,0,0,0,0,5120
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,972,1008,1039,1055,0,0,0,0,0,0,0,0,0,4074
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,0,0,0,0,2205,"*","*",0,0,0,0,0,0,4393
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,0,0,0,0,0,0,2273,2290,2357,0,0,0,0,6920
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,0,0,0,0,0,0,0,0,0,2391,2373,2357,2367,9488
"Bethel School District","=""0090011""","TASK","=""0090311""",0,0,0,0,0,0,0,0,0,0,"*","*","*",7,12
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",52,306,411,431,182,176,0,0,0,0,0,0,0,0,1558
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",1889,607,0,0,0,0,0,0,0,0,0,0,0,0,2496
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,600,768,768,325,312,0,0,0,0,0,0,0,0,2773
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,110,131,135,873,880,0,0,0,0,0,0,0,0,2129
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,"*",0,"*",0,1374,1248,0,0,0,0,0,0,2624
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,0,0,"*",0,"*",0,0,1268,1321,0,0,0,0,2591
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,0,0,0,0,0,0,165,165,133,163,149,147,135,1057
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,0,0,0,0,0,0,0,0,0,1502,1520,1427,1331,5780
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,0,0,0,0,0,0,0,0,0,7,18,19,15,59
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,0,0,0,0,0,0,0,0,0,167,135,93,49,444
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",108,462,527,572,580,594,634,666,678,680,0,0,0,0,5501
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,0,0,0,0,0,0,0,0,0,801,782,768,771,3122
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",195,211,212,232,231,237,240,258,261,268,0,0,0,0,2345
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",493,0,0,0,0,0,0,0,0,0,0,0,0,0,493
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",133,640,672,693,717,725,0,0,0,0,0,0,0,0,3580
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",73,682,766,791,834,868,0,0,0,0,0,0,0,0,4014
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",241,783,790,821,774,818,0,0,0,0,0,0,0,0,4227
