"Student Counts by Race and Free/Reduced Lunch Eligibility"
"State of Connecticut"
"2016-17"

"","Free/Reduced Lunch Eligibility",,,
"Race","Free","Non-Subsidized","Reduced","Total"
"American Indian or Alaska Native",541,839,78,1458
"Asian",5134,20848,1296,27278
"Black or African American",39817,25724,3885,69426
"Hispanic/Latino of any race",78065,43145,8230,129440
"Native Hawaiian or Other Pacific Islander",198,316,32,546
"Two or More Races",5165,9654,860,15679
"White",40133,245127,9806,295066
"Total",169053,345653,24187,538893

