"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2011-12"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",714,48,762
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",806,51,857
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",290,24,314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",624,71,695
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",415,57,472
"Ansonia School District","=""0020011""","Mead School","=""0020311""",549,61,610
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",654,84,738
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,31,31
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",17,143,160
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",655,66,721
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,148,148
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,114,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,94,94
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,47,47
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",581,59,640
"Ashford School District","=""0030011""","Ashford School","=""0030111""",426,55,481
"Avon School District","=""0040011""","Avon High School","=""0046111""",1006,106,1112
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",500,72,572
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",560,71,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",536,54,590
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",534,60,594
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",310,28,338
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",9,10,19
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",869,107,976
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",661,69,730
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",436,56,492
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",541,36,577
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",219,22,241
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",426,65,491
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",348,41,389
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",853,96,949
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",629,64,693
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",428,65,493
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",400,47,447
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",527,76,603
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",234,29,263
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",252,34,286
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",296,26,322
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",226,25,251
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",97,8,105
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",285,36,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",497,52,549
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",305,38,343
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",204,30,234
"Branford School District","=""0140011""","Branford High School","=""0146111""",945,119,1064
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",862,158,1020
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",18,28,46
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",324,41,365
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",334,50,384
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",402,37,439
