"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2013-14"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",793,77,870
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",886,51,937
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",277,21,298
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",535,67,602
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",419,74,493
"Ansonia School District","=""0020011""","Mead School","=""0020311""",484,82,566
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",582,79,661
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,36,36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",10,141,151
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",625,86,711
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,151,151
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,114,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,100,100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,39,39
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",564,67,631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",374,49,423
"Avon School District","=""0040011""","Avon High School","=""0046111""",950,107,1057
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",534,50,584
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",539,55,594
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",525,48,573
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",485,78,563
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",254,34,288
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",9,9,18
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",836,97,933
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",620,71,691
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",440,74,514
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",526,36,562
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",227,24,251
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",379,57,436
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",379,32,411
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",825,108,933
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",598,74,672
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",506,50,556
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",367,50,417
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",486,69,555
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",191,25,216
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",181,32,213
