"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2010-11"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",563,47,610
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",767,45,812
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",306,28,334
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",653,74,727
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",417,41,458
"Ansonia School District","=""0020011""","Mead School","=""0020311""",577,65,642
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",701,86,787
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,19,19
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",25,145,170
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",660,60,720
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,153,153
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,128,128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,102,102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,53,53
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",579,67,646
"Ashford School District","=""0030011""","Ashford School","=""0030111""",420,56,476
"Avon School District","=""0040011""","Avon High School","=""0046111""",992,96,1088
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",517,67,584
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",560,71,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",596,55,651
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",525,69,594
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",310,33,343
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",13,17,30
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",913,104,1017
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",644,75,719
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",462,73,535
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",551,34,585
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",238,23,261
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",443,69,512
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",344,40,384
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",865,94,959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",618,65,683
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",389,71,460
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",402,50,452
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",522,71,593
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",269,36,305
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",243,22,265
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",326,25,351
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",256,25,281
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",83,6,89
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",280,32,312
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",516,52,568
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",300,30,330
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",202,31,233
