"Student Counts by Race and Free/Reduced Lunch Eligibility"
"State of Connecticut"
"2012-13"

"","Free/Reduced Lunch Eligibility",,,
"Race","Free","Non-Subsidized","Reduced","Total"
"American Indian or Alaska Native",684,875,102,1661
"Asian",5091,18764,1437,25292
"Black or African American",46658,19730,5616,72004
"Hispanic/Latino of any race",76249,29024,8535,113808
"Native Hawaiian or Other Pacific Islander",159,255,29,443
"Two or More Races",4296,6978,740,12014
"White",42630,274827,12125,329582
"Total",175767,350453,28584,554804

