"Student Counts by Race and Free/Reduced Lunch Eligibility"
"State of Connecticut"
"2014-15"

"","Free/Reduced Lunch Eligibility",,,
"Race","Free","Non-Subsidized","Reduced","Total"
"American Indian or Alaska Native",619,808,94,1521
"Asian",5293,19477,1398,26168
"Black or African American",45520,20714,4462,70696
"Hispanic/Latino of any race",79402,33193,8253,120848
"Native Hawaiian or Other Pacific Islander",200,276,34,510
"Two or More Races",4912,8049,834,13795
"White",43933,257909,10967,312809
"Total",179879,340426,26042,546347

