"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"Trend"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",6538,312,6850
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",7725,794,8519
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",2997,30,3027
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",6560,146,6706
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",4823,103,4926
"Ansonia School District","=""0020011""","Mead School","=""0020311""",5873,211,6084
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","*","*",106
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","*","*",7
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",39,0,39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",6974,290,7264
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",31,0,31
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",239,0,239
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",319,0,319
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*","*",1617
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",6868,410,7278
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",1531,0,1531
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",1187,0,1187
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*","*",957
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","*","*",477
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",6237,44,6281
"Ashford School District","=""0030011""","Ashford School","=""0030111""",4432,65,4497
"Avon School District","=""0040011""","Avon High School","=""0046111""",10571,49,10620
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",5729,45,5774
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","*","*",149
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",5788,345,6133
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",6031,119,6150
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",5539,74,5613
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",3078,11,3089
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""",7,0,7
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",234,0,234
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",9669,93,9762
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",7107,86,7193
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",5054,243,5297
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",5441,122,5563
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",2276,164,2440
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",4681,10,4691
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",3811,263,4074
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",9343,145,9488
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",6778,142,6920
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",4847,273,5120
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",4275,118,4393
"Bethel School District","=""0090011""","TASK","=""0090311""",12,0,12
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",5742,38,5780
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",2583,41,2624
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",2561,30,2591
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",1049,8,1057
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",1522,36,1558
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",2707,66,2773
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*",59
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",2094,35,2129
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",444,0,444
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","*","*",2496
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",5459,42,5501
