"Student Counts by School and Gender"
"All Districts, All Schools"
"Trend"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",3304,3546,6850
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",4271,4248,8519
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",1341,1686,3027
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",3217,3489,6706
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",2302,2624,4926
"Ansonia School District","=""0020011""","Mead School","=""0020311""",2919,3165,6084
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",40,66,106
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","*","*",7
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",14,25,39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",3474,3790,7264
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",11,20,31
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",46,193,239
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",124,195,319
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",240,1377,1617
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",3518,3760,7278
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",439,1092,1531
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",320,867,1187
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",233,724,957
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",120,357,477
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",3216,3065,6281
"Ashford School District","=""0030011""","Ashford School","=""0030111""",2154,2343,4497
"Avon School District","=""0040011""","Avon High School","=""0046111""",5379,5241,10620
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",2845,2929,5774
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",75,74,149
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",3042,3091,6133
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",3055,3095,6150
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",2734,2879,5613
