"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2008-09"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",245,16,261
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",618,23,641
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",304,30,334
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",640,77,717
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",526,56,582
"Ansonia School District","=""0020011""","Mead School","=""0020311""",561,55,616
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",32,7,39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",684,75,759
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",0,12,12
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",92,18,110
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",31,139,170
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",679,69,748
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,176,176
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*",128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,93,93
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,56,56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",548,57,605
"Ashford School District","=""0030011""","Ashford School","=""0030111""",417,68,485
"Avon School District","=""0040011""","Avon High School","=""0046111""",948,104,1052
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",530,59,589
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",534,76,610
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",684,66,750
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",491,66,557
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",301,40,341
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",8,13,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",897,130,1027
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",646,96,742
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",506,95,601
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",541,43,584
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",228,36,264
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",471,78,549
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",376,47,423
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",915,95,1010
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",629,77,706
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",415,65,480
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",417,37,454
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",576,70,646
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",291,22,313
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",264,38,302
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",270,46,316
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",250,15,265
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",219,13,232
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",75,8,83
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",535,48,583
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",253,25,278
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",227,29,256
"Branford School District","=""0140011""","Branford High School","=""0146111""",999,112,1111
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",921,162,1083
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",35,42,77
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",327,36,363
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",400,36,436
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",379,30,409
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",147,13,160
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",518,82,600
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1056,201,1257
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",360,32,392
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",211,23,234
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",958,101,1059
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,57,57
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",393,47,440
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2079,208,2287
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",972,121,1093
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",324,19,343
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",556,73,629
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",315,58,373
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",503,59,562
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",347,50,397
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",282,35,317
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",673,98,771
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",239,34,273
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",317,37,354
