"Student Counts by Race and Free/Reduced Lunch Eligibility"
"State of Connecticut"
"2010-11"

"","Free/Reduced Lunch Eligibility",,,
"Race","Free","Non-Subsidized","Reduced","Total"
"American Indian or Alaska Native",780,1036,107,1923
"Asian",4536,18352,1316,24204
"Black or African American",47168,20938,5965,74071
"Hispanic/Latino of any race",70991,28765,7861,107617
"Native Hawaiian or Other Pacific Islander",130,212,27,369
"Two or More Races",2919,5779,527,9225
"White",38159,296865,12066,347090
"Total",164683,371947,27869,564499

