"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2007-08"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",530,17,547
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",321,26,347
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",678,82,760
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",533,63,596
"Ansonia School District","=""0020011""","Mead School","=""0020311""",547,52,599
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",695,81,776
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""","*","*",19
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",84,15,99
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",21,155,176
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",689,63,752
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,174,174
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,125,125
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,92,92
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,56,56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",552,53,605
"Ashford School District","=""0030011""","Ashford School","=""0030111""",431,69,500
"Avon School District","=""0040011""","Avon High School","=""0046111""",934,102,1036
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",528,54,582
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",538,80,618
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",702,74,776
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",526,64,590
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",285,43,328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",20,10,30
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",928,135,1063
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",684,94,778
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",481,96,577
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",529,60,589
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",231,32,263
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",495,74,569
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",396,29,425
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",946,88,1034
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",667,76,743
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",414,74,488
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",408,46,454
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",562,63,625
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",319,29,348
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",303,39,342
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",275,40,315
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",250,18,268
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",225,13,238
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","*","*",79
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",537,60,597
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",253,22,275
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",224,40,264
"Branford School District","=""0140011""","Branford High School","=""0146111""",1018,128,1146
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",935,147,1082
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",22,36,58
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",307,38,345
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",392,38,430
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",367,49,416
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","*","*",85
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",246,33,279
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1073,212,1285
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",550,57,607
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",243,29,272
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1055,122,1177
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,54,54
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",367,46,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2146,193,2339
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1021,141,1162
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",355,20,375
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",684,79,763
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",352,54,406
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",528,64,592
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",316,47,363
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",364,44,408
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",248,30,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",183,13,196
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",299,45,344
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",284,38,322
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1484,238,1722
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",431,13,444
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",387,63,450
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",303,26,329
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",418,57,475
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",744,102,846
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",482,80,562
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","*","*",37
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""",147,40,187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",436,39,475
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",14,0,14
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",30
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",460,41,501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",822,82,904
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",615,112,727
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",105,114,219
"Bridgeport School District","=""0150011""","The University School","=""0159111""",15,31,46
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",374,82,456
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",702,56,758
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1284,181,1465
